id,uuid,study,year,title,abstract,data_source,doi,journal
1,PM-1,Adi et al. (2025),2025,"Management of a complex multiligament knee injury: Simultaneous reconstruction of ACL, PCL, and both meniscal roots","INTRODUCTION: Multiligament knee injuries (MLKIs) can lead to severe complications like early osteoarthritis and functional loss. Meniscal root tears further increase these risks. This study reports the first documented case of simultaneous anterior cruciate ligament (ACL), posterior cruciate ligament (PCL), and dual meniscal root injuries, emphasizing the unique surgical and rehabilitative challenges involved. PRESENTATION OF CASE: A 19-year-old male presented with persistent knee pain and instability seven months after a traumatic injury from a major fall. Examination revealed a range of motion of 0-120 degrees, no swelling or tenderness, but a positive recurvatum over 10 degrees, indicating significant instability. Lachman's, McMurray's, pivot shift, and both anterior and posterior drawer tests were positive. DISCUSSION: The radiography of the right knee revealed no fractures. The MRI confirmed injuries to the ACL, PCL, and the posterior roots of both the lateral and medial menisci. The patient received surgical intervention. Grafts were obtained: the peroneus longus tendon autograft for posterior cruciate ligament reconstruction and a hamstring autograft for anterior cruciate ligament reconstruction. The ACL and PCL reconstructions were subsequently performed utilizing an all-inside technique, and both posterior roots of the lateral and medial menisci were repaired. Postoperative care included knee immobilization and a progressive rehabilitation program. CONCLUSION: Effective management of multiple ligament knee injuries necessitates a comprehensive approach, including precise identification and treatment of all torn ligaments, accurate graft placement, and robust fixation. Simultaneous reconstruction reduces hospital stays, anaesthesia exposure, and surgical risks while streamlining rehabilitation, enabling quicker patient recovery and improved outcomes.",PubMed/MEDLINE,10.1016/j.ijscr.2025.111150,
2,PM-2,Almeida and Livet (2025),2025,Effect of Cranial Cruciate Ligament Transection during TPLO on Patellar Desmitis in Dogs with Partial Cranial Cruciate Ligament Rupture,"OBJECTIVE: The aim of this study was to assess the protective effect of transecting a partially ruptured cranial cruciate ligament (CCL) during tibial plateau levelling osteotomy (TPLO) surgery on postoperative patellar ligament thickness (PLT) and shortening. STUDY DESIGN: Dogs with partial CCL rupture that underwent a unilateral TPLO were included. The population was divided into two groups: remnant CCL transected (study group) and left in situ (control group). Preoperative and 6-week postoperative measurements of PLT, in three specific locations, and patellar ligament length (PLL) were collected. Risk factors for PLT and shortening were also included. RESULTS: Fifty-two dogs (56 stifles) with partial CCL rupture were retrospectively included. Twenty-nine stifles (51.8%) had the remnant CCL transected (study group) and 27 stifles (48.2%) had the remnant CCL left in situ (control group). Significant differences were found on PLT measurements between pre- and 6-week post-surgery for all three ligament locations with greatest difference at the middle region. Median PLL was significantly shorter 6-week post-surgery for both groups. No significant differences in PLT nor PLL were identified between procedures where the remnant was transected or not. CONCLUSION: This study did not identify a protective effect of transecting the CCL remnant on PLT or patellar ligament shortening, contrary to other reports within the literature. Further investigation is needed in the form of prospective studies with higher number of cases to understand the clinical implications of patellar ligament thickening and shortening in dogs.",PubMed/MEDLINE,10.1055/s-0044-1795088,
3,PM-3,Arora et al. (2025),2025,Peroneus Longus to Peroneus Brevis Tenodesis Does Not Improve Ankle Functional Outcomes: A Prospective Cohort Study,"PURPOSE: Peroneus longus (PL) graft harvest has recently gained popularity for various ligament reconstruction surgeries. A recent systematic review shows it is a safe and reproducible technique with low morbidity of donor sites (1). The method for PL harvest routinely involves tenodesis of the PL stump to the peroneus brevis (PB). To the authors' best knowledge, no study exists in the literature that has compared the outcomes of tenodesis versus no tenodesis on post-operative ankle functional outcome scores. The purpose of the present study is to assess the importance of tenodesis on post-operative ankle scores. METHODS: A total of 200 consecutive patients from July 2022 to November 2022 were included in the study: 72 in the no tenodesis group and 128 in the tenodesis group. Institutional ethics approval was obtained from the institutional ethics review committee before the initiation of the study. Demographic variables (age, gender and level of play) were recorded. Pre-operative American Orthopaedic Foot and Ankle Society Score (AOFAS) and Functional Ankle Disability Index (FADI) scores were calculated for both groups and compared with post-operative scores at six weeks, three months, six months and one-year follow-up. RESULTS: For the entire study population (n?=?200), we found that AOFAS and FADI scores showed no significant difference at any interval except for lower scores at six weeks of follow-up for both groups compared to baseline. We found that the no tenodesis group had slightly better AOFAS and FADI scores at the six-week follow-up, which were statistically significant (p?<?0.05). However, the magnitude of variance (0.13 and 0.20, respectively) was too small to be clinically significant. Age, gender and level of play had no impact on ankle functional outcomes. CONCLUSION: Tenodesis of the PL to the PB has been the standard norm in PL graft harvest for various ligament surgeries. The present high-powered prospective cohort study shows that tenodesis.does not improve ankle functional outcome scores compared to no tenodesis. Further work is needed to assess the impact of tenodesis or no tenodesis on ankle biomechanics (eversion, plantarflexion and gait). LEVEL OF EVIDENCE: IV.",PubMed/MEDLINE,10.1007/s43465-025-01361-1,
4,PM-4,Aryana et al. (2025),2025,No Difference in Ankle Morbidity Between the Leg with Peroneus Longus Used for ACL Reconstruction Autograft and the Contralateral Side 12 Months Postoperatively,"BACKGROUND: Anterior cruciate ligament (ACL) injuries often require surgical intervention. The use of the peroneus longus tendon in ACL reconstruction has been reported to offer significant potential benefits, such as preserving the hamstring tendons. However, its effects on the ankle must be considered prior to surgery. METHODS: This was a cross-sectional study evaluating ankle morbidity using the American Orthopedic Foot and Ankle Society (AOFAS) score, plantarflexion and eversion strength, and Clarke's angle on both extremities. Data were collected from patients who underwent ACL reconstruction using the peroneus longus tendon as an autograft. Statistical analysis was performed using the Mann-Whitney test with SPSS v.26. RESULTS: A total of 64 patients were included, with the mean AOFAS scores of 58.88 (donor side) and 70.12 (contralateral side). Mann-Whitney test results showed no significant difference in AOFAS scores between the two sides (p=0.085). The mean plantarflexion strength values were 62.23 (donor) and 66.77 (contralateral), with no significant difference (p=0.489). Additionally, the mean Clarke's angle values were 59.10 (donor) and 69.90 (contralateral), with no significant difference (p=0.099). CONCLUSION: There was no statistically significant difference in ankle function in patients who used the peroneus longus tendon as an autograft in ACL reconstruction.",PubMed/MEDLINE,10.52965/001c.144731,
5,PM-5,Calvo et al. (2025),2025,Effect of diameter reduction by compression on peroneus longus allograft integrity: A biomechanical analysis,"BACKGROUND: There is broad consensus regarding the minimum required graft diameter in anterior cruciate ligament (ACL) reconstruction surgery; a diameter of at least 8ÿmm is recommended when using hamstring tendon grafts. However, it remains unclear what happens when a larger-diameter graft is compressed to a smaller diameter, and how this alteration may affect the biomechanical properties of the graft. The objectives is determine whether the biomechanical strength of compressed allografts is preserved after reducing their diameter, and whether compression techniques could be considered a viable option for smaller patients such as women and children. Our hypothesis is that a compressed graft may retain similar strength to the original, despite having a reduced diameter. METHODS: This was a cadaveric biomechanical case-control study using 30 peroneus longus (PL) tendon allografts. The grafts were divided into three groups: Group 0 (8ÿmm uncompressed grafts), Group 1 (9ÿmm uncompressed grafts), and Group 2 (10ÿmm with a graft tube, compression to 9ÿmm). Each graft was tested using a Zwick/Roell Z005 tensile testing machine, undergoing cyclic loading between 50 and 250ÿN at 1ÿHz for 1000 cycles, followed by continuous tensile loading to failure. The maximum failure force (Fmax) was recorded for each graft. Statistical analyses were performed using STATA v.18.5. RESULTS: Group 1 (9ÿmm uncompressed grafts) showed a mean maximum failure force of 1902 N (SD: 432.12; 95ÿ% CI). Group 2 (compressed grafts) showed a mean Fmax of 1608ÿN (SD: 233.12; 95ÿ% CI), with a statistically significant difference between the two groups (pÿ=ÿ0.037). Group 0 (native 8ÿmm grafts) showed a mean Fmax of 1341ÿN (SD: 936.67; 95ÿ% CI). No statistically significant difference was found between Group 0 and Group 2 (pÿ=ÿ0.196). CONCLUSIONS: The results indicate that the compressed group had lower resistance compared to the original 9ÿmm grafts. However, when compared to the smaller-diameter grafts, no significant difference in strength was observed. Nonetheless, the compressed grafts showed a tendency to withstand higher loads than the native 8ÿmm grafts.",PubMed/MEDLINE,10.1016/j.jor.2025.06.036,
6,PM-6,Chen et al. (2025),2025,Comparative efficacy of different lengths of anterior cruciate ligament stump during reconstruction with peroneus longus tendon,"BACKGROUND: Anterior cruciate ligament (ACL) injury affects individuals, and successful ACL helps patients return to an active lifestyle. This study compared the clinical effects of two treatment schemes of retention length?ò?1/2 and <?1/2 of ACL stump in patients under reconstruction with peroneus longus tendon (PLT). METHODS: A total of 34 patients with ACL injury of knee joint treated by unilateral ACL reconstruction with PLT were recruited in this study. They were divided into N1 (retention length of ACL stump?ò?1/2) and N2 (retention length of ACL stump?<?1/2) groups (n?=?17 in each group). The knee joint proprioceptive threshold of passive motor perception was used to evaluate recovery of proprioception. The international knee documentation committee (IKDC) score, Lysholm score, and Tegner activity score (TAS) were used to evaluate knee joint functions. Lachman test, anterior drawer test (ADT), and pivot shift test (PST) were used to evaluate the stability of knee joint. Single-legged hop test and return-to-sport ratio were used to evaluate the movement ability. RESULTS: In 6th month and 12th month after operation, the passive motor perception threshold in N1 group was better than than that in N2 group (p?<?0.05). In 12th month after the operation, the return-to-sport ratio in N1 group was increased compared to the N2 group (p?<?0.05). There were no significant differences in results of IKDC score, Lysholm score, TAS, Lachman test, ADT, or PST between the two groups in 6th month and 12th month after the operation (p?>?0.05). In addition, no significant difference was found in the single-legged hop test between the two groups in the 12th month after operation (p?>?0.05). CONCLUSION: During ACL reconstruction with PLT, treatment strategy of ACL stump retention length?ò?1/2 is more effective than treatment strategy of length?<?1/2 for patients with ACL injury of the knee joint.",PubMed/MEDLINE,10.1186/s12893-025-02913-w,
7,PM-7,Corrˆa et al. (2025),2025,Combined Anterior Cruciate Ligament and Posterolateral Corner Reconstruction: Modified Technique Using a Single Femoral Tunnel Using Hamstrings and Peroneus Longus Tendon,"Posterolateral corner (PLC) injuries are uncommon injuries often associated with anterior cruciate ligament (ACL) lesions. Several difficulties, including graft, femoral tunnel convergence, and the need for multiple fixation devices, complicate the combined ACL and PLC reconstruction. The purpose of this Technical Note is to describe a combined ACL and PLC reconstruction technique, using hamstrings and peroneus longus autologous grafts, in which the same femoral tunnel for the ACL and fibular collateral ligament reconstruction is used.",PubMed/MEDLINE,10.1016/j.eats.2025.103557,
8,PM-8,Silva et al. (2025),2025,Inframalleolar harvest of the peroneus longus tendon graft: Surgical technique,"Peroneus longus tendon (PLT) graft has recently gained visibility in the literature as a promising option for knee ligament reconstructions. The most used harvesting technique is performed with a single incision posterior to the lateral malleolus, with large series reporting tendon lengths enough to prepare a double or triple anterior cruciate ligament (ACL) graft, resulting in mean diameters greater than 8.0 mm. However, as happens with the hamstrings, some patients may present PLT grafts with a 7-mm diameter, which is associated with higher failure rates and is the minimum acceptable diameter for ACL reconstructions. In turn, the 2-incision technique has longer graft lengths reported, enough to prepare 4-folded grafts, with mean diameters above 9.0 mm, ranging from 8.5 to 10 mm. Once the PLT graft diameter has a direct correlation with anthropometric measurements, as well as larger ACL graft diameters are associated with lower failure rates and revision surgeries, the inframalleolar harvesting seems to be a reasonable option, especially for short-stature patients with a greater risk of insufficient grafts. Additionally, patients who benefit from an extra-articular procedure can have a combined reconstruction of the ACL and anterolateral ligament using the PLT graft with the two-incision technique, with no need for another graft. Therefore, this article aims to describe the step-by-step technique for the inframalleolar PLT harvesting.",PubMed/MEDLINE,10.1016/j.jisako.2025.100384,
9,PM-9,Gupta et al. (2025),2025,Ipsilateral Autologous Peroneus Longus and Bone Patellar Tendon Graft for Revision Anterior Cruciate Ligament Reconstruction Leads to Similar Functional Outcome,"INTRODUCTION: Due to the yearly rise in primary anterior cruciate ligament (ACL) reconstructions, revision ACL reconstruction is becoming more and more common in knee surgery. Choosing the appropriate graft and determining the surgical treatment staging by assessing the likelihood of doing the most anatomical revision canals and placing them with the primary canals before surgery are crucial factors affecting treatment outcomes. AIM OF THE STUDY: The purpose of this study was to evaluate the differences in the patient-reported functional outcomes in revision ACL reconstruction using peroneus longus and bone-patellar tendon-bone (BTB) autografts in a single-stage revision ACL reconstruction. MATERIALS AND METHODS: Twenty-three patients who were eligible for follow-up among 25 surgeries performed between 2015 and 2023 were included in this retrospective analysis and met the inclusion criteria. The patient reported functional outcome, Lysholm knee score, Tegner activity level, and Visual Analog Scale (VAS) for pain before the injury and during the most recent follow-up. The peroneus longus (PL) and bone-patellar tendon-bone (BPTB) groups' patient-reported results were assessed. RESULTS: There were no significant differences between the two revision groups with PL and BPTB autograft in terms of age, sex, duration between injury and surgery, concurrent injuries, and isolated or complex surgeries. There was not a significant difference between the groups' pre-injury patient-reported outcomes, including the Lysholm knee score, Tegner activity, and VAS for pain (n.s.). There was not a significant difference in the two groups' functional results at follow-up, although both groups' functional outcomes improved and all patients recovered to their pre-injury activity level. CONCLUSION: Overall, the findings suggest that graft options (peroneus longus and BTB) and surgical complexities (isolated and complex revision) yield comparable functional outcomes for most measures. However, notable differences in post-operative pain levels warrant further exploration. These results underscore the effectiveness of both graft types and surgical techniques in achieving satisfactory recovery while acknowledging the necessity of customized approaches to pain management based on individual patient circumstances.",PubMed/MEDLINE,10.13107/jocr.2025.v15.i04.5506,
10,PM-10,Hinz et al. (2025),2025,MCL augmentation using a peroneus longus split tendon autograft satisfactorily restores knee stability with no impairment in foot function and with a low failure rate for concurrent ACL reconstruction,"PURPOSE: Addressing grade 2 and 3 medial-sided instabilities during anterior cruciate ligament (ACL) reconstruction is crucial to reduce the risk of ACL graft failure. This study introduced a minimally invasive, medial collateral ligament (MCL) augmentation technique using a peroneus longus split tendon autograft, which was fixed to the femoral deep MCL insertion and tibial superficial MCL insertion. METHODS: This prospective, longitudinal, single-centre case series included patients who underwent MCL augmentation concurrent with primary or revision ACL reconstruction due to anteromedial instability. Preoperatively and at 1-year follow-up, clinical examinations, such as rolimeter test of anterior tibial translation and medial instability, knee (International Knee Documentation Committee subjective knee form [IKDC], Lsyholm, Knee Injury and Osteoarthritis Outcome Score [KOOS]) and foot function scores (American Orthopaedic Foot and Ankle Society score [AOFAS]) and complications, were analyzed. RESULTS: Thirty-one patients with a mean follow-up of 13.5?ñ?2.6 months and a mean age of 27.8?ñ?9.6 years were included. The side-to-side difference for anterior tibial translation significantly improved from preoperative to 1-year follow-up with an ACL reconstruction failure rate of 6.5%. No patient retained a grade 2 or 3 medial instability on valgus stress testing with 30ø flexion. Significant improvements from preoperative to 1-year postoperative follow-up were observed in knee function scores: IKDC (48.9?ñ?26.9- 71.3?ñ?11.5, p?<?0.001) and Lysholm (59.9?ñ?28.5-80.5?ñ?11.2, p?=?0.002) as well as KOOS pain, ADL, sport and QoL, each reaching the respective minimal clinically important difference values. The foot function score AOFAS showed no significant impairment (100?ñ?0-99.3?ñ?2.5, p?=?0.250). Complications included cyclops lesions of ACL reconstruction in three patients. CONCLUSION: At 1-year follow-up, MCL augmentation using a peroneus longus split tendon autograft for patients simultaneously undergoing ACL reconstruction satisfactorily restores knee stability, has a low ACL reconstruction failure rate and does not significantly impair foot function. LEVEL OF EVIDENCE: Level IV therapeutic study; case series.",PubMed/MEDLINE,10.1002/ksa.12522,
