id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,deduplication,title_abstract_screening,full-text_screening,reason_for_exclusion
,Popovic M (2024),PubMed,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Popovic,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,Reduced Knee Flexion Strength 18 Ye,2024,10.1177/03635465241271524,Am J Sports Med,Popovic2024,,,
,ObradoviÄ‡ M (2023),PubMed,"ObradoviÄ‡ M, NinkoviÄ‡ S, GvozdenoviÄ‡ N, ToÅ¡iÄ‡ M, Milinkov M, DuliÄ‡ O.",ObradoviÄ‡,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,Tubularization of Bone-Tendon-Bone ,2023,10.3390/medicina59101764,Medicina (Kaunas),ObradoviÄ‡2023,,,
,de Souza Borges JH (2022),PubMed,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",de,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,Is contralateral autogenous patella,2022,10.1016/j.knee.2022.03.015,Knee,de2022,,,
,Chahal J (2022),PubMed,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Chahal,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0Â° Versus 30Â° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,Anterior Cruciate Ligament Patellar,2022,10.1016/j.arthro.2021.12.018,Arthroscopy,Chahal2022,,,
,KomzÃ¡k M (2022),PubMed,"KomzÃ¡k M, Hart R, NÃ¡hlÃ­k D, VysokÃ½ R.",KomzÃ¡k,In vivo knee rotational stability 2Â years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,In vivo knee rotational stability 2,2022,10.1007/s00402-021-04195-2,Arch Orthop Trauma Surg,KomzÃ¡k2022,,,
,Marmura H (2021),PubMed,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Marmura,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,Validation of a Risk Calculator to ,2021,10.1177/03635465211010798,Am J Sports Med,Marmura2021,,,
,BariÃ© A (2020),PubMed,"BariÃ© A, Sprinckstub T, Huber J, Jaber A.",BariÃ©,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10Â years",Quadriceps tendon vs. patellar tend,2020,10.1007/s00402-020-03508-1,Arch Orthop Trauma Surg,BariÃ©2020,,,
,Castoldi M (2020),PubMed,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Castoldi,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,A Randomized Controlled Trial of Bo,2020,10.1177/0363546520914936,Am J Sports Med,Castoldi2020,,,
,Murray MM (2020),PubMed,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Murray,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,Bridge-Enhanced Anterior Cruciate L,2020,10.1177/0363546520913532,Am J Sports Med,Murray2020,,,
,Smith PA (2020),PubMed,"Smith PA, Cook CS, Bley JA.",Smith,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,All-Inside Quadrupled Semitendinosu,2020,10.1016/j.arthro.2020.01.048,Arthroscopy,Smith2020,,,
