doi,authors,first_author,title,short_title,year,journal,key
10.2106/JBJS.19.00098,"Sporsheim AN, Gifstad T, Lundemo TO, Engebretsen L, Strand T, Mølster A, Drogset JO.",Sporsheim,Autologous BPTB ACL Reconstruction Results in Lower Failure Rates Than ACL Repair with and without Synthetic Augmentation at 30 Years of Follow-up: A Prospective Randomized Study,autologousbptbaclreconstructionresultsinlowerfailureratesthanaclrepairwithandwithoutsyntheticaugmentationat30yearsoffollowup:aprospectiverandomizedstudy,2019,J Bone Joint Surg Am,Sporsheim+autologousbptbaclreconstructionresultsinlowerfailureratesthanaclrepairwithandwithoutsyntheticaugmentationat30yearsoffollowup:aprospectiverandomizedstudy+2019
10.1177/2309499019867580,"Alentorn-Geli E, Seijas R, Martínez-De la Torre A, Cuscó X, Steinbacher G, Álvarez-Díaz P, Barastegui D, Navarro J, Serra-Renom JM, Nishishinya B, Català J, Laiz P, García-Balletbó M, Cugat R.",Alentorn-Geli,Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,effectsofautologousadiposederivedregenerativestemcellsadministeredatthetimeofanteriorcruciateligamentreconstructiononkneefunctionandgrafthealing,2019,J Orthop Surg (Hong Kong),Alentorn-Geli+effectsofautologousadiposederivedregenerativestemcellsadministeredatthetimeofanteriorcruciateligamentreconstructiononkneefunctionandgrafthealing+2019
10.1055/s-0033-1343614,"Barber FA, Hrnack SA.",Barber,Poly L-lactide co-glycolide/β-tricalcium phosphate interference screw fixation for bone-patellar tendon bone anterior cruciate ligament reconstruction,polyllactidecoglycolide/βtricalciumphosphateinterferencescrewfixationforbonepatellartendonboneanteriorcruciateligamentreconstruction,2013,J Knee Surg,Barber+polyllactidecoglycolide/βtricalciumphosphateinterferencescrewfixationforbonepatellartendonboneanteriorcruciateligamentreconstruction+2013
10.1007/s00167-011-1585-y,"Fernandes TL, Protta TR, Fregni F, Neto RB, Pedrinelli A, Camanho GL, Hernandez AJ.",Fernandes,Isokinetic muscle strength and knee function associated with double femoral pin fixation and fixation with interference screw in anterior cruciate ligament reconstruction,isokineticmusclestrengthandkneefunctionassociatedwithdoublefemoralpinfixationandfixationwithinterferencescrewinanteriorcruciateligamentreconstruction,2012,Knee Surg Sports Traumatol Arthrosc,Fernandes+isokineticmusclestrengthandkneefunctionassociatedwithdoublefemoralpinfixationandfixationwithinterferencescrewinanteriorcruciateligamentreconstruction+2012
10.1016/j.arthro.2010.11.056,"Barber FA, Dockery WD, Hrnack SA.",Barber,Long-term degradation of a poly-lactide co-glycolide/β-tricalcium phosphate biocomposite interference screw,longtermdegradationofapolylactidecoglycolide/βtricalciumphosphatebiocompositeinterferencescrew,2011,Arthroscopy,Barber+longtermdegradationofapolylactidecoglycolide/βtricalciumphosphatebiocompositeinterferencescrew+2011
10.1007/s00264-011-1206-x,"Mihelic R, Jurdana H, Jotanovic Z, Madjarevic T, Tudor A.",Mihelic,Long-term results of anterior cruciate ligament reconstruction: a comparison with non-operative treatment with a follow-up of 17-20 years,longtermresultsofanteriorcruciateligamentreconstruction:acomparisonwithnonoperativetreatmentwithafollowupof1720years,2011,Int Orthop,Mihelic+longtermresultsofanteriorcruciateligamentreconstruction:acomparisonwithnonoperativetreatmentwithafollowupof1720years+2011
10.1016/j.injury.2010.09.029,"Volpi P, Cervellin M, Denti M, Bait C, Melegati G, Quaglia A, de Girolamo L.",Volpi,ACL reconstruction in sports active people: transtibial DB technique with ST/G vs. transtibial SB technique with BPTB: preliminary results,aclreconstructioninsportsactivepeople:transtibialdbtechniquewithst/gvstranstibialsbtechniquewithbptb:preliminaryresults,2010,Injury,Volpi+aclreconstructioninsportsactivepeople:transtibialdbtechniquewithst/gvstranstibialsbtechniquewithbptb:preliminaryresults+2010
10.1016/j.arthro.2006.12.026,"Barber FA, Boothby MH.",Barber,Bilok interference screws for anterior cruciate ligament reconstruction: clinical and radiographic outcomes,bilokinterferencescrewsforanteriorcruciateligamentreconstruction:clinicalandradiographicoutcomes,2007,Arthroscopy,Barber+bilokinterferencescrewsforanteriorcruciateligamentreconstruction:clinicalandradiographicoutcomes+2007
10.1007/s00167-006-0138-2,"Isberg J, Faxén E, Brandsson S, Eriksson BI, Kärrholm J, Karlsson J.",Isberg,Early active extension after anterior cruciate ligament reconstruction does not result in increased laxity of the knee,earlyactiveextensionafteranteriorcruciateligamentreconstructiondoesnotresultinincreasedlaxityoftheknee,2006,Knee Surg Sports Traumatol Arthrosc,Isberg+earlyactiveextensionafteranteriorcruciateligamentreconstructiondoesnotresultinincreasedlaxityoftheknee+2006
10.1007/s00113-005-0948-6,"Tecklenburg K, Hoser C, Sailer R, Oberladstätter J, Fink C.",Tecklenburg,[ACL reconstruction with bone-patellar tendon-bone graft and proximal fixation with the EndoButton: a 2- to 5-year follow-up],aclreconstructionwithbonepatellartendonbonegraftandproximalfixationwiththeendobutton:a2to5yearfollowup,2005,Unfallchirurg,Tecklenburg+aclreconstructionwithbonepatellartendonbonegraftandproximalfixationwiththeendobutton:a2to5yearfollowup+2005
10.1007/s00167-003-0386-3,"Melegati G, Tornese D, Bandi M, Volpi P, Schonhuber H, Denti M.",Melegati,The role of the rehabilitation brace in restoring knee extension after anterior cruciate ligament reconstruction: a prospective controlled study,theroleoftherehabilitationbraceinrestoringkneeextensionafteranteriorcruciateligamentreconstruction:aprospectivecontrolledstudy,2003,Knee Surg Sports Traumatol Arthrosc,Melegati+theroleoftherehabilitationbraceinrestoringkneeextensionafteranteriorcruciateligamentreconstruction:aprospectivecontrolledstudy+2003
10.1177/03635465030310022101,"Otsuka H, Ishibashi Y, Tsuda E, Sasaki K, Toh S.",Otsuka,Comparison of three techniques of anterior cruciate ligament reconstruction with bone-patellar tendon-bone graft. Differences in anterior tibial translation and tunnel enlargement with each technique,comparisonofthreetechniquesofanteriorcruciateligamentreconstructionwithbonepatellartendonbonegraftdifferencesinanteriortibialtranslationandtunnelenlargementwitheachtechnique,2003,Am J Sports Med,Otsuka+comparisonofthreetechniquesofanteriorcruciateligamentreconstructionwithbonepatellartendonbonegraftdifferencesinanteriortibialtranslationandtunnelenlargementwitheachtechnique+2003
10.1007/s00113-001-0405-0,"Gorschewsky O, Browa A, Vogel U, Stauffer E.",Gorschewsky,[Clinico-histologic comparison of allogenic and autologous bone-tendon-bone using one-third of the patellar tendon in reconstruction of the anterior cruciate ligament],clinicohistologiccomparisonofallogenicandautologousbonetendonboneusingonethirdofthepatellartendoninreconstructionoftheanteriorcruciateligament,2002,Unfallchirurg,Gorschewsky+clinicohistologiccomparisonofallogenicandautologousbonetendonboneusingonethirdofthepatellartendoninreconstructionoftheanteriorcruciateligament+2002
10.1302/0301-620x.84b3.12400,"Nau T, Lavoie P, Duval N.",Nau,A new generation of artificial ligaments in reconstruction of the anterior cruciate ligament. Two-year follow-up of a randomised trial,anewgenerationofartificialligamentsinreconstructionoftheanteriorcruciateligamenttwoyearfollowupofarandomisedtrial,2002,J Bone Joint Surg Br,Nau+anewgenerationofartificialligamentsinreconstructionoftheanteriorcruciateligamenttwoyearfollowupofarandomisedtrial+2002
10.1034/j.1600-0838.2002.120109.x,"Sernert N, Kartus J, Köhler K, Ejerhed L, Brandsson S, Karlsson J.",Sernert,"Comparison of functional outcome after anterior cruciate ligament reconstruction resulting in low, normal and increased laxity",comparisonoffunctionaloutcomeafteranteriorcruciateligamentreconstructionresultinginlownormalandincreasedlaxity,2002,Scand J Med Sci Sports,Sernert+comparisonoffunctionaloutcomeafteranteriorcruciateligamentreconstructionresultinginlownormalandincreasedlaxity+2002
10.1007/s004020100290,"Pape D, Seil R, Adam F, Gödde S, Georg T, Rupp S, Kohn D.",Pape,Blood loss in anterior cruciate ligament (ACL) reconstruction with and without intercondylar notchplasty: does it affect the clinical outcome?,bloodlossinanteriorcruciateligament(acl)reconstructionwithandwithoutintercondylarnotchplasty:doesitaffecttheclinicaloutcome?,2001,Arch Orthop Trauma Surg,Pape+bloodlossinanteriorcruciateligament(acl)reconstructionwithandwithoutintercondylarnotchplasty:doesitaffecttheclinicaloutcome?+2001
10.1177/03635465010290031501,"Ahmad CS, Shubin Stein BE, Jeshuran W, Nercessian OA, Henry JH.",Ahmad,Anterior cruciate ligament function after tibial eminence fracture in skeletally mature patients,anteriorcruciateligamentfunctionaftertibialeminencefractureinskeletallymaturepatients,2001,Am J Sports Med,Ahmad+anteriorcruciateligamentfunctionaftertibialeminencefractureinskeletallymaturepatients+2001
10.1007/s001670000179,"Ejerhed L, Kartus J, Köhler K, Sernert N, Brandsson S, Karlsson J.",Ejerhed,Preconditioning patellar tendon autografts in arthroscopic anterior cruciate ligament reconstruction: a prospective randomized study,preconditioningpatellartendonautograftsinarthroscopicanteriorcruciateligamentreconstruction:aprospectiverandomizedstudy,2001,Knee Surg Sports Traumatol Arthrosc,Ejerhed+preconditioningpatellartendonautograftsinarthroscopicanteriorcruciateligamentreconstruction:aprospectiverandomizedstudy+2001
10.1034/j.1600-0838.2001.011002110.x,"Brandsson S, Faxén E, Kartus J, Eriksson BI, Karlsson J.",Brandsson,"Is a knee brace advantageous after anterior cruciate ligament surgery? A prospective, randomised study with a two-year follow-up",isakneebraceadvantageousafteranteriorcruciateligamentsurgery?aprospectiverandomisedstudywithatwoyearfollowup,2001,Scand J Med Sci Sports,Brandsson+isakneebraceadvantageousafteranteriorcruciateligamentsurgery?aprospectiverandomisedstudywithatwoyearfollowup+2001
10.1007/s001130050634,"Fremerey R, Lobenhoffer P, Skutek M, Zeichen J, Gerich T, Bosch U.",Fremerey,[Proprioception after reconstruction of the anterior cruciate ligament. Endoscopic vs. 2 tunnel technique],proprioceptionafterreconstructionoftheanteriorcruciateligamentendoscopicvs2tunneltechnique,2000,Unfallchirurg,Fremerey+proprioceptionafterreconstructionoftheanteriorcruciateligamentendoscopicvs2tunneltechnique+2000
