id,,title_abstract_screening,comments,LOE
1,Sporsheim (2019),Yes,BPTB vs. repair (use as single-arm),I
2,Alentorn-Geli (2019),No,,
3,Barber (2013),No,Case series,IV
4,Fernandes (2012),No,Prospective cohort study,II
5,Barber (2011),No,Case series,IV
6,Mihelic (2011),No,Retrospective cohort study,III
7,Volpi (2010),Yes,Hamstring single vs. double,I
8,Barber (2007),No,,
9,Isberg (2006),No,,
10,Tecklenburg (2005),Maybe,non-English,
11,Melegati (2003),No,,
12,Otsuka (2003),No,,
13,Gorschewsky (2002),Maybe,non-English,
14,Nau (2002),Yes,,
15,Sernert (2002),No,Retrospective cohort study,III
16,Pape (2001),No,,
17,Ahmad (2001),No,,
18,Ejerhed (2001),Yes,,I
19,Brandsson (2001),No,,
20,Fremerey (2000),No,non-English,
21,Fink (2000),Yes,Single-arm,I
22,Järvelä (1999),No,non-English,
23,Jomha (1999),Maybe,,II
24,Gebhard (1999),No,,
25,Sernert (1999),Yes,,I
26,van (1998),Yes,,I
27,Gerich (1998),Yes,,I
28,Muellner (1998),No,,
29,Brandsson (1998),Yes,,I
30,Gerich (1997),Yes,,I
31,al-Zarahini (1997),No,,
32,Thuresson (1996),Maybe,,II
33,Grøntvedt (1995),No,Repair,
34,Barber (1995),Yes,,I
35,Cameron (1995),Yes,,I
36,Rosen (1992),No,,
37,Richmond (1991),Yes,,I
38,Engebretsen (1990),No,Repair,
39,Getgood (2024),No,Review,
40,Helito (2023),No,Retrospective cohort study,III
41,Lodhia (2022),No,Secondary study using RCT (LoE: II),II
42,Grassi (2022),Yes,,I
43,Jin (2022),No,,
44,Labianca (2022),Yes,,I
45,Firth (2022),Yes,,I
46,Getgood (2020),Yes,,I
47,Tajima (2019),Yes,,I
48,Mayr (2018),Yes,,I
49,Ateschrang (2016),No,"NRCT, multi-ligamentous op.",II
50,Tsoukas (2016),Yes,,I
51,Offerhaus (2015),No,non-English,
52,Offerhaus (2014),No,non-English,
53,Ahldén (2013),Yes,Hamstring single vs. double,I
54,Iorio (2013),No,non-English,
55,Mirzatolooei (2012),Yes,,I
56,Koutras (2013),Maybe,II,II
57,Zhang (2012),Yes,,I
58,Suomalainen (2012),Yes,,I
59,Lahner (2012),No,non-English,
60,Yasuda (2012),No,Case series,IV
61,Hussein (2012),Yes,,I
62,Noh (2011),No,Prospective cohort study,II
63,Gobbi (2012),No,Prospective cohort study,II
64,De (2011),Yes,,I
65,Suomalainen (2011),Yes,,I
66,Isberg (2011),No,III,III
67,Izawa (2011),No,III,III
68,Lee (2011),Maybe,,
69,Sobhy (2010),No,,
70,Basad (2010),No,,
71,Ibrahim (2009),Yes,,
72,Aglietti (2010),Yes,Hamstring single vs. double,
73,Robert (2009),No,Prospective cohort study,II
74,Marcacci (2009),No,,IV
75,Schneider (2008),No,Pediatric,
76,Yagi (2007),Maybe,Therapeutic study RCT,II
77,Tow (2005),No,Prospective cohort study,II
78,Zhao (2006),Maybe,,II
79,Giron (2005),Maybe,,II
80,Sobau (2004),No,,
81,Chen (2004),No,,
82,Robert (2004),Yes,,
83,Charlton (2003),No,Retrospective cohort study,III
84,Hamada (2001),No,NRCT,II
85,Röpke (2001),No,non-English,
86,Beard (2001),Yes,,
87,Simonian (2000),No,,
88,Jørgensen (2000),No,,
89,Clatworthy (1999),No,,
90,Kühne (1998),No,,
91,Billotti (1997),Maybe,,
92,MacDonald (1995),No,,
93,Karlson (1994),No,,
94,Anderson (1994),Maybe,,
95,Santi (1994),No,,
96,Li (2025),Yes,,
97,Ithurburn (2018),No,Pediatric,
98,Lelli (2016),No,,
99,Heitmann (2014),No,non-English,
100,Pressel (2005),No,non-English,
101,Ross (2002),No,,
102,Tyler (1998),Yes,,
103,Gillquist (1988),No,,
104,Schandl (2016),Yes,,
105,Hofmann (2001),Yes,,
106,Van (1998),Yes,,
107,McCarthy (1993),No,,
108,Gupta (2025),Yes,,
109,Duraiswamy (2025),Yes,,
110,Fares (2023),No,,
111,Götschi (2023),Yes,,
112,Weninger (2023),Yes,,
113,Schoepp (2023),Yes,,
114,Chalidis (2022),No,Review,
115,Bade (2022),Yes,,
116,Amr (2022),,,
117,Panagopoulos (2021),Yes,,
118,Fleming (2021),Yes,,
119,Behnke (2021),No,,
120,Djordjevi? (2021),,,
121,Lee (2020),Yes,,
122,Getgood (2019),Yes,,
123,Murray (2019),Maybe,Hamstring vs. BEAR,II
124,Manandhar (2018),Yes,,
125,Karikis (2017),Maybe,,II
126,Khare (2017),No,,
127,Gupta (2017),Yes,,
128,Tu (2016),,,
129,Wang (2015),,,
130,Inoue (2015),Maybe,,
131,Zeman (2014),Yes,,
132,Hegde (2014),Yes,,
133,Koken (2014),Yes,,
134,Mirzatolooei (2012),No,non-English,
135,Xu (2012),,,
136,Fujita (2011),Yes,,
137,Wang (2009),Yes,,
138,Ferretti (2008),Yes,,
139,Adachi (2004),Yes,,
140,Beard (2001),Yes,,
141,Lavender (2025),Yes,,
142,Yue (2025),Yes,,
143,Ong (2024),Yes,,
144,Khan (2024),No,duplicate?,
145,Khan (2024),Yes,,
146,Runner (2018),Yes,,
147,Zhang (2017),No,non-English,
148,Staub (2002),No,non-English,
149,Tegner (1985),No,,
150,Prasad (2024),,,
151,Perry (2022),No,,
152,Kim (2013),Yes,,
153,Mutsuzaki (2018),Yes,,
154,Fithian (2005),No,II,
155,Chen (2017),No,III,
156,Bohn (2015),Yes,,
157,Drocco (2017),,,
158,Kim (2018),Yes,,
159,Cai (2023),Yes,,
160,Song (2018),No,III,
161,Vicente-Mampel (2025),Yes,,
162,Helal (2024),Maybe,I or II. Randomized?,
163,Kiekara (2017),No,,
