,id,title,authors,journal,year,doi
0,40834676,"Prospective, randomized study comparing clinical outcomes when reconstructing ACL with either semitendinosus autograft or the Jewel synthetic standalone device in two separate patient cohorts","Kentel M, Krupa S, Reichert P, Korolczuk K, Kentel M, Kentel K, Daszkiewicz M.",Knee,2025,10.1016/j.knee.2025.07.024
1,40476596,"Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study","Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Randsborg PH, Inderhaug E.",Am J Sports Med,2025,10.1177/03635465251344106
2,40351242,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,"Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.",Knee Surg Sports Traumatol Arthrosc,2026,10.1002/ksa.12698
3,39947195,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,"Cao X, Liu J, Zhao J, Feng S, Zhao Z.",J Sport Rehabil,2025,10.1123/jsr.2024-0160
4,39855903,[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport],"García-Linage R, Lassard-Rosenthal J, Noval-García R, Muñiz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-Córdoba I, Zimbrón-López D.",Acta Ortop Mex,2025,
5,39810716,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,"Calvert ND, Ebert JR, Radic R.",Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.12583
6,39714511,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, Stålman A, Khan ZA.",Arch Orthop Trauma Surg,2024,10.1007/s00402-024-05639-1
7,39526870,Early versus delayed start of weight-bearing after arthroscopic anterior cruciate ligament reconstruction with hamstring tendons,"Yang X, Li Y, He C, Jin T, Huang Y.",J Sports Med Phys Fitness,2025,10.23736/S0022-4707.24.16134-8
8,39343075,"Medial Collateral Ligament Repair, Isolated Suture-Tape-Bracing and No Repair for Grade III Medial Collateral Ligament Tears During Anterior Cruciate Ligament Reconstruction Have Similar Outcome for Combined Anterior Cruciate Ligament With Medial Collateral Ligament Injury: A 3-Arm Randomized Controlled Trial","Ramakanth R, Sundararajan SR, Sujith BSG, D'Souza T, Arumugam P, Rajasekaran S.",Arthroscopy,2025,10.1016/j.arthro.2024.09.023
9,39221503,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Am J Sports Med,2024,10.1177/03635465241271524
10,38845474,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study,"Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Inderhaug E.",Am J Sports Med,2024,10.1177/03635465241254048
11,38811116,Avoiding Graft Failure: Lessons Learned from the Stability Trial,Getgood AMJ.,Clin Sports Med,2024,10.1016/j.csm.2023.08.005
12,38752242,[Early effectiveness of local injection of multimodal drug cocktail during anterior cruciate ligament reconstruction and its influence on cartilage],"Yu H, Dong Z, Shi Z, Li L, Dong K, Liu H, Li Y.",Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,2024,10.7507/1002-1892.202402054
13,38284303,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,"Ebert JR, Calvert ND, Radic R.",Am J Sports Med,2024,10.1177/03635465231222279
14,38066516,Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation,"Ma W, Yang Y, Ha X.",BMC Surg,2023,10.1186/s12893-023-02271-5
15,37923738,"Nordic hamstring exercises in functional knee rehabilitation after anterior cruciate ligament reconstruction: a prospective, randomised, controlled study","Chen J, Wu T, Guo Y.",Sci Rep,2023,10.1038/s41598-023-45817-6
16,37873691,Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice,"Cruz CA, Mannino BJ, Pike A, Thoma D, Lindell K, Kerbel YE, McCadden A, Lopez AJ, Bottoni CR.",J ISAKOS,2022,10.1016/j.jisako.2022.04.002
17,37499157,Application of 3D-Printed Personalized Guide for Lateral Femoral Positioning in Anterior Cruciate Ligament Reconstruction of the Knee,"Lan X, Huang J, Tian F, Wang S, Liu C, Wang J.",Altern Ther Health Med,2023,
18,37468645,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,"Tang N, Eren M, Gurpinar T, Ozturkmen Y.",Eur J Orthop Surg Traumatol,2024,10.1007/s00590-023-03636-5
19,37270112,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate,"Rezansoff A, Firth AD, Bryant DM, Litchfield R, McCormack RG, Heard M, MacDonald PB, Spalding T, Verdonk PCM, Peterson D, Bardana D; STABILITY Study Group; Getgood AMJ.",Arthroscopy,2024,10.1016/j.arthro.2023.05.019
20,36988698,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,"Mousavi SH, Radi M, Kazemi D, Izadpanah F, Shahrouzian A.",Eur J Orthop Surg Traumatol,2023,10.1007/s00590-023-03522-0
21,36935576,Female Athletes With Better Psychological Readiness Are at Higher Risk for Second ACL Injury After Primary ACL Reconstruction,"Zarzycki R, Cummer K, Arhos E, Failla M, Capin JJ, Smith AH, Snyder-Mackler L.",Sports Health,2024,10.1177/19417381231155120
22,36856280,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study","Kuliński K, Waśko MK, Tramś E, Malesa K, Pomianowski S, Kamiński R.",Am J Sports Med,2023,10.1177/03635465221149738
23,36774971,Small Hamstring Tendon Graft for Anterior Cruciate Ligament Reconstruction Combined With Anterolateral Ligament Reconstruction Results in the Same Failure Rate as Larger Hamstring Tendon Graft Reconstruction Alone,"Helito CP, da Silva AGM, Sobrado MF, Guimarães TM, Gobbi RG, Pécora JR.",Arthroscopy,2023,10.1016/j.arthro.2023.01.101
24,36720663,A comparison of the outcomes of anterior curciate ligament reconstruction with large-size graft versus reconstruction with average-size graft combined with extraarticular tenodesis,"El-Azab H, Moursy M, Mohamed MA, Elsayed M.",Injury,2023,10.1016/j.injury.2023.01.033
25,36646169,No increase in adverse events with lateral extra-articular tenodesis augmentation of anterior cruciate ligament reconstruction - Results from the stability randomized trial,"Heard M, Marmura H, Bryant D, Litchfield R, McCormack R, MacDonald P, Spalding T, Verdonk P, Peterson D, Bardana D, Rezansoff A; STABILITY Study Group; Getgood A.",J ISAKOS,2023,10.1016/j.jisako.2022.12.001
