,id,title,authors,journal,year,doi
0,39221503,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Am J Sports Med,2024,10.1177/03635465241271524
1,37893482,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,"Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.",Medicina (Kaunas),2023,10.3390/medicina59101764
2,35468330,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",Knee,2022,10.1016/j.knee.2022.03.015
3,34952186,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Arthroscopy,2022,10.1016/j.arthro.2021.12.018
4,34601649,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,"Komzák M, Hart R, Náhlík D, Vysoký R.",Arch Orthop Trauma Surg,2022,10.1007/s00402-021-04195-2
5,33945339,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Am J Sports Med,2021,10.1177/03635465211010798
6,32504178,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A, Sprinckstub T, Huber J, Jaber A.",Arch Orthop Trauma Surg,2020,10.1007/s00402-020-03508-1
7,32368935,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Am J Sports Med,2020,10.1177/0363546520914936
8,32298131,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Am J Sports Med,2020,10.1177/0363546520913532
9,32059954,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,"Smith PA, Cook CS, Bley JA.",Arthroscopy,2020,10.1016/j.arthro.2020.01.048
10,31800420,Autologous BPTB ACL Reconstruction Results in Lower Failure Rates Than ACL Repair with and without Synthetic Augmentation at 30 Years of Follow-up: A Prospective Randomized Study,"Sporsheim AN, Gifstad T, Lundemo TO, Engebretsen L, Strand T, Mølster A, Drogset JO.",J Bone Joint Surg Am,2019,10.2106/JBJS.19.00098
11,31470759,Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,"Alentorn-Geli E, Seijas R, Martínez-De la Torre A, Cuscó X, Steinbacher G, Álvarez-Díaz P, Barastegui D, Navarro J, Serra-Renom JM, Nishishinya B, Català J, Laiz P, García-Balletbó M, Cugat R.",J Orthop Surg (Hong Kong),2019,10.1177/2309499019867580
12,31169571,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up","Mohtadi NG, Chan DS.",J Bone Joint Surg Am,2019,10.2106/JBJS.18.01322
13,30733025,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial,"Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.",Arthroscopy,2019,10.1016/j.arthro.2018.10.149
14,29741923,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial,"Walters BL, Porter DA, Hobart SJ, Bedford BB, Hogan DE, McHugh MM, Klein DA, Harousseau K, Nicholas SJ.",Am J Sports Med,2018,10.1177/0363546518769295
15,29741911,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,"Sajovic M, Stropnik D, Skaza K.",Am J Sports Med,2018,10.1177/0363546518768768
16,27717747,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Orthop Traumatol Surg Res,2016,10.1016/j.otsr.2016.08.011
17,27568219,Double-layer versus single-layer bone-patellar tendon-bone anterior cruciate ligament reconstruction: a prospective randomized study with 3-year follow-up,"Mei X, Zhang Z, Yang J.",Arch Orthop Trauma Surg,2016,10.1007/s00402-016-2548-z
18,27376940,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Eur J Orthop Surg Traumatol,2016,10.1007/s00590-016-1809-4
19,27371291,Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts,"Iliopoulos E, Galanis N, Zafeiridis A, Iosifidis M, Papadopoulos P, Potoupnis M, Geladas N, Vrabas IS, Kirkos J.",Knee Surg Sports Traumatol Arthrosc,2017,10.1007/s00167-016-4229-4
20,27229354,A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,"Björnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostgård-Christensen L, Karlsson J, Kartus J.",Am J Sports Med,2016,10.1177/0363546516646378
21,27159308,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Am J Sports Med,2016,10.1177/0363546516638387
22,26838934,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Am J Sports Med,2016,10.1177/0363546515624471
23,26725050,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",Arch Orthop Trauma Surg,2016,10.1007/s00402-015-2386-4
24,26578718,Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Am J Sports Med,2016,10.1177/0363546515611886
25,26164058,"Reruptures, Reinjuries, and Revisions at a Minimum 2-Year Follow-up: A Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction","Mohtadi N, Chan D, Barber R, Paolucci EO.",Clin J Sport Med,2016,10.1097/JSM.0000000000000209
26,26039020,"[Long-term outcomes after ""anatomic"" reconstruction of anterior cruciate ligament using central third of patellar tendon]","Płomiński J, Piątkowski K, Rowicki K.",Pol Merkur Lekarski,2015,
27,25514139,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up","Mohtadi N, Chan D, Barber R, Oddone Paolucci E.",Clin J Sport Med,2015,10.1097/JSM.0000000000000165
28,25384473,Comparison between two different platelet-rich plasma preparations and control applied during anterior cruciate ligament reconstruction. Is there any evidence to support their use?,"Valentí Azcárate A, Lamo-Espinosa J, Aquerreta Beola JD, Hernandez Gonzalez M, Mora Gasque G, Valentí Nin JR.",Injury,2014,10.1016/S0020-1383(14)70008-7
