,id,title,authors,journal,year,doi
0,39714511,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, Stålman A, Khan ZA.",Arch Orthop Trauma Surg,2024,10.1007/s00402-024-05639-1
1,29421837,All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: A Two-Year Follow-Up Study,"Bi M, Zhao C, Zhang S, Yao B, Hong Z, Bi Q.",J Knee Surg,2018,10.1055/s-0038-1627466
0,https://www.embase.com/search/results?subaction=viewrecord&id=L2032696887&from=export,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"Butt U., Vuletic F., Shaikh M.A.A., Amanullah, Rehman G.U., Shah I.A., Stålman A., Khan Z.A.",Archives of Orthopaedic and Trauma Surgery (2025) 145:1 Article Number: 85. Date of Publication: 1 Dec 2025,2025,10.1007/s00402-024-05639-1
1,https://www.embase.com/search/results?subaction=viewrecord&id=L2033557432&from=export,Comparative study of Peroneus longus tendon autograft versus Hamstring tendon autograft in arthroscopic anterior cruciate ligament reconstruction,"Khalil M.H., Zawam S.H.",International Orthopaedics (2025) 49:6 (1365-1372). Date of Publication: 1 Jun 2025,2025,10.1007/s00264-025-06468-6
2,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06769711&from=export,The Comparison of Tunnel Morphology and Graft Healing in Anterior Cruciate Ligament Reconstructions Using Peroneus Longus And Hamstring Tendons,,clinicaltrials.gov (2025). Date of Publication: 1 Jan 2025,2025,
3,https://www.embase.com/search/results?subaction=viewrecord&id=L2035509225&from=export,Comparative Study Between Functional Outcome of Knee with ACL Recontruction Using Hamstring Graft vs Peroneus longus Graft,"Siddique M.S., Chhutani D., Vatsa A.",Research Journal of Medical Sciences (2024) 18:3 (254-259). Date of Publication: 2024,2024,10.59218/makrjms.2024.3.254.259
4,https://www.embase.com/search/results?subaction=viewrecord&id=L2036218176&from=export,A PROSPECTIVE STUDY ON THE FUNCTIONAL OUTCOMES OF PRIMARY ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION TREATED WITH PERONEUS LONGUS AUTOGRAFT,"Prasad K., Biradar R.K., Patil V.K., Kembhavi R., Prashant K., Khodnapur G.",International Journal of Academic Medicine and Pharmacy (2024) 6:5 (477-481). Date of Publication: 2024,2024,10.47009/jamp.2024.6.5.90
5,https://www.embase.com/search/results?subaction=viewrecord&id=L2029140011&from=export,"Earlier Return to Sports, Reduced Donor-Site Morbidity with Doubled Peroneus Longus Versus Quadrupled Hamstring Tendon Autograft in ACL Reconstruction","Saeed U.B., Ramzan A., Anwar M., Tariq H., Tariq H., Yasin A., Mehmood T.",JBJS Open Access (2023) 8:4 Article Number: 00051. Date of Publication: 6 Dec 2023,2023,10.2106/JBJS.OA.23.00051
6,https://www.embase.com/search/results?subaction=viewrecord&id=L2039492805&from=export,Autologous Peroneus Longus Versus Hamstring Tendon for Anterior Cruciate Ligament Reconstruction in Knee,"Kumar D., Kunder R., Verma P.K., Lakhtakia P.K.",International Journal of Life Sciences Biotechnology and Pharma Research (2023) 12:4 (2052-2054). Date of Publication: 1 Oct 2023,2023,
7,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05580133&from=export,All-Inside Single-Bundle for ACL Reconstruction With Full Thickness of the Peroneus Longus Tendon Compared to the Six-strand-hamstring Autograft,,clinicaltrials.gov (2022). Date of Publication: 27 Sep 2022,2022,
8,https://www.embase.com/search/results?subaction=viewrecord&id=L2015583944&from=export,Is Peroneus longus autograft a better alternative to the Hamstring autograft for anterior cruciate ligament reconstruction? – A randomised control study,"Vijay C., Santosh M.S., Avinash C., Adarsh T.","Journal of Orthopaedics, Trauma and Rehabilitation (2022) 29:1. Date of Publication: 1 Jun 2022",2022,10.1177/22104917221088335
9,https://www.embase.com/search/results?subaction=viewrecord&id=L2015581725&from=export,"Determining the Roles of the Anterior Cruciate Ligament, Posterolateral Corner, and Medial Collateral Ligament in Knee Hyperextension Using the Heel-Height Test","Perry A.K., Knapik D.M., Gursoy S., Alter T.D., Clapp I.M., Verma N.N., LaPrade R.F., Chahla J.",Orthopaedic Journal of Sports Medicine (2022) 10:4. Date of Publication: 8 Apr 2022,2022,10.1177/23259671221086669
10,https://www.embase.com/search/results?subaction=viewrecord&id=L620767532&from=export,All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: A Two-Year Follow-Up Study,"Bi M., Zhao C., Zhang S., Yao B., Hong Z., Bi Q.",Journal of Knee Surgery (2018) 31:10 (1022-1030). Date of Publication: 2018,2018,10.1055/s-0038-1627466
0,WOS:001388192900002,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"Butt, U; Vuletic, F; Shaikh, MAA; Amanullah; Rehman, GU; Shah, IA; StÃ¥lman, A; Khan, ZA",ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,2024,10.1007/s00402-024-05639-1
