PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40834676","Prospective, randomized study comparing clinical outcomes when reconstructing ACL with either semitendinosus autograft or the Jewel synthetic standalone device in two separate patient cohorts","Kentel M, Krupa S, Reichert P, Korolczuk K, Kentel M, Kentel K, Daszkiewicz M.","Knee. 2025 Dec;57:84-99. doi: 10.1016/j.knee.2025.07.024. Epub 2025 Aug 19.","Kentel M","Knee","2025","2025/08/20","","","10.1016/j.knee.2025.07.024"
"40476596","Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study","Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Randsborg PH, Inderhaug E.","Am J Sports Med. 2025 Jul;53(9):2145-2153. doi: 10.1177/03635465251344106. Epub 2025 Jun 6.","Mo IF","Am J Sports Med","2025","2025/06/06","","","10.1177/03635465251344106"
"40351242","A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial","Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.","Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):484-493. doi: 10.1002/ksa.12698. Epub 2025 May 12.","Lawless AM","Knee Surg Sports Traumatol Arthrosc","2026","2025/05/12","PMC12850584","","10.1002/ksa.12698"
"39947195","Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes","Cao X, Liu J, Zhao J, Feng S, Zhao Z.","J Sport Rehabil. 2025 Feb 13;34(7):733-739. doi: 10.1123/jsr.2024-0160. Print 2025 Sep 1.","Cao X","J Sport Rehabil","2025","2025/02/13","","","10.1123/jsr.2024-0160"
"39855903","[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport]","García-Linage R, Lassard-Rosenthal J, Noval-García R, Muñiz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-Córdoba I, Zimbrón-López D.","Acta Ortop Mex. 2025 Jan-Feb;39(1):19-26.","García-Linage R","Acta Ortop Mex","2025","2025/01/24","","",""
"39810716","Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft","Calvert ND, Ebert JR, Radic R.","Knee Surg Sports Traumatol Arthrosc. 2025 Jul;33(7):2390-2396. doi: 10.1002/ksa.12583. Epub 2025 Jan 15.","Calvert ND","Knee Surg Sports Traumatol Arthrosc","2025","2025/01/15","","","10.1002/ksa.12583"
"39714511","5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial","Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, Stålman A, Khan ZA.","Arch Orthop Trauma Surg. 2024 Dec 23;145(1):85. doi: 10.1007/s00402-024-05639-1.","Butt U","Arch Orthop Trauma Surg","2024","2024/12/23","PMC11666688","","10.1007/s00402-024-05639-1"
"39526870","Early versus delayed start of weight-bearing after arthroscopic anterior cruciate ligament reconstruction with hamstring tendons","Yang X, Li Y, He C, Jin T, Huang Y.","J Sports Med Phys Fitness. 2025 Feb;65(2):230-237. doi: 10.23736/S0022-4707.24.16134-8. Epub 2024 Nov 11.","Yang X","J Sports Med Phys Fitness","2025","2024/11/11","","","10.23736/S0022-4707.24.16134-8"
"39343075","Medial Collateral Ligament Repair, Isolated Suture-Tape-Bracing and No Repair for Grade III Medial Collateral Ligament Tears During Anterior Cruciate Ligament Reconstruction Have Similar Outcome for Combined Anterior Cruciate Ligament With Medial Collateral Ligament Injury: A 3-Arm Randomized Controlled Trial","Ramakanth R, Sundararajan SR, Sujith BSG, D'Souza T, Arumugam P, Rajasekaran S.","Arthroscopy. 2025 Jun;41(6):2021-2032. doi: 10.1016/j.arthro.2024.09.023. Epub 2024 Sep 28.","Ramakanth R","Arthroscopy","2025","2024/09/29","","","10.1016/j.arthro.2024.09.023"
"39221503","Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon","Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.","Am J Sports Med. 2024 Sep;52(11):2750-2757. doi: 10.1177/03635465241271524. Epub 2024 Sep 2.","Popovic M","Am J Sports Med","2024","2024/09/02","","","10.1177/03635465241271524"
"38845474","ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study","Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Inderhaug E.","Am J Sports Med. 2024 Jul;52(8):1927-1936. doi: 10.1177/03635465241254048. Epub 2024 Jun 7.","Mo IF","Am J Sports Med","2024","2024/06/07","","","10.1177/03635465241254048"
"38811116","Avoiding Graft Failure: Lessons Learned from the Stability Trial","Getgood AMJ.","Clin Sports Med. 2024 Jul;43(3):367-381. doi: 10.1016/j.csm.2023.08.005. Epub 2023 Dec 13.","Getgood AMJ","Clin Sports Med","2024","2024/05/29","","","10.1016/j.csm.2023.08.005"
"38752242","[Early effectiveness of local injection of multimodal drug cocktail during anterior cruciate ligament reconstruction and its influence on cartilage]","Yu H, Dong Z, Shi Z, Li L, Dong K, Liu H, Li Y.","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2024 May 15;38(5):562-569. doi: 10.7507/1002-1892.202402054.","Yu H","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi","2024","2024/05/16","PMC11096880","","10.7507/1002-1892.202402054"
"38284303","A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction","Ebert JR, Calvert ND, Radic R.","Am J Sports Med. 2024 Mar;52(3):660-669. doi: 10.1177/03635465231222279. Epub 2024 Jan 29.","Ebert JR","Am J Sports Med","2024","2024/01/29","PMC10905979","","10.1177/03635465231222279"
"38066516","Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation","Ma W, Yang Y, Ha X.","BMC Surg. 2023 Dec 8;23(1):371. doi: 10.1186/s12893-023-02271-5.","Ma W","BMC Surg","2023","2023/12/09","PMC10704695","","10.1186/s12893-023-02271-5"
"37923738","Nordic hamstring exercises in functional knee rehabilitation after anterior cruciate ligament reconstruction: a prospective, randomised, controlled study","Chen J, Wu T, Guo Y.","Sci Rep. 2023 Nov 3;13(1):19039. doi: 10.1038/s41598-023-45817-6.","Chen J","Sci Rep","2023","2023/11/04","PMC10624851","","10.1038/s41598-023-45817-6"
"37873691","Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice","Cruz CA, Mannino BJ, Pike A, Thoma D, Lindell K, Kerbel YE, McCadden A, Lopez AJ, Bottoni CR.","J ISAKOS. 2022 Oct;7(5):100-104. doi: 10.1016/j.jisako.2022.04.002. Epub 2022 Apr 13.","Cruz CA","J ISAKOS","2022","2023/10/24","","","10.1016/j.jisako.2022.04.002"
"37499157","Application of 3D-Printed Personalized Guide for Lateral Femoral Positioning in Anterior Cruciate Ligament Reconstruction of the Knee","Lan X, Huang J, Tian F, Wang S, Liu C, Wang J.","Altern Ther Health Med. 2023 Oct;29(7):360-364.","Lan X","Altern Ther Health Med","2023","2023/07/27","","",""
