PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40944765","Quadriceps versus hamstrings autograft in anterior cruciate ligament reconstruction: a randomized control trial","Yadav AK, Sharma A, Paul N, Bhakhar A, Sarkar B, Azam MQ.","Eur J Orthop Surg Traumatol. 2025 Sep 13;35(1):395. doi: 10.1007/s00590-025-04510-2.","Yadav AK","Eur J Orthop Surg Traumatol","2025","2025/09/13","","","10.1007/s00590-025-04510-2"
"40351242","A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial","Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.","Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):484-493. doi: 10.1002/ksa.12698. Epub 2025 May 12.","Lawless AM","Knee Surg Sports Traumatol Arthrosc","2026","2025/05/12","PMC12850584","","10.1002/ksa.12698"
"39970465","The effect of neuromuscular electrical stimulation superimposed on quadriceps training on gait dynamics after anterior cruciate ligament reconstruction","Li S, Lu B, Zhang Y, Liu J, Xu W, Li Q.","J Back Musculoskelet Rehabil. 2025 Jan;38(1):139-147. doi: 10.1177/10538127241296376. Epub 2025 Jan 9.","Li S","J Back Musculoskelet Rehabil","2025","2025/02/19","","","10.1177/10538127241296376"
"39947195","Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes","Cao X, Liu J, Zhao J, Feng S, Zhao Z.","J Sport Rehabil. 2025 Feb 13;34(7):733-739. doi: 10.1123/jsr.2024-0160. Print 2025 Sep 1.","Cao X","J Sport Rehabil","2025","2025/02/13","","","10.1123/jsr.2024-0160"
"39855903","[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport]","García-Linage R, Lassard-Rosenthal J, Noval-García R, Muñiz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-Córdoba I, Zimbrón-López D.","Acta Ortop Mex. 2025 Jan-Feb;39(1):19-26.","García-Linage R","Acta Ortop Mex","2025","2025/01/24","","",""
"39810716","Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft","Calvert ND, Ebert JR, Radic R.","Knee Surg Sports Traumatol Arthrosc. 2025 Jul;33(7):2390-2396. doi: 10.1002/ksa.12583. Epub 2025 Jan 15.","Calvert ND","Knee Surg Sports Traumatol Arthrosc","2025","2025/01/15","","","10.1002/ksa.12583"
"39385323","Which technique provides more benefits in return to sports and clinical outcomes after anterior cruciate ligament reconstruction: Double-bundle or single-bundle? A randomized controlled study","Wang X, Xu Z, Song S, Mao Z, Huang X, Luo M, Zhou X, Xu B, Ye J, Song Y, Yu J.","Chin Med J (Engl). 2025 Sep 20;138(18):2283-2292. doi: 10.1097/CM9.0000000000003267. Epub 2024 Oct 10.","Wang X","Chin Med J (Engl)","2025","2024/10/10","PMC12453342","","10.1097/CM9.0000000000003267"
"38284303","A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction","Ebert JR, Calvert ND, Radic R.","Am J Sports Med. 2024 Mar;52(3):660-669. doi: 10.1177/03635465231222279. Epub 2024 Jan 29.","Ebert JR","Am J Sports Med","2024","2024/01/29","PMC10905979","","10.1177/03635465231222279"
"37468645","A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction","Tang N, Eren M, Gurpinar T, Ozturkmen Y.","Eur J Orthop Surg Traumatol. 2024 Jan;34(1):293-301. doi: 10.1007/s00590-023-03636-5. Epub 2023 Jul 19.","Tang N","Eur J Orthop Surg Traumatol","2024","2023/07/19","","","10.1007/s00590-023-03636-5"
"36190389","Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial","Vieira de Melo RF, Komatsu WR, Freitas MS, Vieira de Melo ME, Cohen M.","J Rehabil Med. 2022 Nov 1;54:jrm00337. doi: 10.2340/jrm.v54.2550.","Vieira de Melo RF","J Rehabil Med","2022","2022/10/03","PMC9639477","","10.2340/jrm.v54.2550"
