,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,39221503,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Am J Sports Med. 2024 Sep;52(11):2750-2757. doi: 10.1177/03635465241271524. Epub 2024 Sep 2.,Popovic M,Am J Sports Med,2024,2024/09/02,,,10.1177/03635465241271524
1,37893482,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,"Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.",Medicina (Kaunas). 2023 Oct 3;59(10):1764. doi: 10.3390/medicina59101764.,Obradović M,Medicina (Kaunas),2023,2023/10/28,PMC10608507,,10.3390/medicina59101764
2,35468330,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",Knee. 2022 Jun;36:33-43. doi: 10.1016/j.knee.2022.03.015. Epub 2022 Apr 22.,de Souza Borges JH,Knee,2022,2022/04/25,,,10.1016/j.knee.2022.03.015
3,34952186,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Arthroscopy. 2022 Jun;38(6):1969-1977. doi: 10.1016/j.arthro.2021.12.018. Epub 2021 Dec 22.,Chahal J,Arthroscopy,2022,2021/12/24,,,10.1016/j.arthro.2021.12.018
4,34601649,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,"Komzák M, Hart R, Náhlík D, Vysoký R.",Arch Orthop Trauma Surg. 2022 Aug;142(8):1995-1999. doi: 10.1007/s00402-021-04195-2. Epub 2021 Oct 3.,Komzák M,Arch Orthop Trauma Surg,2022,2021/10/03,,,10.1007/s00402-021-04195-2
5,33945339,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Am J Sports Med. 2021 Jun;49(7):1777-1785. doi: 10.1177/03635465211010798. Epub 2021 May 4.,Marmura H,Am J Sports Med,2021,2021/05/04,,,10.1177/03635465211010798
6,32504178,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A, Sprinckstub T, Huber J, Jaber A.",Arch Orthop Trauma Surg. 2020 Oct;140(10):1465-1474. doi: 10.1007/s00402-020-03508-1. Epub 2020 Jun 5.,Barié A,Arch Orthop Trauma Surg,2020,2020/06/07,PMC7505888,,10.1007/s00402-020-03508-1
7,32368935,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Am J Sports Med. 2020 Jun;48(7):1665-1672. doi: 10.1177/0363546520914936. Epub 2020 May 5.,Castoldi M,Am J Sports Med,2020,2020/05/06,,,10.1177/0363546520914936
8,32298131,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Am J Sports Med. 2020 May;48(6):1305-1315. doi: 10.1177/0363546520913532. Epub 2020 Apr 16.,Murray MM,Am J Sports Med,2020,2020/04/17,PMC7227128,,10.1177/0363546520913532
9,32059954,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,"Smith PA, Cook CS, Bley JA.",Arthroscopy. 2020 Jun;36(6):1629-1646. doi: 10.1016/j.arthro.2020.01.048. Epub 2020 Feb 12.,Smith PA,Arthroscopy,2020,2020/02/16,,,10.1016/j.arthro.2020.01.048
10,31800420,Autologous BPTB ACL Reconstruction Results in Lower Failure Rates Than ACL Repair with and without Synthetic Augmentation at 30 Years of Follow-up: A Prospective Randomized Study,"Sporsheim AN, Gifstad T, Lundemo TO, Engebretsen L, Strand T, Mølster A, Drogset JO.",J Bone Joint Surg Am. 2019 Dec 4;101(23):2074-2081. doi: 10.2106/JBJS.19.00098.,Sporsheim AN,J Bone Joint Surg Am,2019,2019/12/05,,,10.2106/JBJS.19.00098
11,31470759,Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,"Alentorn-Geli E, Seijas R, Martínez-De la Torre A, Cuscó X, Steinbacher G, Álvarez-Díaz P, Barastegui D, Navarro J, Serra-Renom JM, Nishishinya B, Català J, Laiz P, García-Balletbó M, Cugat R.",J Orthop Surg (Hong Kong). 2019 Sep-Dec;27(3):2309499019867580. doi: 10.1177/2309499019867580.,Alentorn-Geli E,J Orthop Surg (Hong Kong),2019,2019/09/01,,,10.1177/2309499019867580
12,31169571,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up","Mohtadi NG, Chan DS.",J Bone Joint Surg Am. 2019 Jun 5;101(11):949-960. doi: 10.2106/JBJS.18.01322.,Mohtadi NG,J Bone Joint Surg Am,2019,2019/06/07,,,10.2106/JBJS.18.01322
13,30733025,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial,"Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.",Arthroscopy. 2019 Mar;35(3):921-929. doi: 10.1016/j.arthro.2018.10.149. Epub 2019 Feb 4.,Bailey L,Arthroscopy,2019,2019/02/09,,,10.1016/j.arthro.2018.10.149
14,29741923,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial,"Walters BL, Porter DA, Hobart SJ, Bedford BB, Hogan DE, McHugh MM, Klein DA, Harousseau K, Nicholas SJ.",Am J Sports Med. 2018 Jul;46(8):1827-1835. doi: 10.1177/0363546518769295. Epub 2018 May 9.,Walters BL,Am J Sports Med,2018,2018/05/10,,,10.1177/0363546518769295
15,29741911,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,"Sajovic M, Stropnik D, Skaza K.",Am J Sports Med. 2018 Jul;46(8):1800-1808. doi: 10.1177/0363546518768768. Epub 2018 May 9.,Sajovic M,Am J Sports Med,2018,2018/05/10,,,10.1177/0363546518768768
16,27717747,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Orthop Traumatol Surg Res. 2016 Nov;102(7):867-872. doi: 10.1016/j.otsr.2016.08.011. Epub 2016 Oct 4.,Bressy G,Orthop Traumatol Surg Res,2016,2016/10/09,,,10.1016/j.otsr.2016.08.011
17,27568219,Double-layer versus single-layer bone-patellar tendon-bone anterior cruciate ligament reconstruction: a prospective randomized study with 3-year follow-up,"Mei X, Zhang Z, Yang J.",Arch Orthop Trauma Surg. 2016 Dec;136(12):1733-1739. doi: 10.1007/s00402-016-2548-z. Epub 2016 Aug 27.,Mei X,Arch Orthop Trauma Surg,2016,2016/08/29,,,10.1007/s00402-016-2548-z
18,27376940,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Eur J Orthop Surg Traumatol. 2016 Aug;26(6):647-55. doi: 10.1007/s00590-016-1809-4. Epub 2016 Jul 4.,Biswal UK,Eur J Orthop Surg Traumatol,2016,2016/07/05,,,10.1007/s00590-016-1809-4
19,27371291,Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts,"Iliopoulos E, Galanis N, Zafeiridis A, Iosifidis M, Papadopoulos P, Potoupnis M, Geladas N, Vrabas IS, Kirkos J.",Knee Surg Sports Traumatol Arthrosc. 2017 Oct;25(10):3155-3162. doi: 10.1007/s00167-016-4229-4. Epub 2016 Jul 1.,Iliopoulos E,Knee Surg Sports Traumatol Arthrosc,2017,2016/07/03,,,10.1007/s00167-016-4229-4
