Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Lund, B; Nielsen, T; Fauno, P; Christiansen, SE; Lind, M",,,,"Lund, Bent; Nielsen, Torsten; Fauno, Peter; Christiansen, Svend Erik; Lind, Martin",,,Is Quadriceps Tendon a Better Graft Choice Than Patellar Tendon? A Prospective Randomized Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: The purpose of this randomized controlled study was to compare knee stability, kneeling pain, harvest site pain, sensitivity loss, and subjective clinical outcome after primary anterior cruciate ligament (ACL) reconstruction with either bone-patellar tendon-bone (BPTB) or quadriceps tendon-bone (QTB) autografts in a noninferiority study design. Methods: From 2005 to 2009, a total of 51 patients were included in the present study. Inclusion criteria were isolated ACL injuries in adults. Twenty-five patients were randomized to BPTB grafts and 26 to QTB grafts. An independent examiner performed follow-up evaluations 1 and 2 years postoperatively. Anteroposterior knee laxity was measured with a KT-1000 arthrometer (MEDmetric, San Diego, CA). Anterior knee pain was assessed clinically and by knee-walking ability. Knee Injury and Osteoarthritis Outcome Score (KOOS) and subjective International Knee Documentation Committee (IKDC) score were used for patient-evaluated outcome. Results: Anterior knee laxity was equal between the 2 groups with KT-1000 values of 1.1 +/- 1.4 mm and 0.8 +/- 1.7 mm standard deviation (SD) at follow-up in QTB and BPTB groups, respectively (P.65), whereas positive pivot shift test results were seen less frequently (14% compared with 38%, respectively; P = .03). Anterior kneeling pain, evaluated by the knee walking ability test, was significantly less in the QTB group, with only 7% of patients grading knee walking as difficult or impossible compared with 34% in the BPTB group. At 1 and 2 years' follow-up, there was no difference between the 2 groups in subjective patient-evaluated outcome. The IKDC score was 75 +/- 13 patients and 76 +/- 16 SD at 1-year follow-up in QTB and BPTB groups, respectively (P = .78). At 2 years, 12 patients were lost to follow-up, resulting in 18 in the BPTB group and 21 in the QTB group. Conclusions: The use of the QTB graft results in less kneeling pain, graft site pain, and sensitivity loss than seen with BPTB grafts; however, similar anterior knee stability and subjective outcomes are seen. The results of this study show that QTB is a viable option for ACL reconstruction. Level of Evidence: Level II, randomized controlled clinical trial.",,,,,,,,,,,,,,,,,,,,,,,,MAY,2014,30,5,,,,,593,598,,10.1016/j.arthro.2014.01.012,http://dx.doi.org/10.1016/j.arthro.2014.01.012,,,,,,,,24630956,,,,,WOS:000334337700014,View Full Record in Web of Science
J,"Mutsuzaki, H; Kinugasa, T; Sakane, M",,,,"Mutsuzaki, Hirotaka; Kinugasa, Tomonori; Sakane, Masataka",,,Safety and feasibility of using calcium phosphate hybridization method for quadriceps tendon-bone graft in anterior cruciate ligament reconstruction,JOURNAL OF ORTHOPAEDICS,,,,,,,,,,,,"Background: To improve tendon-to-bone healing in anterior cruciate ligament (ACL) reconstruction, a novel technique via the calcium phosphate (CaP) hybridization method for tendon graft using an alternate soaking process was developed. The use of the CaP hybridization method for quadriceps tendon-bone (QTB) graft in ACL reconstruction has not been reported in previous studies. Thus, this clinical trial aimed to clarify the safety and feasibility of using CaP hybridization method for quadriceps tendon-bone (QTB) graft in ACL reconstruction. Methods: Eight patients (average age, 41.6 +/- 10.6 years; 2 men and 6 women) with unilateral ACL injury were included in this study. They underwent ACL reconstruction using QTB graft that hybridized CaP. The follow-up period was from 2 months to 4 years (average, 2.4 +/- 1.5 years). Cases of adverse events, including tumor formation, infection, fracture, contracture, severe pain, and re-rupture, were recorded. Moreover, clinical results (KT-1000 arthrometry, pivot-shift test, International Knee Documentation Committee grade, Lysholm scale, and sports activity level), and images of graft and bone tunnel (magnetic resonance imaging, arthroscopic appearance, and computed tomography) were also evaluated. Results: No adverse events were observed in the follow-up periods. Postoperative clinical results showed improvement compared with the preoperative findings. The sports activity level after the surgery became equivalent to that before injury. There was no progression of bone tunnel enlargement. Conclusions: Using the CaP hybridization method for QTB graft in ACL reconstruction was safe and feasible in the clinical trial. Moreover, this method may improve clinical outcomes. In the future, it is necessary to verify the effect of the CaP hybridization method for QTB graft in ACL reconstruction.",,,,,,,,,,,,,,,,,,,,,,,,SEP-OCT,2019,16,5,,,,,422,425,,10.1016/j.jor.2019.04.004,http://dx.doi.org/10.1016/j.jor.2019.04.004,,,,,,,,31193021,,,,,WOS:000489090200019,View Full Record in Web of Science
J,"Irrgang, JJ; Tashman, S; Patterson, CG; Musahl, V; West, R; Oostdyk, A; Galvin, B; Poploski, K; Fu, FH",,,,"Irrgang, James J.; Tashman, Scott; Patterson, Charity G.; Musahl, Volker; West, Robin; Oostdyk, Alicia; Galvin, Bryan; Poploski, Kathleen; Fu, Freddie H. .",,,Anatomic single vs. double-bundle ACL reconstruction: a randomized clinical trial-Part 1: clinical outcomes,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,,,,,,,,,,,,"Purpose Compare clinical outcomes of anatomic single-bundle (SB) to anatomic double-bundle (DB) anterior cruciate ligament reconstruction (ACLR). It was hypothesized that anatomic DB ACLR would result in better International Knee Documentation Committee Subjective Knee Form (IKDC-SKF) scores and reduced anterior and rotatory laxity compared to SB ACLR. Methods Active individuals between 14 and 50 years of age that presented within 12 months of injury were eligible to participate. Individuals with prior injury or surgery of either knee, greater than a grade 1 concomitant knee ligament injury, or ACL insertion sites less than 14 mm or greater than 18 mm were excluded. Subjects were randomized to undergo SB or DB ACLR with a 10 mm-wide quadriceps tendon autograft harvested with a patellar bone block and were followed for 24 months. The primary outcome measures included the IKDC-SKF and KT-1000 (side to side difference) and pivot shift tests. Other secondary outcomes included measures of sports activity and participation, range of motion (ROM) and re-injury. Results Enrollment in the study was suspended due to patellar fractures related to harvest of the patellar bone plug. At that time, 57 subjects had been randomized (29 DB) and two-year follow-up was attained from 51 (89.5%). At 24-month follow-up there were no between-group differences detected for the primary outcomes. Twenty-one (77.8%) DB's and 20 (83.3%) SB's reported returning to pre-injury sports 2 years after surgery (n.s) Three subjects (2 DB's, 5.3% of total) sustained a graft rupture and 5 individuals (4 SB's, 8.8% of total) had a subsequent meniscus injury. Conclusions Due to the early termination of the study, there were no detectable differences in clinical outcome between anatomic SB and DB ACLR when performed with a quadriceps tendon autograft with a bone block in individuals with ACL insertion sites that range from 14 to 18 mm.",,,,,,,,,,,,,,,,,,,,,,,,AUG,2021,29,8,,,,,2665,2675,,10.1007/s00167-021-06585-w,http://dx.doi.org/10.1007/s00167-021-06585-w,,MAY 2021,,,,,,33970295,,,,,WOS:000648820300003,View Full Record in Web of Science
J,"Oliveira, M; Lobo, P Jr; Imoto, AM; Santos, T; Borges, JHS; Nunes, P; Barin, FR; Damando, M; Peccin, MS",,,,"Oliveira, Marcio; Lobo Junior, Paulo; Imoto, Aline Mizusaki; Santos, Tacio; Souza Borges, Jose Humberto; Nunes, Pedro; Barin, Fabricio Reichert; Damando, Meire; Peccin, Maria Stella",,,Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone-Patellar Tendon-Bone Graft: A Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: Lower limb muscle strength symmetry has been suggested as an essential criterion for the safe return to sports after anterior cruciate ligament (ACL) reconstruction. Limited evidence is available regarding the most effective intervention to achieve symmetry after reconstruction with contralateral bone-patellar tendon-bone (BPTB) graft. Purpose: To verify whether unilateral isotonic resistance exercise is more effective than bilateral exercise for obtaining postoperative functional and muscular strength symmetry between the donor limb and reconstructed limb for patients who received BPTB graft. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: A total of 88 patients were randomly divided into a control group (n = 44) and an intervention group (n = 44). All participants performed an 8-week exercise program starting at the beginning of the fourth postoperative month and were evaluated before and after the program. The control group performed bilateral exercises, and the intervention group performed unilateral exercises for the donor limb only (the limb with the greatest disability). The primary outcome was muscle strength (peak torque and hamstrings to quadriceps [H:Q] ratio), and the secondary outcomes were range of motion (ROM; goniometry), KT-1000 arthrometer side-to-side difference in anteroposterior knee laxity, and objective (single-leg hop test) and subjective (Lysholm score) functionality. Results: Both groups improved significantly from before to after the exercise program. The improvements were significantly greater in the intervention group regarding peak torque, H:Q ratio, flexion ROM, single-leg hop test, and Lysholm score in the donor limb (P < .001 for all), and the improvements were significantly greater in the control group regarding peak torque and single-leg hop test in the reconstructed limb (P < .001 for both). Comparison between the groups showed significantly increased symmetry regarding peak torque, H:Q ratio, and single-leg hop test in the intervention group compared with the control group (P < .001), with large effect sizes (>0.80) except for the H:Q ratio. Conclusion: Although postoperative, bilateral, isotonic resistance exercise provided better strength gains to the reconstructed limb, unilateral exercise was more effective in obtaining functional and muscle strength between-limb symmetry in patients who underwent ACL reconstruction with contralateral BPTB graft. Registration: Brazilian Registry of Clinical Trials (number RBR-22rnjh).",,,,,,,,,,,,,,,,,,,,,,,,APR,2022,10,4,,,,,,,2.32597E+16,10.1177/23259671221088830,http://dx.doi.org/10.1177/23259671221088830,,,,,,,,35464901,,,,,WOS:000786385500001,View Full Record in Web of Science
J,"Martin-Alguacil, JL; Arroyo-Morales, M; Martin-Gomez, JL; Monje-Cabrera, IM; Abellan-Guillen, JF; Esparza-Ros, F; Lozano, ML; Cantarero-Villanueva, I",,,,"Martin-Alguacil, Jose Luis; Arroyo-Morales, Manuel; Martin-Gomez, Jose Luis; Monje-Cabrera, Isidro Manuel; Abellan-Guillen, Juan F.; Esparza-Ros, Francisco; Lozano, Mario Lozano; Cantarero-Villanueva, Irene",,,Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial,KNEE,,,,,,,,,,,,"Background: The comparison between HT and QT grafts in strength recovery and function after an ACLR is scarce in the literature. Methods: A total of 56 participants were enrolled in this randomized controlled trial and placed into two groups: HT or QT. The hamstring/quadriceps (H/Q) ratio was the primary end-point measured with a Genu-3 dynamometer. Peak torque, functional assessment (Lysholm knee scoring scale and Cincinnati Knee Rating System), and anteroposterior laxity (KT-20001m arthrometer) were also assessed. An intention-to-treat analysis was performed. Results: The results of the H/Q ratio analysis of the participants over time revealed significant differences at 60, 180, and 300 degrees/s at three, six, and 12 months of follow-up (60 degrees/s: F = 5.3, p = 0.005; 180 degrees/s: F = 5.5, p = 0.004; 300 degrees/s: F = 5.1, p = 0.005). Furthermore, they revealed significant differences at 60 degrees/s, 180 degrees/s, and 300 degrees/s in the participants over time for peak torque in the extensor muscle strength at three and six months of follow-up, with higher values in the hamstring tendon group but not at 12 months of follow-up. There were no significant differences in functional endpoints or arthrometer assessments at 24 months of follow-up. Conclusion: An ACLR with a QT graft showed similar functional results with a better isokinetic H/Q ratio compared to an ACLR with the HT at 12 months of follow-up in soccer players. This higher H/Q ratio observed with the QT could be an advantage of this graft over the HT for an ACLR. (C) 2018 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,AUG,2018,25,4,,,,,704,714,,10.1016/j.knee.2018.03.011,http://dx.doi.org/10.1016/j.knee.2018.03.011,,,,,,,,29776815,,,,,WOS:000440771700025,View Full Record in Web of Science
J,"Shelbourne, KD; Benner, R; Gray, T; Bauman, S",,,,"Shelbourne, K. Donald; Benner, Rodney; Gray, Tinker; Bauman, Scot",,,"Range of Motion, Strength, and Function After ACL Reconstruction Using a Contralateral Patellar Tendon Graft",ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background:Regaining preinjury levels of activity and progressing rehabilitation factors after anterior cruciate ligament (ACL) reconstruction have shown mixed results. Purpose:To evaluate the timing and rate of return for knee range of motion (ROM), stability, strength, and subjective scores after ACL reconstruction with contralateral patellar tendon graft (PTG). Study Design:Case series; Level of evidence, 4. Methods:Included were 2148 patients (1238 male patients, 910 female patients) who underwent primary ACL reconstruction with a contralateral PTG between 1995 and 2017 and had complete objective data through 3 months of follow-up. All patients participated in a rehabilitation program specific to goals for each knee. Patients were evaluated objectively with goniometric measurement of ROM, isokinetic quadriceps strength testing, and laxity with a KT-2000 arthrometer. Subjective data were collected at 2 and 5 years. Results:Normal extension on the reconstructed knee was attained for 95% of patients at 1 week postoperatively; normal flexion on the reconstructed knee was reached by 77% of patients by 3 months. At 3 months postoperatively, mean limb symmetry index strength was 104%, and the strength on the ACL-reconstructed and graft-donor knees was 87% and 86% of their respective preoperative strength. Mean manual maximum side-to-side difference in laxity was 2.0 mm at 1 month. Most patients (90%) returned to level 8 sports or higher and did so at an average of 5.7 months. Mean International Knee Documentation Committee scores for the ACL-reconstructed and graft-donor knees were 89 and 91 at 2 years (n = 1015 patients) and 84 and 90 at 5 years (n = 1275 patients), respectively. Mean Cincinnati Knee Rating Scale scores for the ACL-reconstructed and graft-donor knees were 92 and 96 at 2 years (n = 1184) and 88 and 94 at 5 years (n = 1236), respectively. Conclusion:For patients who underwent ACL reconstruction with a contralateral PTG, postoperative ROM and strength were restored quickly by splitting the rehabilitation into different goals between the two knees. Using a contralateral PTG, this structured rehabilitation plan can lead to a relatively quick return to sport and good subjective long-term outcomes.",,,,,,,,,,,,,,,,,,,,,,,,NOV,2022,10,11,,,,,,,2.32597E+16,10.1177/23259671221138103,http://dx.doi.org/10.1177/23259671221138103,,,,,,,,36479460,,,,,WOS:000927920400001,View Full Record in Web of Science
J,"Sacramento, SN; Magalhaes, E; Christel, P; Ingham, S; Fukuda, TY",,,,"Sacramento, Sylvio Noronha; Magalhaes, Eduardo; Christel, Pascal; Ingham, Sheila; Fukuda, Thiago Yukio",,,A new technique in double-bundle anterior cruciate ligament reconstruction with implant-free tibial fixation,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,,,,,,,,,,,,"This case-series outcome study presents a surgical technique for anatomic double-bundle anterior cruciate ligament (ACL) reconstruction with 4-tunnel using two interference screws. There was a 2-year minimum follow-up. From January to December 2009, an ACL 4-tunnel, anatomic, double-bundle reconstruction was performed on 27 patients. Double-strand hamstring tendon grafts were used in each femoral tunnel as well as two interference screws. Tibial fixation was insured through manual tension, by tying non-absorbable sutures on the bone bridge between the two tunnels at 20A degrees of knee flexion. Clinical assessments included the International Knee Documentation Committee (IKDC) and Lysholm knee scores, range of motion (ROM), pivot-shift test, single-leg hop, and quadriceps-hamstrings strength tests using a hand-held dynamometer. Anterior knee laxity was also assessed using a rolimeter. A single examiner performed all testing pre-operatively at 6 months and during the 2-year follow-up. All patients were assessed during the 2-year follow-up. At that time, 92 % of the patients presented normal anterior laxity (average, 1.3 +/- 0.5 mm) and rotational knee stability. No statistical side-to-side difference was found for ROM, muscle strength, single-leg hop, and function (n.s.). All patients presented a normal knee function according to the IKDC and the Lysholm score. In addition, no infection, graft failure, or pain were observed at the harvesting site. The study shows that satisfactory results in relation to knee laxity, function, and strength can be achieved with the implant-free tibial fixation in the ACL double-bundle reconstruction with two interference screws. Therapeutic case series, Level IV.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2016,24,9,,,,,2831,2837,,10.1007/s00167-014-3430-6,http://dx.doi.org/10.1007/s00167-014-3430-6,,,,,,,,25630275,,,,,WOS:000382106000020,View Full Record in Web of Science
J,"Ashraf, Y; Senevirathna, SR; Ashraf, T",,,,"Ashraf, Y.; Senevirathna, S. R.; Ashraf, T.",,,Conventional versus 'all-inside' anterior cruciate ligament reconstruction: a randomized controlled trial comparing hamstring strength and functional outcome,BONE & JOINT OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOV,2020,1,11,,,,,705,707,,10.1302/2633-1462.111.BJO-2020.0012.R1,http://dx.doi.org/10.1302/2633-1462.111.BJO-2020.0012.R1,,,,,,,,,,,,,WOS:000794217000006,View Full Record in Web of Science
J,"DE Melo, RFV; Komatsu, WR; DE Freitas, MS; DE Melo, MEV; Cohen, M",,,,"Vieira DE Melo, Rafael Francisco; Komatsu, William Ricardo; Sales DE Freitas, Mellissa; Vieira DE Melo, Maria Eduarda; Cohen, Moises",,,COMPARISON OF QUADRICEPS AND HAMSTRING MUSCLE STRENGTH AFTER EXERCISES WITH AND WITHOUT BLOOD FLOW RESTRICTION FOLLOWING ANTERIOR CRUCIATE LIGAMENT SURGERY: A RANDOMIZED CONTROLLED TRIAL,JOURNAL OF REHABILITATION MEDICINE,,,,,,,,,,,,"Background: Muscle mass loss occurs following anterior cruciate ligament reconstruction surgery. Objective: To compare the gain in muscle strength in the quadriceps and hamstring muscles in patients following anterior cruciate ligament reconstruction surgery, using exercises with and without blood flow restriction. Methods: This is a randomized controlled trial, in which 50% (n=14) of the participants were allocated to the intervention group and the remaining 50% (n=14) to the control group. The study included the participation of postoperative patients, with reconstruction of the anterior cruciate ligament. Results: After comparing the rehabilitation of the groups, a statistical difference was observed in the quadriceps with an increase in muscle strength (p < 0.01) after 12 weeks and an increase in muscle strength hamstrings (p < 0.01) after 8 and 12 weeks in the injured legs of the intervention group compared to the control. In the analysis of the participants' physical function, there was an significant increase difference in the Lysholm questionnaire (p < 0.01) after 8 and 12 weeks, in the KOOS pain questionnaire (p < 0.01) after 4 weeks a decrease was observed, symptoms and daily activities (p < 0.01) after 8 and 12 weeks, quality of life (p < 0.01) after 12 weeks, and in the IKDC questionnaire (p < 0.01) after 8 and 12 weeks there was an significant increase difference of the intervention group compared to the control. Conclusion: After anterior cruciate ligament surgery, exercises with blood flow restriction proved more efficient for improving the muscle strength of the quadriceps and hamstrings, and the physical function of the knee than the same exercises without blood flow restriction.",,,,,,,,,,,,,,,,,,,,,,,,OCT,2022,54,,,,,,,,jrm00337,10.2340/jrm.v54.2550,http://dx.doi.org/10.2340/jrm.v54.2550,,,,,,,,36190389,,,,,WOS:000890661700080,View Full Record in Web of Science
J,"Sekir, U; Gur, H; Akova, B",,,,"Sekir, Ufuk; Gur, Hakan; Akova, Bedrettin",,,Early Versus Late Start of Isokinetic Hamstring-Strengthening Exercise After Anterior Cruciate Ligament Reconstruction With Patellar Tendon Graft,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Backgound: Hamstring strengthening after anterior cruciate ligament reconstruction is a vital component of the rehabilitation program. Purpose: The objective of this trial was to investigate the effects of hamstring isokinetic training used in the early phase of the rehabilitation program on the stability, strength, symptoms, and functional outcomes of patients throughout 12 months after anterior cruciate ligament surgery. Study Design: Randomized controlled clinical trial; Level of evidence, 2. Methods: Forty-eight men underwent anterior cruciate ligament reconstruction with an ipsilateral bone-patellar tendon-bone autograft. The patients were randomly assigned to perform daily isokinetic hamstring exercises at postoperative 3 weeks (group 1) or to perform daily isokinetic hamstring exercises at postoperative 9 weeks (group 11). The patients were evaluated monthly for the first 4 months and at the 12th month for postoperative hamstring and quadriceps strength, as well as for knee function via the Cincinnati Knee Rating Scale and International Knee Documentation Committee form. Results: Hamstring isometric strength at 30 degrees of knee flexion (at the first and second months) and concentric isokinetic strength (at 2, 3, 4, and 12 months) at the angular velocity of 60 deg/s were significantly (P < .05-.01) greater in group I compared with group II. Average scores of the Cincinnati Knee Rating Scale for symptoms were significantly (P < .05-.001) higher in group I compared with group II at all evaluation periods. Walking and stair-climbing scores at 1, 2, 3, and 4 months and squatting score at all evaluation periods were also better (P < .05-.01) in group I compared with group II. In addition, group I exhibited better (P < .01-.001) Lachman test results compared with group II for all postoperative evaluation periods. The International Knee Documentation Committee final rating scores were significantly (P < .01) greater at 2, 3, and 4 months in group I compared with group II. Conclusion: The results of this study suggest that hamstring as well as quadriceps strength can be increased via early hamstring strengthening after anterior cruciate ligament reconstruction with no negative impact on knee function.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2010,38,3,,,,,492,500,,10.1177/0363546509349490,http://dx.doi.org/10.1177/0363546509349490,,,,,,,,20194956,,,,,WOS:000274803800008,View Full Record in Web of Science
