,title,authors,journal,year,doi,id,source
0,Anterior cruciate ligament reconstruction combined with anterolateral ligament reconstruction using hamstring autograft versus anterior cruciate ligament reconstruction using bone–patellar tendon–bone autograft: a randomised controlled trial with 5-year follow-up,"Sonnery-Cottet B., Carrozzo A., Poilvache H., Fayard J.-M., Freychet B., Thaunat M., Vieira T.D., Saithna A.",The Lancet Regional Health - Europe (2026) 62 Article Number: 101561. Date of Publication: 1 Mar 2026,2026,10.1016/j.lanepe.2025.101561,https://www.embase.com/search/results?subaction=viewrecord&id=L2042382214&from=export,Embase
1,Radiographic Findings and Clinical Outcomes After Bone Grafting Patellar Defect in ACL Reconstruction,,clinicaltrials.gov (2025). Date of Publication: 21 Apr 2025,2025,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06975306&from=export,Embase
2,Long-term Outcomes After Anterior Cruciate Ligament Reconstruction With 3 Different Surgical Techniques: A Prospective Randomized Clinical and Radiographic Evaluation at a Minimum of 20 Years’ Follow-up,"Lucidi G.A., Agostinone P., Di Paolo S., Dal Fabbro G., Serra M., Viotto M., Grassi A., Zaffagnini S.",Orthopaedic Journal of Sports Medicine (2025) 13:1. Date of Publication: 1 Jan 2025,2025,10.1177/23259671241302348,https://www.embase.com/search/results?subaction=viewrecord&id=L2033011534&from=export,Embase
3,Clinical and functional comparison of bone–patellar tendon–bone and hamstring tendon autografts in anterior cruciate ligament reconstruction: A randomized controlled trial,"Elazab A.M.A., Reda W., Soliman A.E.M.E., Gad A.M.",Apunts Sports Medicine (2025) Article Number: 100507. Date of Publication: 2025,2025,10.1016/j.apunsm.2025.100507,https://www.embase.com/search/results?subaction=viewrecord&id=L2042010517&from=export,Embase
4,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,"Popovic M., Myhre J.R., Holen J.I.H., Gifstad T., Strand I.L., Strand T., Mo I.F., Fischer-Bredenbeck C., Drogset J.O.",The American journal of sports medicine (2024) 52:11 (2750-2757). Date of Publication: 1 Sep 2024,2024,10.1177/03635465241271524,https://www.embase.com/search/results?subaction=viewrecord&id=L645161056&from=export,Embase
5,Combined Intra- and Extra-articular ACL Reconstruction Versus Isolated Intra-articular ACL Reconstruction: Prospective Multicenter Randomized Clinical Trial With Hamstring Autograft,,clinicaltrials.gov (2024). Date of Publication: 3 Jun 2024,2024,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06505525&from=export,Embase
6,"Reconstruction of the Anterior Cruciated Ligament With Quadriceps Tendon Graft With Bone Plug vs Bone Patellar Tendon Bone Graft, a Randomized Clinical Controlled Essay With 2 Years of Follow up",,clinicaltrials.gov (2023). Date of Publication: 2 Dec 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06189573&from=export,Embase
7,Augmentation of ACL Autograft Reconstruction With an Amnion Collagen Matrix Wrap and Bone Marrow Aspirate Concentrate: A Pilot Randomized Controlled Trial With 2-Year Follow-up,"Anz A.W., Jordan S.E., Ostrander R.V., Branch E.A., Denney T.S., Cohen A., Andrews J.R.",Orthopaedic Journal of Sports Medicine (2023) 11:11. Date of Publication: 1 Nov 2023,2023,10.1177/23259671231210035,https://www.embase.com/search/results?subaction=viewrecord&id=L2026647031&from=export,Embase
8,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,"Obradović M., Ninković S., Gvozdenović N., Tošić M., Milinkov M., Dulić O.","Medicina (Kaunas, Lithuania) (2023) 59:10. Date of Publication: 3 Oct 2023",2023,10.3390/medicina59101764,https://www.embase.com/search/results?subaction=viewrecord&id=L642611921&from=export,Embase
9,Comparison of Infection Rate Between Vancomycin and Gentamycin for Intraoperative Presoaking of Graft in Primary Anterior Cruciate Ligament Reconstruction ( Randomized Controlled Trial ),,clinicaltrials.gov (2023). Date of Publication: 16 Sep 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06050785&from=export,Embase
10,Comparison of Single-bundle Versus Double-bundle Anterior Cruciate Ligament Reconstruction: Short-term and Long-term Function and Imaging Results,,clinicaltrials.gov (2023). Date of Publication: 27 Jul 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT06303726&from=export,Embase
11,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction in Hamstring Group,,clinicaltrials.gov (2023). Date of Publication: 17 Apr 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05876013&from=export,Embase
12,To Compare the Functional Outcome of Arthroscopic Reconstruction of Anterior Cruciate Ligament Using Patellar Tendon Bone Grafts v/s Hamstrings Graft: A Multicentric Study,"Meena V.K., Lakhotia D., Nama K.G., Joshi S.",International Journal of Life Sciences Biotechnology and Pharma Research (2023) 12:2 (2277-2281). Date of Publication: 1 Apr 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=L2039490534&from=export,Embase
13,Patient Decision Making in Anterior Cruciate Ligament Reconstruction: A Discrete Choice Experiment Examining Graft Preference,"Sonnier J.H., Paul R.W., Sando H.E., Hall A.T., Tjoumakaris F.P., Cohen S.B., Freedman K.B.",Orthopaedic Journal of Sports Medicine (2023) 11:2. Date of Publication: 1 Feb 2023,2023,10.1177/23259671221144983,https://www.embase.com/search/results?subaction=viewrecord&id=L2021343972&from=export,Embase
14,Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Bone Autograft,,clinicaltrials.gov (2023). Date of Publication: 4 Jan 2023,2023,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05673356&from=export,Embase
15,"A Randomized, Single Blinded Study of the Augmentation of Anterior Cruciate Ligament Reconstruction Using Stump-Derived Mesenchymal Stem Cells Versus Standard of Care Anterior Cruciate Ligament Reconstruction",,clinicaltrials.gov (2022). Date of Publication: 6 Oct 2022,2022,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05582226&from=export,Embase
16,All-Inside Single-Bundle for ACL Reconstruction With Full Thickness of the Peroneus Longus Tendon Compared to the Six-strand-hamstring Autograft,,clinicaltrials.gov (2022). Date of Publication: 27 Sep 2022,2022,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05580133&from=export,Embase
17,All Soft Tissue Quadriceps Tendon Autograft Versus Patellar Tendon Autograft in Anterior Cruciate Ligament Reconstruction: a Randomized Controlled Trial,,clinicaltrials.gov (2022). Date of Publication: 28 Jun 2022,2022,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05461326&from=export,Embase
18,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,"Chahal J., Whelan D.B., Hoit G., Theodoropoulos J., Ajrawat P., Betsch M., Docter S., Dwyer T.",Arthroscopy - Journal of Arthroscopic and Related Surgery (2022) 38:6 (1969-1977). Date of Publication: 1 Jun 2022,2022,10.1016/j.arthro.2021.12.018,https://www.embase.com/search/results?subaction=viewrecord&id=L2016514113&from=export,Embase
19,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,"de Souza Borges J.H., Oliveira M., Junior P.L., de Souza Machado R., Lima R., Ramos L.A., Cohen M.",Knee (2022) 36 (33-43). Date of Publication: 1 Jun 2022,2022,10.1016/j.knee.2022.03.015,https://www.embase.com/search/results?subaction=viewrecord&id=L2017793356&from=export,Embase
20,Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone–Patellar Tendon–Bone Graft: A Randomized Controlled Trial,"Oliveira M., Júnior P.L., Imoto A.M., Santos T., Borges J.H.S., Nunes P., Barin F.R., Damando M., Peccin M.S.",Orthopaedic Journal of Sports Medicine (2022) 10:4. Date of Publication: 18 Apr 2022,2022,10.1177/23259671221088830,https://www.embase.com/search/results?subaction=viewrecord&id=L2015647047&from=export,Embase
21,Optimizing GRAft SElection for ACL Reconstruction (GRASE-ACL Trial) - a Three-armed Randomized Controlled Trial,,clinicaltrials.gov (2022). Date of Publication: 4 Apr 2022,2022,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05342441&from=export,Embase
22,The Effect of Accelerated Rehabilitation After Anterior Cruciate Ligament Reconstruction With and Without Suture Tape Reinforcement,,clinicaltrials.gov (2022). Date of Publication: 14 Feb 2022,2022,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05270551&from=export,Embase
23,Psychological Readiness to Return to Sport at 6 Months Is Higher After Bridge-Enhanced ACL Restoration Than Autograft ACL Reconstruction: Results of a Prospective Randomized Clinical Trial,"Sanborn R.M., Badger G.J., Yen Y.-M., Murray M.M., Christino M.A., Proffen B., Sant N., Barnett S., Fleming B.C., Kramer D.E., Micheli L.J.",Orthopaedic Journal of Sports Medicine (2022) 10:2. Date of Publication: 1 Feb 2022,2022,10.1177/23259671211070542,https://www.embase.com/search/results?subaction=viewrecord&id=L2015021899&from=export,Embase
24,Determining Early Morbidity After The Reconstruction Of Anterior Cruciate Ligament: Hamstring Tendon Vs Patellar Tendon Autograft,"Sohu D.M., Hussain F., Jatoi Z.A., Bhatti S.H., Chandio M.S., Keerio N.H.",Journal of Pharmaceutical Negative Results (2022) 13 (9034-9040). Date of Publication: 2022,2022,10.47750/pnr.2022.13.S09.1056,https://www.embase.com/search/results?subaction=viewrecord&id=L2022163339&from=export,Embase
25,Long Term Clinical and Radiographical Outcomes of Different Anterior Cruciate Ligament Reconstruction Techniques,,clinicaltrials.gov (2021). Date of Publication: 12 Oct 2021,2021,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT05088278&from=export,Embase
26,Allogeneic Bone-patellar Tendon-bone Transplantation to Reconstruct the Knee Joint Anterior Cruciate Ligament,,clinicaltrials.gov (2021). Date of Publication: 27 Jun 2021,2021,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT04951531&from=export,Embase
27,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"Marmura H., Getgood A.M.J., Spindler K.P., Kattan M.W., Briskin I., Bryant D.M.",The American journal of sports medicine (2021) 49:7 (1777-1785). Date of Publication: 1 Jun 2021,2021,10.1177/03635465211010798,https://www.embase.com/search/results?subaction=viewrecord&id=L634964065&from=export,Embase
28,Subjective Outcomes After ACL Reconstruction With BQT Autograft,,clinicaltrials.gov (2021). Date of Publication: 12 May 2021,2021,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT04901559&from=export,Embase
29,Prospective and Randomized Clinical Evaluation of Hamstring Versus Patellar Tendon Autograft for Anterior Cruciate Ligament Reconstruction in Soccer Players,"Guglielmetti L.G.B., Salas V.E.R., Jorge P.B., Severino F.R., Duarte A., de Oliveira V.M., Cury R.D.P.L.",Orthopaedic Journal of Sports Medicine (2021) 9:9. Date of Publication: 2021,2021,10.1177/23259671211028168,https://www.embase.com/search/results?subaction=viewrecord&id=L2013787768&from=export,Embase
30,Xenograft for anterior cruciate ligament reconstruction was associated with high graft processing infection,"Van Der Merwe W., Lind M., Faunø P., Van Egmond K., Zaffagnini S., Marcacci M., Cugat R., Verdonk R., Ibañez E., Guillen P., Marcheggiani Muccioli G.M.",Journal of Experimental Orthopaedics (2020) 7:1 Article Number: 79. Date of Publication: 1 Dec 2020,2020,10.1186/s40634-020-00292-0,https://www.embase.com/search/results?subaction=viewrecord&id=L2006889218&from=export,Embase
31,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A., Sprinckstub T., Huber J., Jaber A.",Archives of Orthopaedic and Trauma Surgery (2020) 140:10 (1465-1474). Date of Publication: 1 Oct 2020,2020,10.1007/s00402-020-03508-1,https://www.embase.com/search/results?subaction=viewrecord&id=L2005160315&from=export,Embase
32,Effects of Blood Flow Restriction Rehabilitation After Bone Patellar Tendon Bone Anterior Cruciate Ligament Reconstruction,,clinicaltrials.gov (2020). Date of Publication: 13 Jul 2020,2020,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT04484961&from=export,Embase
33,To compare the functional outcome of the Patellar Tendon and hamstring tendon autograft for anterior cruciate ligament reconstruction in males,"Rajput I.M., Ali M., Siddiqui A.A., Sahito B., Doltani D.K., Khaskheli J.H.",Pakistan Journal of Medical and Health Sciences (2020) 14:3 (839-842). Date of Publication: 1 Jul 2020,2020,,https://www.embase.com/search/results?subaction=viewrecord&id=L2008563345&from=export,Embase
34,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,"Smith P.A., Cook C.S., Bley J.A.",Arthroscopy - Journal of Arthroscopic and Related Surgery (2020) 36:6 (1629-1646). Date of Publication: 1 Jun 2020,2020,10.1016/j.arthro.2020.01.048,https://www.embase.com/search/results?subaction=viewrecord&id=L2006075351&from=export,Embase
35,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,"Castoldi M., Magnussen R.A., Gunst S., Batailler C., Neyret P., Lustig S., Servien E.",The American journal of sports medicine (2020) 48:7 (1665-1672). Date of Publication: 1 Jun 2020,2020,10.1177/0363546520914936,https://www.embase.com/search/results?subaction=viewrecord&id=L631680237&from=export,Embase
36,Combined ACL and Anterolateral Reconstruction Is Not Associated With a Higher Risk of Adverse Outcomes: Preliminary Results From the SANTI Randomized Controlled Trial,"Sonnery-Cottet B., Pioger C., Vieira T.D., Franck F., Kajetanek C., Fayard J.-M., Thaunat M., Saithna A.",Orthopaedic Journal of Sports Medicine (2020) 8:5. Date of Publication: 1 May 2020,2020,10.1177/2325967120918490,https://www.embase.com/search/results?subaction=viewrecord&id=L2004910360&from=export,Embase
37,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,"Murray M.M., Fleming B.C., Badger G.J., Freiberger C., Henderson R., Barnett S., Kiapour A., Ecklund K., Proffen B., Sant N., Kramer D.E., Micheli L.J., Yen Y.-M.",The American journal of sports medicine (2020) 48:6 (1305-1315). Date of Publication: 1 May 2020,2020,10.1177/0363546520913532,https://www.embase.com/search/results?subaction=viewrecord&id=L631538998&from=export,Embase
38,Postoperative ERIS Knee Splinting Following ACLR: A Randomized Clinical Trial,,clinicaltrials.gov (2020). Date of Publication: 6 Mar 2020,2020,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT04360928&from=export,Embase
39,Functional Outcome Comparison of Implant-Free Bone-Patellar Tendon Autografts Using Press-Fit Fixation Technique and Hamstring Autografts Using Implant in Arthroscopic Anterior Cruciate Ligament Reconstruction: A Prospective Study,,clinicaltrials.gov (2019). Date of Publication: 29 Sep 2019,2019,,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT04123834&from=export,Embase
40,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up","Mohtadi N.G., Chan D.S.",Journal of Bone and Joint Surgery - American Volume (2019) 101:11 (949-960). Date of Publication: 5 Jun 2019,2019,10.2106/JBJS.18.01322,https://www.embase.com/search/results?subaction=viewrecord&id=L628794316&from=export,Embase
41,Comparison of patellar tendon versus hamstrings autografts for anterior cruciate ligament reconstruction in Indian population: A randomised control trial study,"Gupta P.K., Acharya A., Mourya A., Mahajan P.",Journal of Clinical Orthopaedics and Trauma (2019) 10:3 (581-585). Date of Publication: 1 May 2019,2019,10.1016/j.jcot.2018.04.018,https://www.embase.com/search/results?subaction=viewrecord&id=L2001058779&from=export,Embase
