,id,title,authors,journal,year,doi,first_author,short_title,key
0,39221503,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Am J Sports Med,2024,10.1177/03635465241271524,Popovic,reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon,Popovic+reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon+2024
1,37893482,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,"Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.",Medicina (Kaunas),2023,10.3390/medicina59101764,Obradović,tubularizationofbonetendonbonegrafts:effectsonmechanicalstrengthandpostoperativekneestabilityinanteriorcruciateligamentreconstruction,Obradović+tubularizationofbonetendonbonegrafts:effectsonmechanicalstrengthandpostoperativekneestabilityinanteriorcruciateligamentreconstruction+2023
2,35468330,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",Knee,2022,10.1016/j.knee.2022.03.015,de,iscontralateralautogenouspatellartendongraftabetterchoicethanipsilateralforanteriorcruciateligamentreconstructioninyoungsportsmen?arandomizedcontrolledtrial,de+iscontralateralautogenouspatellartendongraftabetterchoicethanipsilateralforanteriorcruciateligamentreconstructioninyoungsportsmen?arandomizedcontrolledtrial+2022
3,34952186,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Arthroscopy,2022,10.1016/j.arthro.2021.12.018,Chahal,anteriorcruciateligamentpatellartendonautograftfixationat0°versus30°resultsinimprovedactivityscoresandagreaterproportionofpatientsachievingtheminimalclinicalimportantdifferenceforkneeinjuryandosteoarthritisoutcomescorepain:arandomizedcontrolledtrial,Chahal+anteriorcruciateligamentpatellartendonautograftfixationat0°versus30°resultsinimprovedactivityscoresandagreaterproportionofpatientsachievingtheminimalclinicalimportantdifferenceforkneeinjuryandosteoarthritisoutcomescorepain:arandomizedcontrolledtrial+2022
4,34601649,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,"Komzák M, Hart R, Náhlík D, Vysoký R.",Arch Orthop Trauma Surg,2022,10.1007/s00402-021-04195-2,Komzák,invivokneerotationalstability2yearsaftertheaclreconstructionusingaquadricepstendongraftwithboneblockandbonepatellartendonbonegraft,Komzák+invivokneerotationalstability2yearsaftertheaclreconstructionusingaquadricepstendongraftwithboneblockandbonepatellartendonbonegraft+2022
5,33945339,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Am J Sports Med,2021,10.1177/03635465211010798,Marmura,validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction,Marmura+validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction+2021
6,32504178,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A, Sprinckstub T, Huber J, Jaber A.",Arch Orthop Trauma Surg,2020,10.1007/s00402-020-03508-1,Barié,quadricepstendonvspatellartendonautograftforaclreconstructionusingahardwarefreepressfitfixationtechnique:comparablestabilityfunctionandreturntosportlevelbutlessdonorsitemorbidityinathletesafter10years,Barié+quadricepstendonvspatellartendonautograftforaclreconstructionusingahardwarefreepressfitfixationtechnique:comparablestabilityfunctionandreturntosportlevelbutlessdonorsitemorbidityinathletesafter10years+2020
7,32368935,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Am J Sports Med,2020,10.1177/0363546520914936,Castoldi,arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup,Castoldi+arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup+2020
8,32298131,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Am J Sports Med,2020,10.1177/0363546520913532,Murray,bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial,Murray+bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial+2020
9,32059954,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,"Smith PA, Cook CS, Bley JA.",Arthroscopy,2020,10.1016/j.arthro.2020.01.048,Smith,allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger,Smith+allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger+2020
