Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Zhang, Q; Zhang, S; Cao, XC; Liu, LF; Liu, Y; Li, R",,,,"Zhang, Qiang; Zhang, Shu; Cao, Xuecheng; Liu, Lifeng; Liu, Ya; Li, Rui",,,The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: a prospective randomized controlled trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,,,,,,,,,,,,"To investigate the effect of remnant preservation on tibial tunnel enlargement in a single-bundle anterior cruciate ligament (ACL) reconstruction with a hamstring autograft. From 2006 to 2009, a total of 62 patients who underwent single-bundle ACL reconstruction with a quadrupled hamstring tendon autograft were enrolled in this study. The patients were randomly divided into two groups: the preserving-remnant group and the removing-remnant group. Plain radiographs were taken at 1 week, and 3, 6, and 24 months postoperatively, and tibial tunnel enlargement was evaluated. The postoperative clinical assessment included the Lysholm rating scale and KT-1000 measurement. In total, 27 patients in the preserving-remnant group and 24 patients in the removing-remnant group were followed up and the median follow-up was 24.5 months (range 24-27 months). Tibial tunnel enlargement occurred within 6 months postoperatively. Positive enlargement was observed in 8 patients (29.6 %) in the preserving-remnant group and 14 patients (58.3 %) in the removing-remnant group (P = 0.0388). The percentage of tibial tunnel enlargement was 25.7 +/- A 6.7 and 34.0 +/- A 8.9 % in the preserving- and removing-remnant groups, respectively (P = 0.0004). In the preserving-remnant group, the average Lysholm score increased from 60.3 +/- A 5.3 (51-69) to 93.0 +/- A 3.5 (88-100), and the side-to-side difference of the KT-1000 changed from 6.3 +/- A 0.9 (5.1-8.0) to 1.4 +/- A 0.6 (0.5-2.4) mm. In the removing-remnant group, the average Lysholm score increased from 58.7 +/- A 6.5 (48-71) to 91.1 +/- A 3.9 (85-100), and the side-to-side difference of the KT-1000 changed from 6.5 +/- A 0.8 (5.4-8.2) to 1.7 +/- A 0.6 (0.6-2.8) mm. It is confirmed that remnant preservation in ACL reconstruction can resist tibial tunnel enlargement but that this technique does not affect the short-term clinical outcome of ACL reconstruction. I.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2014,22,1,,,,,166,173,,10.1007/s00167-012-2341-7,http://dx.doi.org/10.1007/s00167-012-2341-7,,,,,,,,23242378,,,,,WOS:000329241300022,View Full Record in Web of Science
J,"Smith, PA; Cook, CS; Bley, JA",,,,"Smith, Patrick A.; Cook, Corey S.; Bley, Jordan A.",,,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: To compare clinical outcomes of knee anterior cruciate ligament (ACL) autograft reconstruction using all-inside quadrupled semitendinosus (AIST) versus bone-patellar tendon-bone (BPTB) in a high-risk athletic population 24 years or younger. Methods: Skeletally mature candidates younger than 24 years old with an ACL tear were randomized into either the AIST (n = 32) or BPTB (n = 32) group and were followed for 2 years. Magnetic resonance imaging scans were obtained at 1-year follow-up, and radiographs were obtained at 2-year follow-up. All surgeries were performed by a single surgeon using an anteromedial portal to establish the femoral tunnel. The primary outcome measure was KT-1000 stability testing. Secondary outcome measures included International Knee Documentation Committee (IKDC) Knee Evaluation Form, IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx Activity Scale, visual analog pain scale, and SF-12 (Mental and Physical). Results: At 2-year follow-up, no statistical difference existed with KT-1000-measured side-to-side laxity between AIST (0.3 +/- 0.7 mm, 95% confidence interval 0.0-1.0 mm) and BPTB (0.0 +/- 0.8 mm, confidence interval CI -0.3 to 1.1 mm) (P = .197). In addition, no statistical differences between the groups were found for IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx, SF-12 Mental, SF-12 Physical, or with regards to imaging findings. Patients with BPTB reported significantly greater postoperative pain scores at days 2 (P = .049), 3 (P = .004), and 7 (P = .015) and had significantly greater kneeling pain at 2 years (P < .019). A return to sport questionnaire at 2 years revealed no significant difference between the groups for returning to preoperative level of sport activity (83% AIST, 74% BPTB; P = .415). Two graft retears (7%; P = .222) occurred in the AIST group. Three patients in the BPTB group experienced ACL tears in the contralateral knee (9%; P = .239). Conclusions: ACL reconstruction with an all-inside quadrupled semitendinosus autograft construct is equivalent to patellar BPTB autograft based on KT-1000 stability testing in athletes 24 years or younger.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2020,36,6,,,,,1629,1646,,10.1016/j.arthro.2020.01.048,http://dx.doi.org/10.1016/j.arthro.2020.01.048,,,,,,,,32059954,,,,,WOS:000539213300029,View Full Record in Web of Science
J,"Mutsuzaki, H; Kinugasa, T; Ikeda, K; Sakane, M",,,,"Mutsuzaki, Hirotaka; Kinugasa, Tomonori; Ikeda, Kotaro; Sakane, Masataka",,,Anatomic single-bundle anterior cruciate ligament reconstruction using a calcium phosphate-hybridized tendon graft: a randomized controlled trial with 2years of follow-up,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,,,,,,,,,,,,"BackgroundTo improve tendon-to-bone healing in anterior cruciate ligament (ACL) reconstruction, a novel technique via calcium phosphate (CaP)-hybridized tendon graft using an alternate soaking process was developed. The purpose of this study was to evaluate the clinical results of anatomic single-bundle ACL reconstruction using the CaP-hybridized tendon graft with up to 2years follow-up, and compare the outcome with conventional ACL reconstruction and preoperative data.MethodsNinety patients who required anatomic single-bundle ACL reconstruction were randomized to undergo either the CaP-hybridized tendon graft method (CaP group, n=45) or the conventional method (conventional group, n=45). At 1 and 2years postoperatively, all patients were evaluated using KT-1000 arthrometry, pivot-shift test, International Knee Documentation Committee (IKDC) grade, Lysholm scale, and Tegner scale; at the same timepoints, bone tunnel enlargement was evaluated using computed tomography, and the tendon graft intensity was evaluated on magnetic resonance imaging. Tendon graft appearance was evaluated arthroscopically once after a period of up to 2years postoperatively. Cases of re-rupture and adverse events were recorded in both groups.ResultsIn both groups, the KT-1000 arthrometry, pivot-shift test, IKDC grade, and Lysholm scale results at 1 and 2years postoperatively were superior to preoperative data; these results did not significantly differ between groups at either timepoint. The rate of increase of the cross-sectional area of the femoral bone tunnel in the CaP group was smaller than that in the conventional group at 1year postoperatively. The other results did not significantly differ between the two groups at any timepoint. There were two cases of re-rupture in the CaP group, and six cases of re-rupture in the conventional group. There were no adverse events during follow-up in either group.ConclusionsAnatomic single-bundle ACL reconstruction using a CaP-hybridized tendon graft was safe, and resulted in improved clinical outcomes at 2years postoperatively compared with preoperative data; the outcomes were comparable with the conventional method. A longer follow-up is needed to clarify the clinical effects of the CaP-hybridized tendon graft in anatomic single-bundle ACL reconstruction.Trial registrationUMIN, UMIN000019788 Registered 14 November 2015Retrospectively registered.",,,,,,,,,,,,,,,,,,,,,,,,DEC 29,2018,13,,,,,,,,327,10.1186/s13018-018-1045-1,http://dx.doi.org/10.1186/s13018-018-1045-1,,,,,,,,30594226,,,,,WOS:000454545400001,View Full Record in Web of Science
J,"Lund, B; Nielsen, T; Fauno, P; Christiansen, SE; Lind, M",,,,"Lund, Bent; Nielsen, Torsten; Fauno, Peter; Christiansen, Svend Erik; Lind, Martin",,,Is Quadriceps Tendon a Better Graft Choice Than Patellar Tendon? A Prospective Randomized Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: The purpose of this randomized controlled study was to compare knee stability, kneeling pain, harvest site pain, sensitivity loss, and subjective clinical outcome after primary anterior cruciate ligament (ACL) reconstruction with either bone-patellar tendon-bone (BPTB) or quadriceps tendon-bone (QTB) autografts in a noninferiority study design. Methods: From 2005 to 2009, a total of 51 patients were included in the present study. Inclusion criteria were isolated ACL injuries in adults. Twenty-five patients were randomized to BPTB grafts and 26 to QTB grafts. An independent examiner performed follow-up evaluations 1 and 2 years postoperatively. Anteroposterior knee laxity was measured with a KT-1000 arthrometer (MEDmetric, San Diego, CA). Anterior knee pain was assessed clinically and by knee-walking ability. Knee Injury and Osteoarthritis Outcome Score (KOOS) and subjective International Knee Documentation Committee (IKDC) score were used for patient-evaluated outcome. Results: Anterior knee laxity was equal between the 2 groups with KT-1000 values of 1.1 +/- 1.4 mm and 0.8 +/- 1.7 mm standard deviation (SD) at follow-up in QTB and BPTB groups, respectively (P.65), whereas positive pivot shift test results were seen less frequently (14% compared with 38%, respectively; P = .03). Anterior kneeling pain, evaluated by the knee walking ability test, was significantly less in the QTB group, with only 7% of patients grading knee walking as difficult or impossible compared with 34% in the BPTB group. At 1 and 2 years' follow-up, there was no difference between the 2 groups in subjective patient-evaluated outcome. The IKDC score was 75 +/- 13 patients and 76 +/- 16 SD at 1-year follow-up in QTB and BPTB groups, respectively (P = .78). At 2 years, 12 patients were lost to follow-up, resulting in 18 in the BPTB group and 21 in the QTB group. Conclusions: The use of the QTB graft results in less kneeling pain, graft site pain, and sensitivity loss than seen with BPTB grafts; however, similar anterior knee stability and subjective outcomes are seen. The results of this study show that QTB is a viable option for ACL reconstruction. Level of Evidence: Level II, randomized controlled clinical trial.",,,,,,,,,,,,,,,,,,,,,,,,MAY,2014,30,5,,,,,593,598,,10.1016/j.arthro.2014.01.012,http://dx.doi.org/10.1016/j.arthro.2014.01.012,,,,,,,,24630956,,,,,WOS:000334337700014,View Full Record in Web of Science
J,"Chahal, J; Whelan, DB; Hoit, G; Theodoropoulos, J; Ajrawat, P; Betsch, M; Docter, S; Dwyer, T",,,,"Chahal, Jaskarndip; Whelan, Daniel B.; Hoit, Graeme; Theodoropoulos, John; Ajrawat, Prabjit; Betsch, Marcel; Docter, Shgufta; Dwyer, Tim",,,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: The aim of the current study was to determine the effect of the knee flexion angle (KFA) during tibial anterior cruciate ligament (ACL) graft fixation on patient-reported outcomes, graft stability, extension loss, and reoperation after anatomic single-bundle ACL reconstruction. Methods: All 169 included patients (mean age 28.5 years, 65% male) were treated with anatomic single-bundle ACL reconstruction using patellar tendon autograft and were randomized to tibial fixation of the ACL graft at either 0 degrees (n = 85) or 30 degrees (n = 84). The primary outcome was the Knee Injury and Osteoarthritis Outcome Score (KOOS) 2 years after surgery. Secondary outcomes were the Marx Activity Scale (MAS), the rate of reoperation, and physical examination findings at 1 year, including KT-1000 and side-to-side differences in knee extension. Results: The follow-up rate was 82% (n = 139) for the primary outcome. Graft failure rate at 2 years was 1% (n = 2, 1 per group). ACL tibial graft fixation at 0 degrees or 30 degrees did not have a significant effect on KOOS scores at 2 years after ACLR. Patients whose graft was fixed at a knee flexion angle of 0 degrees had greater scores on the MAS (mean 9.6 95% confidence interval [CI] 8.5 to 10.6, versus 8.0, 95% CI 6.9 to 9.1; P = .04), and a greater proportion achieved the minimal clinical important difference (MCID) for the KOOS pain subdomain (94% versus 81%; P = .04). There was no significant difference in knee extension loss, KT-1000 measurements, or reoperation between the 2 groups. Conclusion: In the setting of anatomic single-bundle ACLR using patellar tendon autograft and anteromedial portal femoral drilling, there was no difference in KOOS scores between patients fixed at 0 degrees and 30 degrees. Patient fixed in full extension did demonstrate higher activity scores at 2 years after surgery and a greater likelihood of achieving the MCID for KOOS pain. Level of Evidence: II, prospective randomized trial",,,,,,,,,,,,,,,,,,,,,,,,JUN,2022,38,6,,,,,1969,1977,,10.1016/j.arthro.2021.12.018,http://dx.doi.org/10.1016/j.arthro.2021.12.018,,JUN 2022,,,,,,34952186,,,,,WOS:000829866200036,View Full Record in Web of Science
J,"Mohtadi, N; Chan, D; Barber, R; Paolucci, EO",,,,"Mohtadi, Nicholas; Chan, Denise; Barber, Rhamona; Paolucci, Elizabeth Oddone",,,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",CLINICAL JOURNAL OF SPORT MEDICINE,,,,,,,,,,,,"Objective:To compare 3 anatomically positioned autografts for anterior cruciate ligament (ACL) reconstruction, by measuring patient-reported disease-specific quality of life at 2 years postoperatively.Design:Double-blinded, randomized clinical trial with intraoperative computer-generated treatment allocation. Patients and an independent trained evaluator were blinded.Setting:University-based orthopedic referral practice.Patients:Three hundred thirty patients (14-50 years; 183 male patients) with isolated ACL deficiency were equally randomized to: (1) patellar tendon, PT: 28.7 years (SD = 9.7); (2) quadruple-stranded hamstring tendon, HT: 28.5 years (SD = 9.9); and (3) double bundle using HT, DB: 28.3 years (SD = 9.8); 322 patients completed 2-year follow-up.Intervention:Anterior cruciate ligament reconstruction using PT, HT, or DB autografts.Main Outcome Measures:Measured at baseline, 1 and 2 years postoperativelyprimary: anterior cruciate ligament quality-of-life scores; secondary: International Knee Documentation Committee (IKDC) scores, KT-1000 arthrometer, pivot shift, range of motion, Tegner activity, Cincinnati Occupational Scale, and single-leg hop. Proportions of correct graft type guesses by the patients and evaluator assessed blinding effectiveness.Results:Baseline characteristics were not different. Anterior cruciate ligament quality-of-life scores increased over time for all groups (P = 0.001) but were not different at 2 years (P = 0.591): PT = 84.6 (SD = 16.6, 95% confidence interval [CI] = 81.4-87.8), HT = 82.5 (SD = 17.7, 95% CI = 79.2-85.9), and DB = 82.4 (SD = 17.5, 95% CI = 79.1-85.7). Two-year KT-1000 side-to-side differences (PT = 1.86 mm; HT = 2.97 mm; DB = 2.65 mm) were statistically significant between PT-HT (P = 0.002) and PT-DB (P = 0.044). The remaining secondary outcomes were not statistically different. Correct graft type guesses occurred 51% of the time for patients and 46% for the evaluator.Conclusions:Two-year disease-specific quality-of-life outcome was not different between the ACL reconstruction techniques. The PT reconstructions had significantly lower side-to-side differences on static stability measures. Patient and evaluator blinding was achieved.Level of Evidence:Level 1 (Therapeutic Studies).Clinical Relevance:This high-quality, large, double-blind randomized clinical trial (RCT) addresses the insufficient evidence in the literature comparing PT, single-bundle hamstring, and DB hamstring reconstructions for ACL rupture in adults. In addition to the clinical and functional results, this RCT uniquely reports on the disease-specific, patient-reported quality-of-life outcome at 2 years postoperatively.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2015,25,4,,,,,321,331,,10.1097/JSM.0000000000000165,http://dx.doi.org/10.1097/JSM.0000000000000165,,,,,,,,25514139,,,,,WOS:000357492400003,View Full Record in Web of Science
J,"Bottoni, CR; Liddell, TR; Trainor, TJ; Freccero, DM; Lindell, KK",,,,"Bottoni, Craig R.; Liddell, Travis R.; Trainor, Timothy J.; Freccero, David M.; Lindell, Kenneth K.",,,"Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings - A prospective, randomized clinical trial of early versus delayed reconstructions",AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: There is a common belief that surgical reconstruction of an acutely torn anterior cruciate ligament (ACL) should be delayed for at least 3 weeks because of the increased incidence of postoperative motion loss (arthrofibrosis) and suboptimal clinical results. Hypothesis: There is no difference in postoperative range of motion or stability after ACL reconstructions performed either acutely or delayed. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: Patients with an acute ACL tear were prospectively randomized to either early ( within 21days) or delayed ( beyond 6 weeks) reconstruction using autograft hamstring tendon. Previous knee surgery on the index extremity and a multiligamentous injury were exclusionary criteria. Surgical technique and postoperative rehabilitation were identical for all patients. Postoperative assessments included range of motion and KT-1000 arthrometer measurements compared with the contralateral knee. Standardized outcome measures were used including single assessment numeric evaluation (SANE), Lysholm, and Tegner Activity Score. Results: Seventy consecutive patients were enrolled, and 1 patient was dropped after a postoperative infection. Sixty-nine patients ( 34 acute, 35 delayed) with an average age of 27 years composed the study cohort. The mean time from injury to surgery was 9 days ( range, 2-17 days) for patients in the early group and 85 days (range, 42-192) for those in the delayed group. The average follow-up from surgery was 366 days ( range, 185-869). Articular cartilage and meniscal injuries were comparable between the 2 groups. There were no significant differences between the 2 treatment groups in degrees of extension or flexion lost relative to the nonoperative side, operative time, KT-1000 arthrometer differences, or subjective knee evaluations. Conclusion: Excellent clinical results can be achieved after ACL reconstructions performed soon after injury using autograft hamstrings. Although the authors do not advocate that all reconstructions should be performed acutely, they found that early ACL reconstructions do not result in loss of motion or suboptimal clinical results as long as a rehabilitation protocol emphasizing extension and early range of motion is employed.",,,,,,,,,,,,,,,,,,,,,,,,APR,2008,36,4,,,,,656,662,,10.1177/0363546507312164,http://dx.doi.org/10.1177/0363546507312164,,,,,,,,18212347,,,,,WOS:000254679500004,View Full Record in Web of Science
J,"Balasingam, S; Karikis, I; Rostgård-Christensen, L; Desai, N; Ahldén, M; Sernert, N; Kartus, J",,,,"Balasingam, Sadesh; Karikis, Ioannis; Rostgard-Christensen, Lars; Desai, Neel; Ahlden, Mattias; Sernert, Ninni; Kartus, Juri",,,Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction Is Not Superior to Anatomic Single-Bundle Reconstruction at 10-Year Follow-up: A Randomized Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: The anatomic double-bundle (DB) technique is purported to be a superior technique due to its mimicking of the double-stranded anatomic formation of the anterior cruciate ligament (ACL). Previous studies with 2-, 5- and 10-year follow-up are conflicted as to whether this technique is superior to the previous gold standard method of ACL reconstruction, the anatomic single-bundle (SB) reconstruction. Purpose/Hypothesis: The aim of this prospective randomized study was to compare the outcomes of the anatomic DB technique and anatomic SB technique with independent drilling at 10 years after anterior cruciate ligament (ACL) reconstruction. We hypothesized that DB ACL reconstruction would result in a better outcome in terms of the pivot-shift test. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: A total of 105 patients (33 women, 72 men; median age, 27 years [range, 18-52 years]) were randomized and underwent ACL reconstruction (DB group: n = 53; SB group: n = 52). All reconstruction procedures were performed anatomically by identifying the ACL footprint, using the anteromedial portal for femoral tunnel drilling, and utilizing interference screws for tibial and femoral fixation. One blinded observer examined the patients both preoperatively and at follow-up (median, 120 months [range, 112-134 months]). Multiple subjective and objective clinical evaluations were used to assess the outcomes. Radiographic assessments of osteoarthritis were performed using the Ahlback, Kellgren-Lawrence, and Fairbank classification systems early postoperatively and at the final follow-up. Results: Preoperatively, no differences were found between the study groups. Overall, 70 patients (67%; DB group: n = 39; SB group: n = 31) were available for analysis at 10-year follow-up. No significant difference could be shown between the groups in terms of the pivot-shift grade, knee laxity measurements using the KT-1000 arthrometer, manual Lachman grade, single-leg hop test result, range of motion measurements, Lysholm knee score, Tegner activity score, and Knee injury and Osteoarthritis Outcome Score (KOOS) score. Correspondingly, no differences were found between the groups regarding the presence of radiographic osteoarthritis at follow-up. Both groups improved at follow-up compared with preoperatively in terms of the pivot-shift grade, knee laxity measurements using the KT-1000 arthrometer, manual Lachman grade, Lysholm knee score, and KOOS score (P < .05 [highest P value for any comparison]). Conclusion: The anatomic DB technique was not superior to the anatomic SB technique with independent drilling at 10-year follow-up in regard to objective and subjective measurements. As such, one could argue that there is no need for the continued use of the anatomic DB technique in an unselected population.",,,,,,,,,,,,,,,,,,,,,,,,NOV,2022,50,13,,,,,3477,3486,,10.1177/03635465221128566,http://dx.doi.org/10.1177/03635465221128566,,OCT 2022,,,,,,36269582,,,,,WOS:000871124700001,View Full Record in Web of Science
J,"Järvelä, T; Moisala, AS; Sihvonen, R; Järvelä, S; Kannus, P; Järvinen, M",,,,"Jaervelae, Timo; Moisala, Anna-Stina; Sihvonen, Raine; Jaervelae, Sally; Kannus, Pekka; Jaervinen, Markku",,,Double-bundle anterior cruciate ligament reconstruction using hamstring autografts and bioabsorbable interference screw fixation,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: Conventional anterior cruciate ligament reconstruction techniques have focused on restoration of the anteromedial bundle only, which, however, may be insufficient in restoring the rotational stability of the knee. Hypothesis: Rotational stability of the knee is better when using a double-bundle technique instead of a single-bundle technique for anterior cruciate ligament reconstruction. Study Design: Randomized controlled clinical trial; Level of evidence, 1. Methods: Seventy-seven patients were randomized into 3 different groups for anterior cruciate ligament reconstruction with hamstring tendons: double-bundle with bioabsorbable screw fixation (n = 25), single-bundle with bioabsorbable screw fixation (n = 27), and single-bundle with metallic screw fixation (n = 25). The evaluation methods were clinical examination, KT-1000 arthrometric measurement, and the International Knee Documentation Committee and Lysholm knee scores. Results: There were no differences between the study groups preoperatively. Seventy-three patients (95%) were available at a minimum 2-year follow-up (range, 24-35 mo). The rotational stability of the knee, as evaluated by the pivot-shift test, was the best in the patients in the double-bundle group. In addition, the patients in the single-bundle groups had more graft failures than those in the double-bundle group. Concerning the anterior stability of the knee as measured with the KT-1 000 arthrometer, the group differences were not statistically significant. No significant differences were found between the groups in knee scores. Conclusion: Rotational stability of the knee is better when using the double-bundle technique instead of the single-bundle technique in anterior cruciate ligament reconstruction.",,,,,,,,,,,,,,,,,,,,,,,,FEB,2008,36,2,,,,,290,297,,10.1177/0363546507308360,http://dx.doi.org/10.1177/0363546507308360,,,,,,,,17940145,,,,,WOS:000252663900009,View Full Record in Web of Science
J,"Ejerhed, L; Kartus, J; Sernert, N; Köhler, K; Karlsson, J",,,,"Ejerhed, L; Kartus, J; Sernert, N; Köhler, K; Karlsson, J",,,Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction?: A prospective randomized study with a two-year follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: There are well-known problems with the use of bone-patellar tendon-bone autografts for anterior cruciate ligament reconstruction, especially in terms of donor site morbidity. Hamstring tendon grafts have been increasingly used as an alternative, but there are very few controlled studies comparing the methods. Hypothesis: Use of semitendinosus tendon grafts will cause less donor site morbidity and result in better knee-walking ability. Study Design: Prospective randomized clinical trial. Methods: Seventy-one patients who had a unilateral anterior cruciate ligament rupture underwent arthroscopic reconstruction with interference screw fixation and use of either bone-patellar tendon-bone or semitendinosus tendon graft. Outcome assessment was performed by physiotherapists not involved in the patients' care. Results: At the 2-year follow-up, no differences were found in terms of the Lysholm score, Tegner activity level, KT-1000 arthrometer side-to-side laxity measurement, single-legged hop test, or International Knee Documentation Committee classification results. The knee-walking test was rated difficult or impossible to perform by 53% of the bone-patellar tendon-bone group and by only 23% of the semitendinosus graft patients, a significant difference. Conclusions: The semitendinosus tendon graft is at least an equivalent option to the bone-patellar tendon-bone graft for anterior cruciate ligament reconstruction, and we recommend its use. (C) 2003 American Orthopaedic Society for Sports Medicine.",,,,,,,,,,,,,,,,,,,,,,,,JAN-FEB,2003,31,1,,,,,19,25,,10.1177/03635465030310011401,http://dx.doi.org/10.1177/03635465030310011401,,,,,,,,12531752,,,,,WOS:000180473300004,View Full Record in Web of Science
