Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Arneja, S; Froese, W; MacDonald, P",,,,"Arneja, S; Froese, W; MacDonald, P",,,Augmentation of femoral fixation in hamstring anterior cruciate ligament reconstruction with a bioabsorbable bead - A prospective single-blind randomized clinical trial,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: The EndoPearl is an adjunct to bioabsorbable interference screw fixation in the femoral tunnel in anterior cruciate ligament (ACL) reconstruction. The purpose of the study was to assess the clinical effectiveness of the EndoPearl using the KT-1000 Knee Arthrometer and the Mohtadi ACL Quality of Life (ACL-QOL) Questionnaire. Hypothesis: The application of the EndoPearl in hamstring ACL reconstruction has no significant benefit when compared to conventional treatment in KT-1000 and ACL-QOL Questionnaire outcomes. Study Design: Prospective single-blind randomized clinical trial. Methods: ACL reconstruction with autogenous semitendinosus and gracilis tendons was performed on 35 patients. Preoperatively, 3 months, 6 months, and 18 months postoperatively, patients' knees were evaluated using the KT-1000 Knee Arthrometer and the ACL-QOL Questionnaire. Results: Statistically significant differences were achieved in terms of KT-1000 side-to-side differences between the study group and the control group at 6 months and 18 months postoperatively; the mean side-to-side differences are significantly less in the study group when compared to the control group. Statistically significant differences were not detected when comparing the ACL-QOL Questionnaire between the two groups at all time intervals. Conclusion: The application of the EndoPearl in conjunction with a bioscrew in the femoral tunnel in autogenous ACL reconstruction using semitendinosus and gracilis tendon grafts provides a significantly decreased laxity up to 18 months postoperatively in terms of KT-1000 side-to-side differences.",,,,,,,,,,,,,,,,,,,,,,,,JAN-FEB,2004,32,1,,,,,159,163,,10.1177/0095399703258675,http://dx.doi.org/10.1177/0095399703258675,,,,,,,,14754739,,,,,WOS:000220711300021,View Full Record in Web of Science
J,"Matsumoto, T; Kuroda, R; Matsushita, T; Araki, D; Hoshino, Y; Nagamune, K; Kurosaka, M",,,,"Matsumoto, Tomoyuki; Kuroda, Ryosuke; Matsushita, Takehiko; Araki, Daisuke; Hoshino, Yuichi; Nagamune, Kouki; Kurosaka, Masahiro",,,Reduction of Tunnel Enlargement With Use of Autologous Ruptured Tissue in Anterior Cruciate Ligament Reconstruction: A Pilot Clinical Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: To compare the tunnel enlargement of double-bundle (DB) anterior cruciate ligament reconstruction (ACLR) with and without suturing of autologous ruptured tissue to hamstring graft in patients with subacute anterior cruciate ligament injury. Methods: Ten patients with subacute (<= 3 months after injury) anterior cruciate ligament rupture were randomly allocated to undergo DB ACLR with suturing of the ruptured tissue to hamstring graft (n = 5) or conventional DB ACLR (n 5). When autologous ruptured tissue was used, remnant ruptured tissue was then harvested, divided into 4 pieces, placed between the loops at the distal and proximal portions of the graft, and secured with the suture. As the primary endpoint, tunnel volume assessment by 3-dimensional multie-detector row computed tomography (MDCT) was performed 1 year after ACLR. To assess the efficacy of these procedures, the Lysholm score, anterior tibial translation (measured with a KT-1000 arthrometer [MEDmetric, San Diego, CA]), and rotational instability (measured by the pivot-shift test) were evaluated after 2 years. Results: Tunnel volume enlargement between 3 weeks and 1 year after ACLR as assessed by 3-dimensional MDCT was significantly less for ACLR using ruptured tissue than for conventional ACLR, especially at the femoral site (P<.05). However, the postoperative Lysholm score, anterior stability of the knee measured with the KT-1000 arthrometer, and rate of negative manual pivot-shift test results did not differ significantly between the 2 groups. There was no correlation to the clinical outcomes in terms of tunnel size. Conclusions: The Lysholm score, anterior laxity measured with the KT-1000 arthrometer, and rotational instability according to the pivot-shift test did not differ significantly between ACLR using ruptured tissue and the conventional technique. However, ACLR using ruptured tissue produced less femoral tunnel enlargement as assessed by MDCT, warranting further long-term follow-up to elucidate its effectiveness. Level of Evidence: Level II, prospective comparative study.",,,,,,,,,,,,,,,,,,,,,,,,APR,2014,30,4,,,,,468,474,,10.1016/j.arthro.2013.12.014,http://dx.doi.org/10.1016/j.arthro.2013.12.014,,,,,,,,24582053,,,,,WOS:000334049500013,View Full Record in Web of Science
J,"Koga, H; Muneta, T; Yagishita, K; Watanabe, T; Mochizuki, T; Horie, M; Nakamura, T; Otabe, K; Sekiya, I",,,,"Koga, Hideyuki; Muneta, Takeshi; Yagishita, Kazuyoshi; Watanabe, Toshifumi; Mochizuki, Tomoyuki; Horie, Masafumi; Nakamura, Tomomasa; Otabe, Koji; Sekiya, Ichiro",,,Effect of Posterolateral Bundle Graft Fixation Angles on Clinical Outcomes in Double-Bundle Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: In double-bundle (DB) anterior cruciate ligament (ACL) reconstruction, no consensus exists on an optimal setting for the posterolateral bundle (PLB) graft fixation angles. Hypothesis: Different PLB fixation angles would affect clinical outcomes in DB ACL reconstruction. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: This study prospectively included 90 patients who underwent primary DB ACL reconstruction with an autologous semitendinosus tendon. The PLB fixation angles were randomly set as follows: 0 degrees of flexion (P0; n = 30), 20 degrees (P20; n = 30), and 45 degrees (P45; n = 30). In all groups, the anteromedial bundle was fixed at 20 degrees of flexion. The following evaluation methods were used at the preoperative period and at 3, 6, and 9 months and 1 and 2 years after the surgery: clinical examination, KT-1000 arthrometer measurement, muscle strength, Tegner score, Lysholm score, and subjective rating scale regarding patient satisfaction and sports performance levels. Graft retear, contralateral ACL tear, and additional meniscus surgery were also recorded. Results: Seventy-five patients (P0, n = 25; P20, n = 26; P45, n = 24) who were followed for 2 years were evaluated. Preoperatively, there were no differences among the groups. Postoperatively, pivot-shift test results in the P0 and P20 groups were better than those in the P45 group (P0, n = 23 graded negative and 2 graded 1+; P20, n = 23 and 2; P45, n = 15 and 7, respectively; P0 vs P45: P = .038 and P20 vs P45: P = .038). Average KT-1000 arthrometer laxity measurements were better in the P20 group than in the P45 group (P0, 0.4 mm; P20, 0.3 mm; P45, 1.3 mm; P20 vs P45: P = .048), and there were more patients with graft failure (KT-1000 measurement, 4 mm) in the P45 group (n = 3) than the P0 and P20 groups (each, n = 0). There were no significant differences in range of motion, other laxity tests, muscle strength, Tegner score, Lysholm score, subjective rating scale, or additional surgery. Conclusion: In DB ACL reconstruction, when the anteromedial bundle was fixed at 20 degrees of flexion, fixation of the PLB at 45 degrees was worse than fixation at 0 degrees and 20 degrees with respect to anterior and rotational stability during the 2-year follow-up. KT-1000 arthrometer measurements and pivot-shift test results were significantly worse, and there were more patients with graft failure in the P45 group. There were no differences among groups in other findings.",,,,,,,,,,,,,,,,,,,,,,,,MAY,2015,43,5,,,,,1157,1164,,10.1177/0363546514567069,http://dx.doi.org/10.1177/0363546514567069,,,,,,,,25646363,,,,,WOS:000353980000022,View Full Record in Web of Science
J,"Birmingham, TB; Bryant, DM; Giffin, JR; Litchfield, RB; Kramer, JF; Donner, A; Fowler, PJ",,,,"Birmingham, Trevor B.; Bryant, Dianne M.; Giffin, J. Robert; Litchfield, Robert B.; Kramer, John F.; Donner, Allan; Fowler, Peter J.",,,A randomized controlled trial comparing the effectiveness of functional knee brace and neoprene sleeve use after anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: Despite a lack of evidence for their effectiveness, functional knee braces are commonly prescribed to patients after anterior cruciate ligament ( ACL) reconstruction. Purpose: This trial was conducted to compare postoperative outcomes in patients using an ACL functional knee brace and patients using a neoprene knee sleeve. Hypothesis: Patients using a brace will have superior outcomes than those using a sleeve. Study Design: Randomized controlled clinical trial; Level of evidence, 1. Methods: One hundred fifty patients were randomized to receive a brace (n = 76) or neoprene sleeve ( n = 74) at their 6-week postoperative visit after primary ACL reconstruction with hamstring autograft. Patients were assessed preoperatively, then 6 weeks and 6, 12, and 24 months postoperatively. Outcome measures included disease-specific quality of life (Anterior Cruciate Ligament-Quality of Life [ACL-QOL] Questionnaire), anterior tibial translation (KT-1000 arthrometer side-to-side difference), the single-limb forward hop test ( limb symmetry index), and Tegner Activity Scale. Outcomes at 1 and 2 years were compared after adjusting for baseline scores. Subjective ratings of how patients felt while using the brace/sleeve were also collected for descriptive purposes using a questionnaire. Four a priori directional subgroup hypotheses were evaluated using tests for interactions. Results: There were no significant differences between brace (n = 62) and sleeve ( n = 65) groups for any of the outcomes at 1-and 2-year follow-ups. Adjusted mean differences at 2 years were as follows: -0.94 (95% confidence interval [CI], -7.52 to 5.64) for the ACL-QOL Questionnaire, -0.10 mm ( 95% CI, -0.99 to 0.81) for KT-1000 arthrometer side-to-side difference, -0.87% ( 95% CI, -8.89 to 7.12) for hop limb symmetry index, and -0.05 ( 95% CI, -0.72 to 0.62) for the Tegner Activity Scale. Subjective ratings of confidence in the knee provided by the brace/ sleeve were higher for the brace group than the sleeve group. Subgroup findings were minimal. Adverse events were few and similar between groups. Conclusions: A functional knee brace does not result in superior outcomes compared with a neoprene sleeve after ACL reconstruction. Current evidence does not support the recommendation of using an ACL functional knee brace after ACL reconstruction.",,,,,,,,,,,,,,,,,,,,,,,,APR,2008,36,4,,,,,648,655,,10.1177/0363546507311601,http://dx.doi.org/10.1177/0363546507311601,,,,,,,,18192493,,,,,WOS:000254679500003,View Full Record in Web of Science
J,"Kulinski, K; Wasko, MK; Trams, E; Malesa, K; Pomianowski, S; Kaminski, R",,,,"Kulinski, Krzysztof; Wasko, Marcin K.; Trams, Ewa; Malesa, Kamila; Pomianowski, Stanislaw; Kaminski, Rafal",,,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background:Hamstring tendon grafts are the most common choice for anterior cruciate ligament (ACL) reconstruction (ACLR). Previous studies have provided evidence that offers conflicting opinions concerning the most favorable graft choice. Purpose:To identify whether the use of a quadrupled semitendinosus tendon (ST) or doubled semitendinosus tendon and gracilis tendon (ST/G) graft provides comparable anterior tibial translation (ATT) with similar functional results and similar donor site morbidity. Study Design:Randomized controlled trial; Level of evidence, 1. Methods:This was a prospective, patient- and surgeon-blinded, randomized trial set in a busy orthopaedic and traumatology department at a university hospital. Between 2015 and 2017, a total of 162 patients with ACL lesions were randomized to undergo ACLR with either a quadrupled ST or doubled ST/G graft. The primary endpoint was ATT assessed with the KT-1000 arthrometer. Clinical outcomes were assessed using the patient-reported outcome measures (PROMs) of the visual analog scale (VAS), International Knee Documentation Committee (IKDC) subjective evaluation form, Knee injury and Osteoarthritis Outcome Score (KOOS), Tegner activity scale, and Lysholm knee scoring scale. Results:Preoperative demographic data, ATT, and PROM scores showed no significant differences. At 4.5 years, no significant differences were found between the ST and ST/G groups with respect to PROM scores and KT-1000 arthrometer, Lachman test, and pivot-shift test findings. Differences in functional results between groups were significant (muscle strength). Subgroup analysis revealed significantly increased ATT in female patients undergoing ACLR with a quadrupled ST graft during the 4.5-year observation period, as assessed by the KT-1000 arthrometer, as well as inferior KOOS, IKDC, Lysholm, and VAS scores. Conclusion:This study showed a significant increase in ATT as well as inferior results on PROMs during a 4.5-year observation period in female patients undergoing ACLR with a quadrupled ST graft. In male patients, the study provided evidence of the noninferiority of ACLR with an ST graft, with no influence on donor site morbidity.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2023,51,3,,,,,615,626,,10.1177/03635465221149738,http://dx.doi.org/10.1177/03635465221149738,,,,,,,,36856280,,,,,WOS:000942491200008,View Full Record in Web of Science
J,"Zhang, Q; Zhang, S; Cao, XC; Liu, LF; Liu, Y; Li, R",,,,"Zhang, Qiang; Zhang, Shu; Cao, Xuecheng; Liu, Lifeng; Liu, Ya; Li, Rui",,,The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: a prospective randomized controlled trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,,,,,,,,,,,,"To investigate the effect of remnant preservation on tibial tunnel enlargement in a single-bundle anterior cruciate ligament (ACL) reconstruction with a hamstring autograft. From 2006 to 2009, a total of 62 patients who underwent single-bundle ACL reconstruction with a quadrupled hamstring tendon autograft were enrolled in this study. The patients were randomly divided into two groups: the preserving-remnant group and the removing-remnant group. Plain radiographs were taken at 1 week, and 3, 6, and 24 months postoperatively, and tibial tunnel enlargement was evaluated. The postoperative clinical assessment included the Lysholm rating scale and KT-1000 measurement. In total, 27 patients in the preserving-remnant group and 24 patients in the removing-remnant group were followed up and the median follow-up was 24.5 months (range 24-27 months). Tibial tunnel enlargement occurred within 6 months postoperatively. Positive enlargement was observed in 8 patients (29.6 %) in the preserving-remnant group and 14 patients (58.3 %) in the removing-remnant group (P = 0.0388). The percentage of tibial tunnel enlargement was 25.7 +/- A 6.7 and 34.0 +/- A 8.9 % in the preserving- and removing-remnant groups, respectively (P = 0.0004). In the preserving-remnant group, the average Lysholm score increased from 60.3 +/- A 5.3 (51-69) to 93.0 +/- A 3.5 (88-100), and the side-to-side difference of the KT-1000 changed from 6.3 +/- A 0.9 (5.1-8.0) to 1.4 +/- A 0.6 (0.5-2.4) mm. In the removing-remnant group, the average Lysholm score increased from 58.7 +/- A 6.5 (48-71) to 91.1 +/- A 3.9 (85-100), and the side-to-side difference of the KT-1000 changed from 6.5 +/- A 0.8 (5.4-8.2) to 1.7 +/- A 0.6 (0.6-2.8) mm. It is confirmed that remnant preservation in ACL reconstruction can resist tibial tunnel enlargement but that this technique does not affect the short-term clinical outcome of ACL reconstruction. I.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2014,22,1,,,,,166,173,,10.1007/s00167-012-2341-7,http://dx.doi.org/10.1007/s00167-012-2341-7,,,,,,,,23242378,,,,,WOS:000329241300022,View Full Record in Web of Science
J,"Smith, PA; Cook, CS; Bley, JA",,,,"Smith, Patrick A.; Cook, Corey S.; Bley, Jordan A.",,,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,,,,,,,,,,,,"Purpose: To compare clinical outcomes of knee anterior cruciate ligament (ACL) autograft reconstruction using all-inside quadrupled semitendinosus (AIST) versus bone-patellar tendon-bone (BPTB) in a high-risk athletic population 24 years or younger. Methods: Skeletally mature candidates younger than 24 years old with an ACL tear were randomized into either the AIST (n = 32) or BPTB (n = 32) group and were followed for 2 years. Magnetic resonance imaging scans were obtained at 1-year follow-up, and radiographs were obtained at 2-year follow-up. All surgeries were performed by a single surgeon using an anteromedial portal to establish the femoral tunnel. The primary outcome measure was KT-1000 stability testing. Secondary outcome measures included International Knee Documentation Committee (IKDC) Knee Evaluation Form, IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx Activity Scale, visual analog pain scale, and SF-12 (Mental and Physical). Results: At 2-year follow-up, no statistical difference existed with KT-1000-measured side-to-side laxity between AIST (0.3 +/- 0.7 mm, 95% confidence interval 0.0-1.0 mm) and BPTB (0.0 +/- 0.8 mm, confidence interval CI -0.3 to 1.1 mm) (P = .197). In addition, no statistical differences between the groups were found for IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx, SF-12 Mental, SF-12 Physical, or with regards to imaging findings. Patients with BPTB reported significantly greater postoperative pain scores at days 2 (P = .049), 3 (P = .004), and 7 (P = .015) and had significantly greater kneeling pain at 2 years (P < .019). A return to sport questionnaire at 2 years revealed no significant difference between the groups for returning to preoperative level of sport activity (83% AIST, 74% BPTB; P = .415). Two graft retears (7%; P = .222) occurred in the AIST group. Three patients in the BPTB group experienced ACL tears in the contralateral knee (9%; P = .239). Conclusions: ACL reconstruction with an all-inside quadrupled semitendinosus autograft construct is equivalent to patellar BPTB autograft based on KT-1000 stability testing in athletes 24 years or younger.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2020,36,6,,,,,1629,1646,,10.1016/j.arthro.2020.01.048,http://dx.doi.org/10.1016/j.arthro.2020.01.048,,,,,,,,32059954,,,,,WOS:000539213300029,View Full Record in Web of Science
J,"Bottoni, CR; Liddell, TR; Trainor, TJ; Freccero, DM; Lindell, KK",,,,"Bottoni, Craig R.; Liddell, Travis R.; Trainor, Timothy J.; Freccero, David M.; Lindell, Kenneth K.",,,"Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings - A prospective, randomized clinical trial of early versus delayed reconstructions",AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: There is a common belief that surgical reconstruction of an acutely torn anterior cruciate ligament (ACL) should be delayed for at least 3 weeks because of the increased incidence of postoperative motion loss (arthrofibrosis) and suboptimal clinical results. Hypothesis: There is no difference in postoperative range of motion or stability after ACL reconstructions performed either acutely or delayed. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: Patients with an acute ACL tear were prospectively randomized to either early ( within 21days) or delayed ( beyond 6 weeks) reconstruction using autograft hamstring tendon. Previous knee surgery on the index extremity and a multiligamentous injury were exclusionary criteria. Surgical technique and postoperative rehabilitation were identical for all patients. Postoperative assessments included range of motion and KT-1000 arthrometer measurements compared with the contralateral knee. Standardized outcome measures were used including single assessment numeric evaluation (SANE), Lysholm, and Tegner Activity Score. Results: Seventy consecutive patients were enrolled, and 1 patient was dropped after a postoperative infection. Sixty-nine patients ( 34 acute, 35 delayed) with an average age of 27 years composed the study cohort. The mean time from injury to surgery was 9 days ( range, 2-17 days) for patients in the early group and 85 days (range, 42-192) for those in the delayed group. The average follow-up from surgery was 366 days ( range, 185-869). Articular cartilage and meniscal injuries were comparable between the 2 groups. There were no significant differences between the 2 treatment groups in degrees of extension or flexion lost relative to the nonoperative side, operative time, KT-1000 arthrometer differences, or subjective knee evaluations. Conclusion: Excellent clinical results can be achieved after ACL reconstructions performed soon after injury using autograft hamstrings. Although the authors do not advocate that all reconstructions should be performed acutely, they found that early ACL reconstructions do not result in loss of motion or suboptimal clinical results as long as a rehabilitation protocol emphasizing extension and early range of motion is employed.",,,,,,,,,,,,,,,,,,,,,,,,APR,2008,36,4,,,,,656,662,,10.1177/0363546507312164,http://dx.doi.org/10.1177/0363546507312164,,,,,,,,18212347,,,,,WOS:000254679500004,View Full Record in Web of Science
J,"Mohtadi, N; Chan, D; Barber, R; Paolucci, EO",,,,"Mohtadi, Nicholas; Chan, Denise; Barber, Rhamona; Paolucci, Elizabeth Oddone",,,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",CLINICAL JOURNAL OF SPORT MEDICINE,,,,,,,,,,,,"Objective:To compare 3 anatomically positioned autografts for anterior cruciate ligament (ACL) reconstruction, by measuring patient-reported disease-specific quality of life at 2 years postoperatively.Design:Double-blinded, randomized clinical trial with intraoperative computer-generated treatment allocation. Patients and an independent trained evaluator were blinded.Setting:University-based orthopedic referral practice.Patients:Three hundred thirty patients (14-50 years; 183 male patients) with isolated ACL deficiency were equally randomized to: (1) patellar tendon, PT: 28.7 years (SD = 9.7); (2) quadruple-stranded hamstring tendon, HT: 28.5 years (SD = 9.9); and (3) double bundle using HT, DB: 28.3 years (SD = 9.8); 322 patients completed 2-year follow-up.Intervention:Anterior cruciate ligament reconstruction using PT, HT, or DB autografts.Main Outcome Measures:Measured at baseline, 1 and 2 years postoperativelyprimary: anterior cruciate ligament quality-of-life scores; secondary: International Knee Documentation Committee (IKDC) scores, KT-1000 arthrometer, pivot shift, range of motion, Tegner activity, Cincinnati Occupational Scale, and single-leg hop. Proportions of correct graft type guesses by the patients and evaluator assessed blinding effectiveness.Results:Baseline characteristics were not different. Anterior cruciate ligament quality-of-life scores increased over time for all groups (P = 0.001) but were not different at 2 years (P = 0.591): PT = 84.6 (SD = 16.6, 95% confidence interval [CI] = 81.4-87.8), HT = 82.5 (SD = 17.7, 95% CI = 79.2-85.9), and DB = 82.4 (SD = 17.5, 95% CI = 79.1-85.7). Two-year KT-1000 side-to-side differences (PT = 1.86 mm; HT = 2.97 mm; DB = 2.65 mm) were statistically significant between PT-HT (P = 0.002) and PT-DB (P = 0.044). The remaining secondary outcomes were not statistically different. Correct graft type guesses occurred 51% of the time for patients and 46% for the evaluator.Conclusions:Two-year disease-specific quality-of-life outcome was not different between the ACL reconstruction techniques. The PT reconstructions had significantly lower side-to-side differences on static stability measures. Patient and evaluator blinding was achieved.Level of Evidence:Level 1 (Therapeutic Studies).Clinical Relevance:This high-quality, large, double-blind randomized clinical trial (RCT) addresses the insufficient evidence in the literature comparing PT, single-bundle hamstring, and DB hamstring reconstructions for ACL rupture in adults. In addition to the clinical and functional results, this RCT uniquely reports on the disease-specific, patient-reported quality-of-life outcome at 2 years postoperatively.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2015,25,4,,,,,321,331,,10.1097/JSM.0000000000000165,http://dx.doi.org/10.1097/JSM.0000000000000165,,,,,,,,25514139,,,,,WOS:000357492400003,View Full Record in Web of Science
J,"Balasingam, S; Karikis, I; Rostgård-Christensen, L; Desai, N; Ahldén, M; Sernert, N; Kartus, J",,,,"Balasingam, Sadesh; Karikis, Ioannis; Rostgard-Christensen, Lars; Desai, Neel; Ahlden, Mattias; Sernert, Ninni; Kartus, Juri",,,Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction Is Not Superior to Anatomic Single-Bundle Reconstruction at 10-Year Follow-up: A Randomized Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,,,,,,,,,,,,"Background: The anatomic double-bundle (DB) technique is purported to be a superior technique due to its mimicking of the double-stranded anatomic formation of the anterior cruciate ligament (ACL). Previous studies with 2-, 5- and 10-year follow-up are conflicted as to whether this technique is superior to the previous gold standard method of ACL reconstruction, the anatomic single-bundle (SB) reconstruction. Purpose/Hypothesis: The aim of this prospective randomized study was to compare the outcomes of the anatomic DB technique and anatomic SB technique with independent drilling at 10 years after anterior cruciate ligament (ACL) reconstruction. We hypothesized that DB ACL reconstruction would result in a better outcome in terms of the pivot-shift test. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: A total of 105 patients (33 women, 72 men; median age, 27 years [range, 18-52 years]) were randomized and underwent ACL reconstruction (DB group: n = 53; SB group: n = 52). All reconstruction procedures were performed anatomically by identifying the ACL footprint, using the anteromedial portal for femoral tunnel drilling, and utilizing interference screws for tibial and femoral fixation. One blinded observer examined the patients both preoperatively and at follow-up (median, 120 months [range, 112-134 months]). Multiple subjective and objective clinical evaluations were used to assess the outcomes. Radiographic assessments of osteoarthritis were performed using the Ahlback, Kellgren-Lawrence, and Fairbank classification systems early postoperatively and at the final follow-up. Results: Preoperatively, no differences were found between the study groups. Overall, 70 patients (67%; DB group: n = 39; SB group: n = 31) were available for analysis at 10-year follow-up. No significant difference could be shown between the groups in terms of the pivot-shift grade, knee laxity measurements using the KT-1000 arthrometer, manual Lachman grade, single-leg hop test result, range of motion measurements, Lysholm knee score, Tegner activity score, and Knee injury and Osteoarthritis Outcome Score (KOOS) score. Correspondingly, no differences were found between the groups regarding the presence of radiographic osteoarthritis at follow-up. Both groups improved at follow-up compared with preoperatively in terms of the pivot-shift grade, knee laxity measurements using the KT-1000 arthrometer, manual Lachman grade, Lysholm knee score, and KOOS score (P < .05 [highest P value for any comparison]). Conclusion: The anatomic DB technique was not superior to the anatomic SB technique with independent drilling at 10-year follow-up in regard to objective and subjective measurements. As such, one could argue that there is no need for the continued use of the anatomic DB technique in an unselected population.",,,,,,,,,,,,,,,,,,,,,,,,NOV,2022,50,13,,,,,3477,3486,,10.1177/03635465221128566,http://dx.doi.org/10.1177/03635465221128566,,OCT 2022,,,,,,36269582,,,,,WOS:000871124700001,View Full Record in Web of Science
