PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41474176","Posterior cruciate ligament involvement leads to inferior outcomes in multiligament knee injuries involving the medial collateral ligament: A systematic review and meta-analysis","Hunter CDR, Sternbauer J, Kammerlander C, Grillari J, Neuper O, Ernat JJ, Klasan A.","Knee Surg Sports Traumatol Arthrosc. 2025 Dec 31. doi: 10.1002/ksa.70232. Online ahead of print.","Hunter CDR","Knee Surg Sports Traumatol Arthrosc","2025","2025/12/31","","","10.1002/ksa.70232"
"41000449","Superior long-term stability and function associated with femoral cortical button versus interference screw fixation in ACL reconstruction: A systematic review and meta-analysis","Elias J, Kaplan M, Bickford M, Oliver T, Shah K, Ford E, McMillan S.","J Exp Orthop. 2025 Sep 24;12(3):e70439. doi: 10.1002/jeo2.70439. eCollection 2025 Jul.","Elias J","J Exp Orthop","2025","2025/09/26","PMC12457721","","10.1002/jeo2.70439"
"40297074","Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review","Dave U, Villarreal-Espinosa JB, Shah H, Cotter EJ, Gómez-Verdejo F, Carpenter M, Gerhold C, Mamonov A, Chahla J, Verma NN.","Arthrosc Sports Med Rehabil. 2024 Nov 5;7(2):101035. doi: 10.1016/j.asmr.2024.101035. eCollection 2025 Apr.","Dave U","Arthrosc Sports Med Rehabil","2024","2025/04/29","PMC12034080","","10.1016/j.asmr.2024.101035"
"40075371","The effects of blood flow restriction training on early muscle strength and mid-term knee function following anterior cruciate ligament reconstruction: a systematic review and meta-analysis","Li X, Xiao F, Ren H, Peng Y, Feng F, Dong Q.","J Orthop Surg Res. 2025 Mar 13;20(1):273. doi: 10.1186/s13018-025-05673-8.","Li X","J Orthop Surg Res","2025","2025/03/13","PMC11905650","","10.1186/s13018-025-05673-8"
"40005410","Anterior Cruciate Ligament Reconstruction Using Lateral Extra-Articular Procedures: A Systematic Review","Migliorini F, Lucenti L, Mok YR, Bardazzi T, D'Ambrosi R, De Carli A, Paolicelli D, Maffulli N.","Medicina (Kaunas). 2025 Feb 8;61(2):294. doi: 10.3390/medicina61020294.","Migliorini F","Medicina (Kaunas)","2025","2025/02/26","PMC11857574","","10.3390/medicina61020294"
"39851027","The fate of unrepaired stable ramp lesions: a systematic review","Misir A, Yuce A.","Acta Orthop Belg. 2024 Sep;90(3):543-548. doi: 10.52628/90.3.11174.","Misir A","Acta Orthop Belg","2024","2025/01/24","","","10.52628/90.3.11174"
"39539337","Return to Sport After Multiligament Knee Injury: A Systematic Review of the Literature","D'Ambrosi R, Meena A, Ursino N, Di Feo F, Fusari N, Kambhampati SBS.","Indian J Orthop. 2024 Aug 19;58(11):1548-1556. doi: 10.1007/s43465-024-01237-w. eCollection 2024 Nov.","D'Ambrosi R","Indian J Orthop","2024","2024/11/14","PMC11554947","","10.1007/s43465-024-01237-w"
"39276949","Anterior Cruciate Ligament Repair Results in Similar Patient-Reported Outcome Measures as Anterior Cruciate Ligament Reconstruction: A Systematic Review of Prospective Comparative Studies","Saad Berreta R, Villarreal-Espinosa JB, Pallone L, Cotter E, Spaan J, Manivannan A, Jackson GR, Rafael Garcia J, Ayala S, Verma NN, Cole BJ, Chahla J.","Arthroscopy. 2025 Jul;41(7):2648-2665. doi: 10.1016/j.arthro.2024.09.008. Epub 2024 Sep 12.","Saad Berreta R","Arthroscopy","2025","2024/09/14","","","10.1016/j.arthro.2024.09.008"
"39233192","Anterior Cruciate Ligament Reconstruction in Patients Aged 50 Years and Older Results in Improvements in Activity and Functional Outcome Measures, Whereas Reported Complication Rates Vary Widely: A Systematic Review","Saad Berreta R, Knapik DM, Lawand J, Moews L, Villarreal-Espinosa JB, Pallone L, Dave U, Spaan J, Rafael Garcia J, Ayala S, Verma NN, Chahla J.","Arthroscopy. 2025 Jun;41(6):2146-2162. doi: 10.1016/j.arthro.2024.08.008. Epub 2024 Sep 2.","Saad Berreta R","Arthroscopy","2025","2024/09/05","","","10.1016/j.arthro.2024.08.008"
"39189111","Failure rate of isolated medial meniscus repair in the stable knee: Systematic review and meta-analysis","Farinelli L, Meena A, Montini D, Patralekh MK, Piritore G, Grassi M, Gigante A, Hoser C, Fink C, Tapasvi S.","Knee Surg Sports Traumatol Arthrosc. 2025 Apr;33(4):1333-1344. doi: 10.1002/ksa.12441. Epub 2024 Aug 27.","Farinelli L","Knee Surg Sports Traumatol Arthrosc","2025","2024/08/27","","","10.1002/ksa.12441"
"38903025","Return to sports after anterior cruciate ligament surgery with hamstring or patella tendon autograft - a systematic review","Bouju S, Lauritzen JB, Journé A, Jørgensen HL.","Dan Med J. 2024 Jun 19;71(7):A09230599. doi: 10.61409/A09230599.","Bouju S","Dan Med J","2024","2024/06/21","","","10.61409/A09230599"
"38734309","Secondary restraints in ACL reconstruction: State-of-the-art","Saithna A, Helito CP, Bin Abd Razak HR, Cristiani R.","J ISAKOS. 2024 Aug;9(4):759-768. doi: 10.1016/j.jisako.2024.05.001. Epub 2024 May 10.","Saithna A","J ISAKOS","2024","2024/05/11","","","10.1016/j.jisako.2024.05.001"
"37568165","Contralateral grafts have comparable efficacy to ipsilateral grafts in anterior cruciate ligament reconstructions: a systematic review","Fan D, Ma J, Zhang L.","J Orthop Surg Res. 2023 Aug 11;18(1):596. doi: 10.1186/s13018-023-04082-z.","Fan D","J Orthop Surg Res","2023","2023/08/11","PMC10422826","","10.1186/s13018-023-04082-z"
"36738386","Spontaneous healing of a ruptured anterior cruciate ligament: a case series and literature review","Previ L, Monaco E, Carrozzo A, Fedeli G, Annibaldi A, Cantagalli MR, Rossi G, Ferretti A.","J Exp Orthop. 2023 Feb 4;10(1):11. doi: 10.1186/s40634-022-00566-9.","Previ L","J Exp Orthop","2023","2023/02/04","PMC9898698","","10.1186/s40634-022-00566-9"
"36255278","Clinical Outcomes After Combined ACL and Anterolateral Ligament Reconstruction Versus Isolated ACL Reconstruction With Bone-Patellar Tendon-Bone Grafts: A Matched-Pair Analysis of 2018 Patients From the SANTI Study Group","Pioger C, Gousopoulos L, Hopper GP, Vieira TD, Campos JP, El Helou A, Philippe C, Saithna A, Sonnery-Cottet B.","Am J Sports Med. 2022 Nov;50(13):3493-3501. doi: 10.1177/03635465221128261. Epub 2022 Oct 18.","Pioger C","Am J Sports Med","2022","2022/10/18","","","10.1177/03635465221128261"
"35638209","Single-stage repair of displaced bucket-handle meniscal tears with anterior cruciate ligament reconstruction leads to good meniscal survivorship : a retrospective cohort study","Robinson JR, Bruce D, Davies H, Porteous AJ, Murray JRD, Howells NR.","Bone Joint J. 2022 Jun;104-B(6):680-686. doi: 10.1302/0301-620X.104B6.BJJ-2021-1340.R2.","Robinson JR","Bone Joint J","2022","2022/05/31","","","10.1302/0301-620X.104B6.BJJ-2021-1340.R2"
"35123035","Biological enhancement methods may be a viable option for ACL arthroscopic primary repair - A systematic review","Cao Y, Zhang Z, Song G, Ni Q, Zheng T, Li Y.","Orthop Traumatol Surg Res. 2022 May;108(3):103227. doi: 10.1016/j.otsr.2022.103227. Epub 2022 Feb 2.","Cao Y","Orthop Traumatol Surg Res","2022","2022/02/05","","","10.1016/j.otsr.2022.103227"
"34048294","The efficacy of platelet rich plasma on anterior cruciate ligament reconstruction: a systematic review and meta-analysis","Lv ZT, Zhang JM, Pang ZY, Wang Z, Huang JM, Zhu WT.","Platelets. 2022 Feb 17;33(2):229-241. doi: 10.1080/09537104.2021.1902969. Epub 2021 May 28.","Lv ZT","Platelets","2022","2021/05/28","","","10.1080/09537104.2021.1902969"
"32766390","Truly Existing or Hyped up? Unravelling the Current Knowledge Regarding the Anatomy, Radiology, Histology and Biomechanics of the Enigmatic Anterolateral Ligament of the Knee Joint","Kumar V D, Sontakke YA, Murugharaj S.","Arch Bone Jt Surg. 2020 May;8(3):332-342. doi: 10.22038/abjs.2019.40067.2074.","Kumar V D","Arch Bone Jt Surg","2020","2020/08/09","PMC7358236","","10.22038/abjs.2019.40067.2074"
"32410434","[Research progress in anterolateral ligament of knee]","Zhang Z, Zhang K, Mao B, Lai S, Li J, Fu W.","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2020 May 15;34(5):643-650. doi: 10.7507/1002-1892.201909048.","Zhang Z","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi","2020","2020/05/16","PMC8171855","","10.7507/1002-1892.201909048"
"31279767","The effect of knee bracing on the knee function and stability following anterior cruciate ligament reconstruction: A systematic review and meta-analysis of randomized controlled trials","Yang XG, Feng JT, He X, Wang F, Hu YC.","Orthop Traumatol Surg Res. 2019 Oct;105(6):1107-1114. doi: 10.1016/j.otsr.2019.04.015. Epub 2019 Jul 3.","Yang XG","Orthop Traumatol Surg Res","2019","2019/07/08","","","10.1016/j.otsr.2019.04.015"
"31272646","Anterior Cruciate Ligament Repair Outcomes: An Updated Systematic Review of Recent Literature","Nwachukwu BU, Patel BH, Lu Y, Allen AA, Williams RJ 3rd.","Arthroscopy. 2019 Jul;35(7):2233-2247. doi: 10.1016/j.arthro.2019.04.005.","Nwachukwu BU","Arthroscopy","2019","2019/07/06","","","10.1016/j.arthro.2019.04.005"
"31093753","Early or delayed anterior cruciate ligament reconstruction: Is one superior? A systematic review and meta-analysis","Ferguson D, Palmer A, Khan S, Oduoza U, Atkinson H.","Eur J Orthop Surg Traumatol. 2019 Aug;29(6):1277-1289. doi: 10.1007/s00590-019-02442-2. Epub 2019 May 15.","Ferguson D","Eur J Orthop Surg Traumatol","2019","2019/05/17","PMC6647395","","10.1007/s00590-019-02442-2"
"28654440","Quadriceps Tendon-Bone or Patellar Tendon-Bone Autografts When Reconstructing the Anterior Cruciate Ligament: A Meta-analysis","Riaz O, Aqil A, Mannan A, Hossain F, Ali M, Chakrabarty G, Radcliffe G.","Clin J Sport Med. 2018 May;28(3):316-324. doi: 10.1097/JSM.0000000000000451.","Riaz O","Clin J Sport Med","2018","2017/06/28","","","10.1097/JSM.0000000000000451"
"28583062","Multiple Ligament Reconstruction for Absent Cruciate and a Congenital Short Femur Case Report and Review of the Literature","Kaplan D, Jazrawi T, Capo J, Strauss E.","Bull Hosp Jt Dis (2013). 2017 Apr;75(2):143-147.","Kaplan D","Bull Hosp Jt Dis (2013)","2017","2017/06/07","","",""
"27450741","Bioabsorbable versus metallic interference screws for graft fixation in anterior cruciate ligament reconstruction","Debieux P, Franciozi CE, Lenza M, Tamaoki MJ, Magnussen RA, Faloppa F, Belloti JC.","Cochrane Database Syst Rev. 2016 Jul 24;7(7):CD009772. doi: 10.1002/14651858.CD009772.pub2.","Debieux P","Cochrane Database Syst Rev","2016","2016/07/25","PMC6458013","","10.1002/14651858.CD009772.pub2"
"26917031","Posttraumatic incarceration of medial collateral ligament into knee joint with anterior cruciate ligament injury","Kini SG, du Pre K, Bruce W.","Chin J Traumatol. 2015;18(6):367-9. doi: 10.1016/j.cjtee.2015.11.004.","Kini SG","Chin J Traumatol","2015","2016/02/27","","","10.1016/j.cjtee.2015.11.004"
"27501023","ACL Graft and Contralateral ACL Tear Risk within Ten Years Following Reconstruction: A Systematic Review","Magnussen RA, Meschbach NT, Kaeding CC, Wright RW, Spindler KP.","JBJS Rev. 2015 Jan 20;3(1):e3. doi: 10.2106/JBJS.RVW.N.00052.","Magnussen RA","JBJS Rev","2015","2016/08/09","","","10.2106/JBJS.RVW.N.00052"
"25269758","Fixation techniques for the anterior cruciate ligament reconstruction: early follow-up. A systematic review of level I and II therapeutic studies","Speziali A, Delcogliano M, Tei M, Placella G, Bartoli M, Menghi A, Cerulli G.","Musculoskelet Surg. 2014 Dec;98(3):179-87. doi: 10.1007/s12306-014-0338-8. Epub 2014 Oct 1.","Speziali A","Musculoskelet Surg","2014","2014/10/02","","","10.1007/s12306-014-0338-8"
