PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41451632","Ten-year outcomes of combined ACLR and lateral extra-articular tenodesis: A systematic review","Bouchard MD, Haque O, Cruickshank M, Vivekanantha P, Tapasvi S, Meena A, de Sa D.","Knee Surg Sports Traumatol Arthrosc. 2025 Dec 26. doi: 10.1002/ksa.70231. Online ahead of print.","Bouchard MD","Knee Surg Sports Traumatol Arthrosc","2025","2025/12/26","","","10.1002/ksa.70231"
"41235442","Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence","Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.","Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.","Hasan M","Knee Surg Sports Traumatol Arthrosc","2026","2025/11/14","","","10.1002/ksa.70167"
"40977596","Smaller hamstrings autograft size after primary ACL reconstruction is associated with higher odds for graft failure: A meta-analysis on autografts sizes covering 46,268 patients","Hamrin Senorski R, Högberg J, Teow K, Nordenholm A, Kaarre J, Snaebjörnsson T, Musahl V, Samuelsson K, Hamrin Senorski E.","Knee Surg Sports Traumatol Arthrosc. 2025 Sep 22. doi: 10.1002/ksa.70069. Online ahead of print.","Hamrin Senorski R","Knee Surg Sports Traumatol Arthrosc","2025","2025/09/22","","","10.1002/ksa.70069"
"40953143","Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials","Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH.","J Bone Joint Surg Am. 2025 Nov 5;107(21):2425-2436. doi: 10.2106/JBJS.25.00068. Epub 2025 Sep 15.","Chung K","J Bone Joint Surg Am","2025","2025/09/15","","","10.2106/JBJS.25.00068"
"40829023","Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials","Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J.","Clin Orthop Relat Res. 2025 Dec 1;483(12):2334-2349. doi: 10.1097/CORR.0000000000003585. Epub 2025 Aug 13.","Chen CF","Clin Orthop Relat Res","2025","2025/08/19","PMC12629372","","10.1097/CORR.0000000000003585"
"40689103","Hamstring autograft, bone-patellar-tendon-bone autograft and synthetic graft in primary anterior cruciate ligament reconstruction: A meta-analysis of comparative studies","Mercurio M, Cofano E, Cosentino O, Corona K, Mocini F, Rossi U, Galasso O, Gasparini G, Cerciello S.","J Exp Orthop. 2025 Jul 18;12(3):e70326. doi: 10.1002/jeo2.70326. eCollection 2025 Jul.","Mercurio M","J Exp Orthop","2025","2025/07/21","PMC12272514","","10.1002/jeo2.70326"
"40679231","Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials","White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.","Knee Surg Sports Traumatol Arthrosc. 2025 Jul 18. doi: 10.1002/ksa.12755. Online ahead of print.","White T","Knee Surg Sports Traumatol Arthrosc","2025","2025/07/18","","","10.1002/ksa.12755"
"40297074","Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review","Dave U, Villarreal-Espinosa JB, Shah H, Cotter EJ, Gómez-Verdejo F, Carpenter M, Gerhold C, Mamonov A, Chahla J, Verma NN.","Arthrosc Sports Med Rehabil. 2024 Nov 5;7(2):101035. doi: 10.1016/j.asmr.2024.101035. eCollection 2025 Apr.","Dave U","Arthrosc Sports Med Rehabil","2024","2025/04/29","PMC12034080","","10.1016/j.asmr.2024.101035"
"40147599","Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review","Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.","Arthroscopy. 2025 Oct;41(10):4335-4345. doi: 10.1016/j.arthro.2025.03.036. Epub 2025 Mar 25.","Emmert AS","Arthroscopy","2025","2025/03/27","","","10.1016/j.arthro.2025.03.036"
"39836368","Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis","Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.","Am J Sports Med. 2025 Jul;53(8):1996-2006. doi: 10.1177/03635465241295713. Epub 2025 Jan 21.","Connors JP","Am J Sports Med","2025","2025/01/21","","","10.1177/03635465241295713"
