PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41503224","Anterior cruciate ligament anatomy of Vietnamese adults and applications in arthroscopic anterior cruciate ligament reconstruction surgery with all-inside single-bundle technique","Quoc LT, Le Khanh T, Mi HT.","J Orthop. 2025 Dec 13;73:241-246. doi: 10.1016/j.jor.2025.12.027. eCollection 2026 Mar.","Quoc LT","J Orthop","2025","2026/01/08","PMC12771325","","10.1016/j.jor.2025.12.027"
"41476403","Clinical Outcomes of Platelet-Rich Plasma Augmentation in Anterior Cruciate Ligament Reconstruction Using Hamstring Tendon Autografts: A Systematic Review and Meta-analysis of Randomized Controlled Trials","Han JH, Jung M, Chung K, Moon HS, Jung SH, Kim SH.","Am J Sports Med. 2026 Jan;54(1):190-198. doi: 10.1177/03635465251337766. Epub 2026 Jan 1.","Han JH","Am J Sports Med","2026","2026/01/01","","","10.1177/03635465251337766"
"41451632","Ten-year outcomes of combined ACLR and lateral extra-articular tenodesis: A systematic review","Bouchard MD, Haque O, Cruickshank M, Vivekanantha P, Tapasvi S, Meena A, de Sa D.","Knee Surg Sports Traumatol Arthrosc. 2025 Dec 26. doi: 10.1002/ksa.70231. Online ahead of print.","Bouchard MD","Knee Surg Sports Traumatol Arthrosc","2025","2025/12/26","","","10.1002/ksa.70231"
"41416241","Strengthening exercises improve knee muscle strength and performance but not pain in ACL-reconstructed individuals: A systematic review and meta-analysis of randomised controlled trials","Bafrouei MJ, Khorramroo F, Minoonejad H, Mousavi SH.","J Exp Orthop. 2025 Dec 17;12(4):e70576. doi: 10.1002/jeo2.70576. eCollection 2025 Oct.","Bafrouei MJ","J Exp Orthop","2025","2025/12/19","PMC12709656","","10.1002/jeo2.70576"
"41235442","Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence","Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.","Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.","Hasan M","Knee Surg Sports Traumatol Arthrosc","2026","2025/11/14","","","10.1002/ksa.70167"
"41000449","Superior long-term stability and function associated with femoral cortical button versus interference screw fixation in ACL reconstruction: A systematic review and meta-analysis","Elias J, Kaplan M, Bickford M, Oliver T, Shah K, Ford E, McMillan S.","J Exp Orthop. 2025 Sep 24;12(3):e70439. doi: 10.1002/jeo2.70439. eCollection 2025 Jul.","Elias J","J Exp Orthop","2025","2025/09/26","PMC12457721","","10.1002/jeo2.70439"
"40980562","Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies","Kumar K, Rao V, Panda AK, Joshi D.","Orthop J Sports Med. 2025 Sep 17;13(9):23259671251374313. doi: 10.1177/23259671251374313. eCollection 2025 Sep.","Kumar K","Orthop J Sports Med","2025","2025/09/22","PMC12444037","","10.1177/23259671251374313"
"40980559","Concomitant Anterior Cruciate Ligament and Medial Collateral Ligament Reconstruction: A Systematic Review","Touhey DC, Garcia FN, Tartibi S, Brophy RH, Matava MJ, Smith MV, Knapik DM.","Orthop J Sports Med. 2025 Sep 17;13(9):23259671251369019. doi: 10.1177/23259671251369019. eCollection 2025 Sep.","Touhey DC","Orthop J Sports Med","2025","2025/09/22","PMC12444044","","10.1177/23259671251369019"
"40975595","Lateral Extra-articular Procedures With Anterior Cruciate Ligament Reconstruction: International Consensus","Saithna A, Geeslin AG, Sonnery-Cottet B.","Arthroscopy. 2025 Sep;41(9):3300-3302. doi: 10.1016/j.arthro.2025.06.011.","Saithna A","Arthroscopy","2025","2025/09/20","","","10.1016/j.arthro.2025.06.011"
"40953143","Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials","Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH.","J Bone Joint Surg Am. 2025 Nov 5;107(21):2425-2436. doi: 10.2106/JBJS.25.00068. Epub 2025 Sep 15.","Chung K","J Bone Joint Surg Am","2025","2025/09/15","","","10.2106/JBJS.25.00068"
"40829023","Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials","Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J.","Clin Orthop Relat Res. 2025 Dec 1;483(12):2334-2349. doi: 10.1097/CORR.0000000000003585. Epub 2025 Aug 13.","Chen CF","Clin Orthop Relat Res","2025","2025/08/19","PMC12629372","","10.1097/CORR.0000000000003585"
"40766809","Impact of tibial supplementary fixation in anterior cruciate ligament reconstruction for soft tissue auto and allografts: Modest enhancement in stability and increased incidence of pain: A systematic review and meta-analysis","Zheng F, Gao J, Wang C, Zheng X, Tang J, Zhang J, Zuo J.","J Exp Orthop. 2025 Aug 5;12(3):e70390. doi: 10.1002/jeo2.70390. eCollection 2025 Jul.","Zheng F","J Exp Orthop","2025","2025/08/06","PMC12322697","","10.1002/jeo2.70390"
"40737888","Clinical outcomes of quadrupled hamstring tendon use for anterior cruciate ligament reconstruction in the paediatric population: A systematic review","Mostafa OES, Tahir M, Alkhatib L, Meena A, de Sa D, Mughal E, D'Alessandro P, Nicolaou N, Malik SS.","Knee. 2025 Oct;56:609-617. doi: 10.1016/j.knee.2025.07.006. Epub 2025 Jul 29.","Mostafa OES","Knee","2025","2025/07/30","","","10.1016/j.knee.2025.07.006"
"40734172","Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies","Opoku M, Abdramane AM, Abdirahman A, Fang M, Li Y, Xiao W.","J Orthop Surg Res. 2025 Jul 29;20(1):719. doi: 10.1186/s13018-025-06080-9.","Opoku M","J Orthop Surg Res","2025","2025/07/30","PMC12308993","","10.1186/s13018-025-06080-9"
