PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41583804","Patients Who Underwent Anterior Cruciate Ligament Reconstruction With an All Soft-Tissue Quadriceps Tendon Graft Had a Greater Return-to-Play Rate Than Patients Who Received a Quadriceps Tendon Bone Graft","Woodhams W, Ford D, Hutson J, Reisner J, Hamilton K, Menge T.","Arthrosc Sports Med Rehabil. 2025 Jul 30;7(5):101223. doi: 10.1016/j.asmr.2025.101223. eCollection 2025 Oct.","Woodhams W","Arthrosc Sports Med Rehabil","2025","2026/01/26","PMC12827214","","10.1016/j.asmr.2025.101223"
"41416241","Strengthening exercises improve knee muscle strength and performance but not pain in ACL-reconstructed individuals: A systematic review and meta-analysis of randomised controlled trials","Bafrouei MJ, Khorramroo F, Minoonejad H, Mousavi SH.","J Exp Orthop. 2025 Dec 17;12(4):e70576. doi: 10.1002/jeo2.70576. eCollection 2025 Oct.","Bafrouei MJ","J Exp Orthop","2025","2025/12/19","PMC12709656","","10.1002/jeo2.70576"
"41235442","Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence","Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.","Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.","Hasan M","Knee Surg Sports Traumatol Arthrosc","2026","2025/11/14","","","10.1002/ksa.70167"
"40977596","Smaller hamstrings autograft size after primary ACL reconstruction is associated with higher odds for graft failure: A meta-analysis on autografts sizes covering 46,268 patients","Hamrin Senorski R, Högberg J, Teow K, Nordenholm A, Kaarre J, Snaebjörnsson T, Musahl V, Samuelsson K, Hamrin Senorski E.","Knee Surg Sports Traumatol Arthrosc. 2025 Sep 22. doi: 10.1002/ksa.70069. Online ahead of print.","Hamrin Senorski R","Knee Surg Sports Traumatol Arthrosc","2025","2025/09/22","","","10.1002/ksa.70069"
"40975595","Lateral Extra-articular Procedures With Anterior Cruciate Ligament Reconstruction: International Consensus","Saithna A, Geeslin AG, Sonnery-Cottet B.","Arthroscopy. 2025 Sep;41(9):3300-3302. doi: 10.1016/j.arthro.2025.06.011.","Saithna A","Arthroscopy","2025","2025/09/20","","","10.1016/j.arthro.2025.06.011"
"40679231","Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials","White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.","Knee Surg Sports Traumatol Arthrosc. 2025 Jul 18. doi: 10.1002/ksa.12755. Online ahead of print.","White T","Knee Surg Sports Traumatol Arthrosc","2025","2025/07/18","","","10.1002/ksa.12755"
"40265044","4-Strand hamstring versus single-bundle quadriceps tendon grafts in anterior cruciate ligament reconstruction at 2 years: A systematic review and meta-analysis of randomised controlled trials","Elias J, Kaplan M, Shah K, Bickford M, McNamara C, Ford E, McMillan S.","J Exp Orthop. 2025 Apr 22;12(2):e70244. doi: 10.1002/jeo2.70244. eCollection 2025 Apr.","Elias J","J Exp Orthop","2025","2025/04/23","PMC12012644","","10.1002/jeo2.70244"
"40147599","Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review","Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.","Arthroscopy. 2025 Oct;41(10):4335-4345. doi: 10.1016/j.arthro.2025.03.036. Epub 2025 Mar 25.","Emmert AS","Arthroscopy","2025","2025/03/27","","","10.1016/j.arthro.2025.03.036"
"40075371","The effects of blood flow restriction training on early muscle strength and mid-term knee function following anterior cruciate ligament reconstruction: a systematic review and meta-analysis","Li X, Xiao F, Ren H, Peng Y, Feng F, Dong Q.","J Orthop Surg Res. 2025 Mar 13;20(1):273. doi: 10.1186/s13018-025-05673-8.","Li X","J Orthop Surg Res","2025","2025/03/13","PMC11905650","","10.1186/s13018-025-05673-8"
"40051093","All-Epiphyseal Versus Micheli-Kocher Anterior Cruciate Ligament Reconstruction in Skeletally Immature Patients: A Systematic Review","Zakharia A, Al Katanani F, Hatem A, Dhillon S, Vivekanantha P, Cohen D, de Sa D.","J Pediatr Orthop. 2025 Jul 1;45(6):316-326. doi: 10.1097/BPO.0000000000002953. Epub 2025 Mar 7.","Zakharia A","J Pediatr Orthop","2025","2025/03/07","","","10.1097/BPO.0000000000002953"
"39836368","Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis","Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.","Am J Sports Med. 2025 Jul;53(8):1996-2006. doi: 10.1177/03635465241295713. Epub 2025 Jan 21.","Connors JP","Am J Sports Med","2025","2025/01/21","","","10.1177/03635465241295713"
"39811154","Effects of Neuromuscular Electrical Stimulation on Quadriceps Femoris Muscle Strength and Knee Joint Function in Patients After ACL Surgery: A Systematic Review and Meta-analysis of Randomized Controlled Trials","Li Z, Jin L, Chen Z, Shang Z, Geng Y, Tian S, Dong J.","Orthop J Sports Med. 2025 Jan 13;13(1):23259671241275071. doi: 10.1177/23259671241275071. eCollection 2025 Jan.","Li Z","Orthop J Sports Med","2025","2025/01/15","PMC11729445","","10.1177/23259671241275071"
