,id,title,authors,journal,year,doi,first_author,short_title,key
0,41451632,Ten-year outcomes of combined ACLR and lateral extra-articular tenodesis: A systematic review,"Bouchard MD, Haque O, Cruickshank M, Vivekanantha P, Tapasvi S, Meena A, de Sa D.",Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.70231,Bouchard,tenyearoutcomesofcombinedaclrandlateralextraarticulartenodesis:asystematicreview,Bouchard+tenyearoutcomesofcombinedaclrandlateralextraarticulartenodesis:asystematicreview+2025
1,41235442,Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence,"Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.",Knee Surg Sports Traumatol Arthrosc,2026,10.1002/ksa.70167,Hasan,graftselectioninaclreconstruction:clinicalandfunctionaloutcomesbasedonleveliiievidence,Hasan+graftselectioninaclreconstruction:clinicalandfunctionaloutcomesbasedonleveliiievidence+2026
2,40977596,"Smaller hamstrings autograft size after primary ACL reconstruction is associated with higher odds for graft failure: A meta-analysis on autografts sizes covering 46,268 patients","Hamrin Senorski R, Högberg J, Teow K, Nordenholm A, Kaarre J, Snaebjörnsson T, Musahl V, Samuelsson K, Hamrin Senorski E.",Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.70069,Hamrin,smallerhamstringsautograftsizeafterprimaryaclreconstructionisassociatedwithhigheroddsforgraftfailure:ametaanalysisonautograftssizescovering46268patients,Hamrin+smallerhamstringsautograftsizeafterprimaryaclreconstructionisassociatedwithhigheroddsforgraftfailure:ametaanalysisonautograftssizescovering46268patients+2025
3,40953143,Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials,"Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH.",J Bone Joint Surg Am,2025,10.2106/JBJS.25.00068,Chung,hamstringtendonversusbonepatellartendonboneautograftforaclreconstructionwithconcurrentlateralextraarticularprocedure:asystematicreviewandnetworkmetaanalysisofrandomizedcontrolledtrials,Chung+hamstringtendonversusbonepatellartendonboneautograftforaclreconstructionwithconcurrentlateralextraarticularprocedure:asystematicreviewandnetworkmetaanalysisofrandomizedcontrolledtrials+2025
4,40829023,Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials,"Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J.",Clin Orthop Relat Res,2025,10.1097/CORR.0000000000003585,Chen,whichgraftisassociatedwithbetteroutcomesinaclreconstruction?asystematicreviewandnetworkmetaanalysisofrandomizedcontrolledtrials,Chen+whichgraftisassociatedwithbetteroutcomesinaclreconstruction?asystematicreviewandnetworkmetaanalysisofrandomizedcontrolledtrials+2025
5,40689103,"Hamstring autograft, bone-patellar-tendon-bone autograft and synthetic graft in primary anterior cruciate ligament reconstruction: A meta-analysis of comparative studies","Mercurio M, Cofano E, Cosentino O, Corona K, Mocini F, Rossi U, Galasso O, Gasparini G, Cerciello S.",J Exp Orthop,2025,10.1002/jeo2.70326,Mercurio,hamstringautograftbonepatellartendonboneautograftandsyntheticgraftinprimaryanteriorcruciateligamentreconstruction:ametaanalysisofcomparativestudies,Mercurio+hamstringautograftbonepatellartendonboneautograftandsyntheticgraftinprimaryanteriorcruciateligamentreconstruction:ametaanalysisofcomparativestudies+2025
6,40679231,"Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials","White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.",Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.12755,White,quadricepshamstringandpatellatendonautograftsforprimaryanteriorcruciateligamentreconstructiondemonstratesimilarclinicaloutcomesincludinggraftfailurejointlaxityandcomplications:asystematicreviewwithmetaanalysisofrandomisedcontrolledtrials,White+quadricepshamstringandpatellatendonautograftsforprimaryanteriorcruciateligamentreconstructiondemonstratesimilarclinicaloutcomesincludinggraftfailurejointlaxityandcomplications:asystematicreviewwithmetaanalysisofrandomisedcontrolledtrials+2025
7,40297074,"Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review","Dave U, Villarreal-Espinosa JB, Shah H, Cotter EJ, Gómez-Verdejo F, Carpenter M, Gerhold C, Mamonov A, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil,2024,10.1016/j.asmr.2024.101035,Dave,patientshavesimilarclinicaloutcomesandfailureratesafteranteriorcruciateligamentreconstructionwithtibialisanteriortendonbonepatellartendonbonehamstringtendonorachillestendonallografts:asystematicreview,Dave+patientshavesimilarclinicaloutcomesandfailureratesafteranteriorcruciateligamentreconstructionwithtibialisanteriortendonbonepatellartendonbonehamstringtendonorachillestendonallografts:asystematicreview+2024
8,40147599,"Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review","Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.",Arthroscopy,2025,10.1016/j.arthro.2025.03.036,Emmert,varyingdefinitionsofreturntosportstudyqualityandoutcomemeasurementslimitcomparisonofprimaryanteriorcruciateligamentreconstructionwithquadricepstendonautograftstohamstringandbonepatellartendonboneautografts:asystematicreview,Emmert+varyingdefinitionsofreturntosportstudyqualityandoutcomemeasurementslimitcomparisonofprimaryanteriorcruciateligamentreconstructionwithquadricepstendonautograftstohamstringandbonepatellartendonboneautografts:asystematicreview+2025
9,39836368,Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis,"Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.",Am J Sports Med,2025,10.1177/03635465241295713,Connors,returntosportandgraftfailureratesafterprimaryanteriorcruciateligamentreconstructionwithabonepatellartendonboneversushamstringtendonautograft:asystematicreviewandmetaanalysis,Connors+returntosportandgraftfailureratesafterprimaryanteriorcruciateligamentreconstructionwithabonepatellartendonboneversushamstringtendonautograft:asystematicreviewandmetaanalysis+2025
