ID,Source,DOI,Authors,Title,Year,Journal,first_author,short_title,key
166,PubMed/MEDLINE,10.1177/03635465241271524,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,2024,Am J Sports Med,Popovic,reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon,
193,PubMed/MEDLINE,10.1177/03635465211010798,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,2021,Am J Sports Med,Marmura,validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction,
201,PubMed/MEDLINE,10.1177/0363546520914936,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,2020,Am J Sports Med,Castoldi,arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup,
203,PubMed/MEDLINE,10.1177/0363546520913532,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,2020,Am J Sports Med,Murray,bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial,
206,PubMed/MEDLINE,10.1016/j.arthro.2020.01.048,"Smith PA, Cook CS, Bley JA.",All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,2020,Arthroscopy,Smith,allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger,
212,PubMed/MEDLINE,10.2106/JBJS.18.01322,"Mohtadi NG, Chan DS.","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",2019,J Bone Joint Surg Am,Mohtadi,arandomizedclinicaltrialcomparingpatellartendonhamstringtendonanddoublebundleaclreconstructions:patientreportedandclinicaloutcomesat5yearfollowup,
220,PubMed/MEDLINE,10.1177/0363546518768768,"Sajovic M, Stropnik D, Skaza K.",Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,2018,Am J Sports Med,Sajovic,longtermcomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:a17yearfollowupofarandomizedcontrolledtrial,
231,PubMed/MEDLINE,10.1016/j.otsr.2016.08.011,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,2016,Orthop Traumatol Surg Res,Bressy,lackofstabilityatmorethan12monthsoffollowupafteranteriorcruciateligamentreconstructionusingallinsidequadruplestrandedsemitendinosusgraftwithadjustablecorticalbuttonfixationinbothfemoralandtibialsides,
235,PubMed/MEDLINE,10.1007/s00590-016-1809-4,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,2016,Eur J Orthop Surg Traumatol,Biswal,correlationoftunnelwideningandtunnelpositioningwithshorttermfunctionaloutcomesinsinglebundleanteriorcruciateligamentreconstructionusingpatellartendonversushamstringgraft:aprospectivestudy,
237,PubMed/MEDLINE,10.1177/0363546516646378,"Björnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostgård-Christensen L, Karlsson J, Kartus J.",A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,2016,Am J Sports Med,Björnsson,arandomizedcontrolledtrialwithmean16yearfollowupcomparinghamstringandpatellartendonautograftsinanteriorcruciateligamentreconstruction,
