ID,Source,DOI,Authors,Title,Year,Journal,first_author,short_title,key
27,PubMed/MEDLINE,,"Płomiński J, Piątkowski K, Rowicki K.","[Long-term outcomes after ""anatomic"" reconstruction of anterior cruciate ligament using central third of patellar tendon]",2015,Pol Merkur Lekarski,Płomiński,"longtermoutcomesafter""anatomic""reconstructionofanteriorcruciateligamentusingcentralthirdofpatellartendon",
63,PubMed/MEDLINE,,"Laoruengthana A, Pattayakorn S, Chotanaputhi T, Kosiyatrakul A.","Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial",2009,J Med Assoc Thai,Laoruengthana,clinicalcomparisonbetweensixstrandhamstringtendonandpatellartendonautograftinarthroscopicanteriorcruciateligamentreconstruction:aprospectiverandomizedclinicaltrial,
94,PubMed/MEDLINE,,"Boonriong T, Kietsiriroje N.",Arthroscopically assisted anterior cruciate ligament reconstruction: comparison of bone-patellar tendon-bone versus hamstring tendon autograft,2004,J Med Assoc Thai,Boonriong,arthroscopicallyassistedanteriorcruciateligamentreconstruction:comparisonofbonepatellartendonboneversushamstringtendonautograft,
95,PubMed/MEDLINE,,"Aglietti P, Giron F, Buzzi R, Biddau F, Sasso F.","Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial",2004,J Bone Joint Surg Am,Aglietti,anteriorcruciateligamentreconstruction:bonepatellartendonbonecomparedwithdoublesemitendinosusandgracilistendongraftsaprospectiverandomizedclinicaltrial,
96,PubMed/MEDLINE,,"Acquitter Y, Hulet C, Locker B, Delbarre JC, Jambou S, Vielpeau C.",[Patellar tendon-bone autograft reconstruction of the anterior cruciate ligament for advanced-stage chronic anterior laxity: is an extra-articular plasty necessary? A prospective randomized study of 100 patients with five year follow-up],2003,Rev Chir Orthop Reparatrice Appar Mot,Acquitter,patellartendonboneautograftreconstructionoftheanteriorcruciateligamentforadvancedstagechronicanteriorlaxity:isanextraarticularplastynecessary?aprospectiverandomizedstudyof100patientswithfiveyearfollowup,
107,PubMed/MEDLINE,,"Gaweda K, Godlewski P.",[Evaluation of the anterior cruciate ligament injury treatment results using patellar tendon grafts],2002,Chir Narzadow Ruchu Ortop Pol,Gaweda,evaluationoftheanteriorcruciateligamentinjurytreatmentresultsusingpatellartendongrafts,
112,PubMed/MEDLINE,,"Katabi M, Djian P, Christel P.",[Anterior cruciate ligament reconstruction: patellar tendon autograft versus four-strand hamstring tendon autografts. A comparative study at one year follow-up],2002,Rev Chir Orthop Reparatrice Appar Mot,Katabi,anteriorcruciateligamentreconstruction:patellartendonautograftversusfourstrandhamstringtendonautograftsacomparativestudyatoneyearfollowup,
121,PubMed/MEDLINE,,"Eriksson K, Anderberg P, Hamberg P, Olerud P, Wredmark T.",There are differences in early morbidity after ACL reconstruction when comparing patellar tendon and semitendinosus tendon graft. A prospective randomized study of 107 patients,2001,Scand J Med Sci Sports,Eriksson,therearedifferencesinearlymorbidityafteraclreconstructionwhencomparingpatellartendonandsemitendinosustendongraftaprospectiverandomizedstudyof107patients,
140,PubMed/MEDLINE,,"Diduch DR, Mann J, Geary SP, Scott WN, Huie G.",The effect of pretwisting the ACL autograft on knee laxity,1998,Am J Knee Surg,Diduch,theeffectofpretwistingtheaclautograftonkneelaxity,
141,PubMed/MEDLINE,,"Fischer DA, Tewes DP, Boyd JL, Smith JP, Quick DC.",Home based rehabilitation for anterior cruciate ligament reconstruction,1998,Clin Orthop Relat Res,Fischer,homebasedrehabilitationforanteriorcruciateligamentreconstruction,
143,PubMed/MEDLINE,,"Witoński D, Kozłowski P.",[Arthroscopy or arthrotomy in anterior cruciate ligament reconstruction with autogenous bone-tendon-bone-graft],1997,Chir Narzadow Ruchu Ortop Pol,Witoński,arthroscopyorarthrotomyinanteriorcruciateligamentreconstructionwithautogenousbonetendonbonegraft,
151,PubMed/MEDLINE,,"Knaepler H, Schenk C.","[The new ""Marburg rehabilitation concept"". ""On the status of exercise equipment within the scope of rehabilitation of patients after surgery of the anterior cruciate ligament""]",1994,Aktuelle Traumatol,Knaepler,"thenew""marburgrehabilitationconcept""""onthestatusofexerciseequipmentwithinthescopeofrehabilitationofpatientsaftersurgeryoftheanteriorcruciateligament""",
152,PubMed/MEDLINE,,"Engström B, Wredmark T, Westblad P.",Patellar tendon or Leeds-Keio graft in the surgical treatment of anterior cruciate ligament ruptures. Intermediate results,1993,Clin Orthop Relat Res,Engström,patellartendonorleedskeiograftinthesurgicaltreatmentofanteriorcruciateligamentrupturesintermediateresults,
156,PubMed/MEDLINE,,Kohn D.,"Arthroscopic evaluation of anterior cruciate ligament reconstruction using a free patellar tendon autograft. A prospective, randomized study",1990,Clin Orthop Relat Res,Kohn,arthroscopicevaluationofanteriorcruciateligamentreconstructionusingafreepatellartendonautograftaprospectiverandomizedstudy,
161,PubMed/MEDLINE,,"García-Linage R, Lassard-Rosenthal J, Noval-García R, Muñiz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-Córdoba I, Zimbrón-López D.",[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport],2025,Acta Ortop Mex,García-Linage,autologoushamstringversusquadricepsgraftinanteriorcruciateligamentplastycomparativestudywithfocusonreturntosport,
174,PubMed/MEDLINE,,"Lan X, Huang J, Tian F, Wang S, Liu C, Wang J.",Application of 3D-Printed Personalized Guide for Lateral Femoral Positioning in Anterior Cruciate Ligament Reconstruction of the Knee,2023,Altern Ther Health Med,Lan,applicationof3dprintedpersonalizedguideforlateralfemoralpositioninginanteriorcruciateligamentreconstructionoftheknee,
186,PubMed/MEDLINE,,"Kasl J, Zeman P, Pavelka T, Cibulková J, Pilný J, Matějka J.",[Clinical Outcomes of the Application of Platelet-Rich Fibrin during Anatomic Anterior Cruciate Ligament Reconstruction: Results of Prospective Randomised Study],2022,Acta Chir Orthop Traumatol Cech,Kasl,clinicaloutcomesoftheapplicationofplateletrichfibrinduringanatomicanteriorcruciateligamentreconstruction:resultsofprospectiverandomisedstudy,
244,PubMed/MEDLINE,,"Joshi A, Kayasth N, Shrestha S, Kc BR.",Infra Patellar Branch of Saphenous Nerve Injury during Hamstring Graft Harvest: Vertical versus Oblique Incisions,2016,J Nepal Health Res Counc,Joshi,infrapatellarbranchofsaphenousnerveinjuryduringhamstringgraft harvest:verticalversusobliqueincisions,
263,PubMed/MEDLINE,,"Zeman P, Koudela K, Kasl J, Nepraš P, Zeman J, Matějka J.",[Anatomical ACL reconstruction by a double- versus a single-bundle technique. Prospective randomised study of short-term clinical results],2014,Acta Chir Orthop Traumatol Cech,Zeman,anatomicalaclreconstructionbyadoubleversusasinglebundletechniqueprospectiverandomisedstudyofshorttermclinicalresults,
283,PubMed/MEDLINE,,"Demirağ B, Ermutlu C, Aydemir F, Durak K.",A comparison of clinical outcome of augmentation and standard reconstruction techniques for partial anterior cruciate ligament tears,2012,Eklem Hastalik Cerrahisi,Demirağ,acomparisonofclinicaloutcomeofaugmentationandstandardreconstructiontechniquesforpartialanteriorcruciateligamenttears,
285,PubMed/MEDLINE,,"Zelić Z, Jovanović S, Wertheimer V, Sarić G, Biuk E, Gulan G.",Results of the surgical reconstruction of the anterior cruciate ligament,2012,Coll Antropol,Zelić,resultsofthesurgicalreconstructionoftheanteriorcruciateligament,
326,PubMed/MEDLINE,,"Laoruengthana A, Pattayakorn S, Chotanaputhi T, Kosiyatrakul A.","Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial",2009,J Med Assoc Thai,Laoruengthana,clinicalcomparisonbetweensixstrandhamstringtendonandpatellartendonautograftinarthroscopicanteriorcruciateligamentreconstruction:aprospectiverandomizedclinicaltrial,
327,PubMed/MEDLINE,,"Wang JQ, Ao YF, Yu CL, Liu P, Xu Y, Chen LX.","Clinical evaluation of double-bundle anterior cruciate ligament reconstruction procedure using hamstring tendon grafts: a prospective, randomized and controlled study",2009,Chin Med J (Engl),Wang,clinicalevaluationofdoublebundleanteriorcruciateligamentreconstructionprocedureusinghamstringtendongrafts:aprospectiverandomizedandcontrolledstudy,
330,PubMed/MEDLINE,,"Liu HG, Chen SX, Zhao CD, Ding LJ, Situ J.",[Comparative study on reconstruction of anterior cruciate ligaments with allografts and hamstring tendon under arthroscopy],2008,Zhongguo Gu Shang,Liu,comparativestudyonreconstructionofanteriorcruciateligamentswithallograftsandhamstringtendonunderarthroscopy,
334,PubMed/MEDLINE,,"Fan Q, Fan J.",[Comparison between four-strand semitendinosus tendon autograft and ligament advanced reinforcement system for anterior cruciate ligament reconstruction by arthroscopy],2008,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Fan,comparisonbetweenfourstrandsemitendinosustendonautograftandligamentadvancedreinforcementsystemforanteriorcruciateligamentreconstructionbyarthroscopy,
380,PubMed/MEDLINE,,"Boonriong T, Kietsiriroje N.",Arthroscopically assisted anterior cruciate ligament reconstruction: comparison of bone-patellar tendon-bone versus hamstring tendon autograft,2004,J Med Assoc Thai,Boonriong,arthroscopicallyassistedanteriorcruciateligamentreconstruction:comparisonofbonepatellartendonboneversushamstringtendonautograft,
381,PubMed/MEDLINE,,"Aglietti P, Giron F, Buzzi R, Biddau F, Sasso F.","Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial",2004,J Bone Joint Surg Am,Aglietti,anteriorcruciateligamentreconstruction:bonepatellartendonbonecomparedwithdoublesemitendinosusandgracilistendongraftsaprospectiverandomizedclinicaltrial,
383,PubMed/MEDLINE,,"Adachi N, Ochi M, Uchio Y, Iwasa J, Kuriwaka M, Ito Y.",Reconstruction of the anterior cruciate ligament. Single- versus double-bundle multistranded hamstring tendons,2004,J Bone Joint Surg Br,Adachi,reconstructionoftheanteriorcruciateligamentsingleversusdoublebundlemultistrandedhamstringtendons,
395,PubMed/MEDLINE,,"Katabi M, Djian P, Christel P.",[Anterior cruciate ligament reconstruction: patellar tendon autograft versus four-strand hamstring tendon autografts. A comparative study at one year follow-up],2002,Rev Chir Orthop Reparatrice Appar Mot,Katabi,anteriorcruciateligamentreconstruction:patellartendonautograftversusfourstrandhamstringtendonautograftsacomparativestudyatoneyearfollowup,
402,PubMed/MEDLINE,,"Simonian PT, Monson JT, Larson RV.",Biodegradable interference screw augmentation reduces tunnel expansion after ACL reconstruction,2001,Am J Knee Surg,Simonian,biodegradableinterferencescrewaugmentationreducestunnelexpansionafteraclreconstruction,
404,PubMed/MEDLINE,,"Eriksson K, Anderberg P, Hamberg P, Olerud P, Wredmark T.",There are differences in early morbidity after ACL reconstruction when comparing patellar tendon and semitendinosus tendon graft. A prospective randomized study of 107 patients,2001,Scand J Med Sci Sports,Eriksson,therearedifferencesinearlymorbidityafteraclreconstructionwhencomparingpatellartendonandsemitendinosustendongraftaprospectiverandomizedstudyof107patients,
419,PubMed/MEDLINE,,O'Neill DB.,Arthroscopically assisted reconstruction of the anterior cruciate ligament. A prospective randomized analysis of three techniques,1996,J Bone Joint Surg Am,O'Neill,arthroscopicallyassistedreconstructionoftheanteriorcruciateligamentaprospectiverandomizedanalysisofthreetechniques,
425,PubMed/MEDLINE,,"Goertzen M, Schulitz KP.",[Isolated intraarticular plasty of the semitendinosus or combined intra- and extra-articular plasty in chronic anterior laxity of the knee],1994,Rev Chir Orthop Reparatrice Appar Mot,Goertzen,isolatedintraarticularplastyofthesemitendinosusorcombinedintraandextraarticularplastyinchronicanteriorlaxityoftheknee,
430,PubMed/MEDLINE,,"García-Linage R, Lassard-Rosenthal J, Noval-García R, Muñiz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-Córdoba I, Zimbrón-López D.",[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport],2025,Acta Ortop Mex,García-Linage,autologoushamstringversusquadricepsgraftinanteriorcruciateligamentplastycomparativestudywithfocusonreturntosport,
461,PubMed/MEDLINE,,"Ouyang X, Hong SD, Xin F, Wang L, Yang XW, Wang JR, Wang Q, Cui WD, Zhang AJ, Zhao ZX.",The curative efficacy of arthroscopic therapy in treating anterior cruciate ligament rupture with secondary osteoarthritis,2016,Eur Rev Med Pharmacol Sci,Ouyang,thecurativeefficacyofarthroscopictherapyintreatinganteriorcruciateligamentrupturewithsecondaryosteoarthritis,
480,PubMed/MEDLINE,,"Acquitter Y, Hulet C, Locker B, Delbarre JC, Jambou S, Vielpeau C.",[Patellar tendon-bone autograft reconstruction of the anterior cruciate ligament for advanced-stage chronic anterior laxity: is an extra-articular plasty necessary? A prospective randomized study of 100 patients with five year follow-up],2003,Rev Chir Orthop Reparatrice Appar Mot,Acquitter,patellartendonboneautograftreconstructionoftheanteriorcruciateligamentforadvancedstagechronicanteriorlaxity:isanextraarticularplastynecessary?aprospectiverandomizedstudyof100patientswithfiveyearfollowup,
496,PubMed/MEDLINE,,"Jonsson H, Elmqvist LG, Kärrholm J, Tegner Y.",Over-the-top or tunnel reconstruction of the anterior cruciate ligament? A prospective randomised study of 54 patients,1994,J Bone Joint Surg Br,Jonsson,overthetoportunnelreconstructionoftheanteriorcruciateligament?aprospectiverandomisedstudyof54patients,
498,PubMed/MEDLINE,,"Odensten M, Hamberg P, Nordin M, Lysholm J, Gillquist J.",Surgical or conservative treatment of the acutely torn anterior cruciate ligament. A randomized study with short-term follow-up observations,1985,Clin Orthop Relat Res,Odensten,surgicalorconservativetreatmentoftheacutelytornanteriorcruciateligamentarandomizedstudywithshorttermfollowupobservations,
501,PubMed/MEDLINE,,"J H Noh, H S Kyiung, K H Yoon, Y H Roh",Supplementary tibial fixation in anterior cruciate ligament reconstruction - Direct cortical fixation using spiked washer screw vs. post-tie using washer screw,2016,Acta Orthop Belg,J,supplementarytibialfixationinanteriorcruciateligamentreconstructiondirectcorticalfixationusingspikedwasherscrewvsposttieusingwasherscrew,
505,Embase,,,Radiographic Findings and Clinical Outcomes After Bone Grafting Patellar Defect in ACL Reconstruction,2025,clinicaltrials.gov,#VALUE!,radiographicfindingsandclinicaloutcomesafterbonegraftingpatellardefectinaclreconstruction,
509,Embase,,,Combined Intra- and Extra-articular ACL Reconstruction Versus Isolated Intra-articular ACL Reconstruction: Prospective Multicenter Randomized Clinical Trial With Hamstring Autograft,2024,clinicaltrials.gov,#VALUE!,combinedintraandextraarticularaclreconstructionversusisolatedintraarticularaclreconstruction:prospectivemulticenterrandomizedclinicaltrialwithhamstringautograft,
510,Embase,,,"Reconstruction of the Anterior Cruciated Ligament With Quadriceps Tendon Graft With Bone Plug vs Bone Patellar Tendon Bone Graft, a Randomized Clinical Controlled Essay With 2 Years of Follow up",2023,clinicaltrials.gov,#VALUE!,reconstructionoftheanteriorcruciatedligamentwithquadricepstendongraftwithboneplugvsbonepatellartendonbonegraftarandomizedclinicalcontrolledessaywith2yearsoffollowup,
513,Embase,,,Comparison of Infection Rate Between Vancomycin and Gentamycin for Intraoperative Presoaking of Graft in Primary Anterior Cruciate Ligament Reconstruction ( Randomized Controlled Trial ),2023,clinicaltrials.gov,#VALUE!,comparisonofinfectionratebetweenvancomycinandgentamycinforintraoperativepresoakingofgraftinprimaryanteriorcruciateligamentreconstruction(randomizedcontrolledtrial),
514,Embase,,,Comparison of Single-bundle Versus Double-bundle Anterior Cruciate Ligament Reconstruction: Short-term and Long-term Function and Imaging Results,2023,clinicaltrials.gov,#VALUE!,comparisonofsinglebundleversusdoublebundleanteriorcruciateligamentreconstruction:shorttermandlongtermfunctionandimagingresults,
515,Embase,,,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction in Hamstring Group,2023,clinicaltrials.gov,#VALUE!,reducedkneeflexionstrength18yearsafteraclreconstructioninhamstringgroup,
516,Embase,,"Meena V.K., Lakhotia D., Nama K.G., Joshi S.",To Compare the Functional Outcome of Arthroscopic Reconstruction of Anterior Cruciate Ligament Using Patellar Tendon Bone Grafts v/s Hamstrings Graft: A Multicentric Study,2023,International Journal of Life Sciences Biotechnology and Pharma Research,Meena,tocomparethefunctionaloutcomeofarthroscopicreconstructionofanteriorcruciateligamentusingpatellartendonbonegraftsv/shamstringsgraft:amulticentricstudy,
518,Embase,,,Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Bone Autograft,2023,clinicaltrials.gov,#VALUE!,anteriorcruciateligamentreconstructionwithquadricepstendonboneautograft,
519,Embase,,,"A Randomized, Single Blinded Study of the Augmentation of Anterior Cruciate Ligament Reconstruction Using Stump-Derived Mesenchymal Stem Cells Versus Standard of Care Anterior Cruciate Ligament Reconstruction",2022,clinicaltrials.gov,#VALUE!,arandomizedsingleblindedstudyoftheaugmentationofanteriorcruciateligamentreconstructionusingstumpderivedmesenchymalstemcellsversusstandardofcareanteriorcruciateligamentreconstruction,
520,Embase,,,All-Inside Single-Bundle for ACL Reconstruction With Full Thickness of the Peroneus Longus Tendon Compared to the Six-strand-hamstring Autograft,2022,clinicaltrials.gov,#VALUE!,allinsidesinglebundleforaclreconstructionwithfullthicknessoftheperoneuslongustendoncomparedtothesixstrandhamstringautograft,
521,Embase,,,All Soft Tissue Quadriceps Tendon Autograft Versus Patellar Tendon Autograft in Anterior Cruciate Ligament Reconstruction: a Randomized Controlled Trial,2022,clinicaltrials.gov,#VALUE!,allsofttissuequadricepstendonautograftversuspatellartendonautograftinanteriorcruciateligamentreconstruction:arandomizedcontrolledtrial,
525,Embase,,,Optimizing GRAft SElection for ACL Reconstruction (GRASE-ACL Trial) - a Three-armed Randomized Controlled Trial,2022,clinicaltrials.gov,#VALUE!,optimizinggraftselectionforaclreconstruction(graseacltrial)athreearmedrandomizedcontrolledtrial,
526,Embase,,,The Effect of Accelerated Rehabilitation After Anterior Cruciate Ligament Reconstruction With and Without Suture Tape Reinforcement,2022,clinicaltrials.gov,#VALUE!,theeffectofacceleratedrehabilitationafteranteriorcruciateligamentreconstructionwithandwithoutsuturetapereinforcement,
529,Embase,,,Long Term Clinical and Radiographical Outcomes of Different Anterior Cruciate Ligament Reconstruction Techniques,2021,clinicaltrials.gov,#VALUE!,longtermclinicalandradiographicaloutcomesofdifferentanteriorcruciateligamentreconstructiontechniques,
530,Embase,,,Allogeneic Bone-patellar Tendon-bone Transplantation to Reconstruct the Knee Joint Anterior Cruciate Ligament,2021,clinicaltrials.gov,#VALUE!,allogeneicbonepatellartendonbonetransplantationtoreconstructthekneejointanteriorcruciateligament,
532,Embase,,,Subjective Outcomes After ACL Reconstruction With BQT Autograft,2021,clinicaltrials.gov,#VALUE!,subjectiveoutcomesafteraclreconstructionwithbqtautograft,
536,Embase,,,Effects of Blood Flow Restriction Rehabilitation After Bone Patellar Tendon Bone Anterior Cruciate Ligament Reconstruction,2020,clinicaltrials.gov,#VALUE!,effectsofbloodflowrestrictionrehabilitationafterbonepatellartendonboneanteriorcruciateligamentreconstruction,
537,Embase,,"Rajput I.M., Ali M., Siddiqui A.A., Sahito B., Doltani D.K., Khaskheli J.H.",To compare the functional outcome of the Patellar Tendon and hamstring tendon autograft for anterior cruciate ligament reconstruction in males,2020,Pakistan Journal of Medical and Health Sciences,Rajput,tocomparethefunctionaloutcomeofthepatellartendonandhamstringtendonautograftforanteriorcruciateligamentreconstructioninmales,
542,Embase,,,Postoperative ERIS Knee Splinting Following ACLR: A Randomized Clinical Trial,2020,clinicaltrials.gov,#VALUE!,postoperativeeriskneesplintingfollowingaclr:arandomizedclinicaltrial,
543,Embase,,,Functional Outcome Comparison of Implant-Free Bone-Patellar Tendon Autografts Using Press-Fit Fixation Technique and Hamstring Autografts Using Implant in Arthroscopic Anterior Cruciate Ligament Reconstruction: A Prospective Study,2019,clinicaltrials.gov,#VALUE!,functionaloutcomecomparisonofimplantfreebonepatellartendonautograftsusingpressfitfixationtechniqueandhamstringautograftsusingimplantinarthroscopicanteriorcruciateligamentreconstruction:aprospectivestudy,
552,Embase,,,A Prospective Randomized Trial of Biologic Augmentation With Mesenchymal Stem Cells in Patients Undergoing Anterior Cruciate Ligament Reconstruction,2017,clinicaltrials.gov,#VALUE!,aprospectiverandomizedtrialofbiologicaugmentationwithmesenchymalstemcellsinpatientsundergoinganteriorcruciateligamentreconstruction,
553,Embase,,,Comparative Clinical Outcomes and Function Study Between MAKO Robotic-Arm Assisted UKA in ACL Intact and Deficient Knees,2017,clinicaltrials.gov,#VALUE!,comparativeclinicaloutcomesandfunctionstudybetweenmakoroboticarmassistedukainaclintactanddeficientknees,
557,Embase,,,Assessment of the Results of Combined Anterolateral Ligament (ALL) + Antero Crusader Ligament (ACL) Plasty Compared to Classical KJ Plasty in Isolated ACL Ruptures,2016,clinicaltrials.gov,#VALUE!,assessmentoftheresultsofcombinedanterolateralligament(all)+anterocrusaderligament(acl)plastycomparedtoclassicalkjplastyinisolatedaclruptures,
570,Embase,,"Barenius B., Ponzer S., Shalabi A., Bujak R., Norlén L., Eriksson K.",Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial.,2014,The American journal of sports medicine,Barenius,increasedriskofosteoarthritisafteranteriorcruciateligamentreconstruction:a14yearfollowupstudyofarandomizedcontrolledtrial,
576,Embase,,"McRae S., Leiter J., McCormack R., Old J., MacDonald P.",Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial.,2013,The American journal of sports medicine,McRae,ipsilateralversuscontralateralhamstringgraftsinanteriorcruciateligamentreconstruction:aprospectiverandomizedtrial,
578,Embase,,"Sajovic M., Strahovnik A., Dernovsek M.Z., Skaza K.",Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial.,2011,The American journal of sports medicine,Sajovic,qualityoflifeandclinicaloutcomecomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:an11yearfollowupofarandomizedcontrolledtrial,
584,Embase,,"Barenius B., Nordlander M., Ponzer S., Tidermark J., Eriksson K.",Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial.,2010,The American journal of sports medicine,Barenius,qualityoflifeandclinicaloutcomeafteranteriorcruciateligamentreconstructionusingpatellartendongraftorquadrupledsemitendinosusgraft:an8yearfollowupofarandomizedcontrolledtrial,
585,Embase,,"Holm I., Oiestad B.E., Risberg M.A., Aune A.K.",No difference in knee function or prevalence of osteoarthritis after reconstruction of the anterior cruciate ligament with 4-strand hamstring autograft versus patellar tendon-bone autograft: a randomized study with 10-year follow-up.,2010,The American journal of sports medicine,Holm,nodifferenceinkneefunctionorprevalenceofosteoarthritisafterreconstructionoftheanteriorcruciateligamentwith4strandhamstringautograftversuspatellartendonboneautograft:arandomizedstudywith10yearfollowup,
586,Embase,,"Sekir U., Gur H., Akova B.",Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft.,2010,The American journal of sports medicine,Sekir,earlyversuslatestartofisokinetichamstringstrengtheningexerciseafteranteriorcruciateligamentreconstructionwithpatellartendongraft,
