id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,title_abstract_screening,full-text_screening,reason_for_exclusion
,Popovic M (2024),PubMed,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Popovic M,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,Reduced Knee Flexion Strength 18 Ye,2024,10.1177/03635465241271524,Am J Sports Med,,,
,Marmura H (2021),PubMed,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Marmura H,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,Validation of a Risk Calculator to ,2021,10.1177/03635465211010798,Am J Sports Med,,,
,Castoldi M (2020),PubMed,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Castoldi M,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,A Randomized Controlled Trial of Bo,2020,10.1177/0363546520914936,Am J Sports Med,,,
,Murray MM (2020),PubMed,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Murray MM,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,Bridge-Enhanced Anterior Cruciate L,2020,10.1177/0363546520913532,Am J Sports Med,,,
,Smith PA (2020),PubMed,"Smith PA, Cook CS, Bley JA.",Smith PA,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,All-Inside Quadrupled Semitendinosu,2020,10.1016/j.arthro.2020.01.048,Arthroscopy,,,
,Mohtadi NG (2019),PubMed,"Mohtadi NG, Chan DS.",Mohtadi NG,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",A Randomized Clinical Trial Compari,2019,10.2106/JBJS.18.01322,J Bone Joint Surg Am,,,
,Sajovic M (2018),PubMed,"Sajovic M, Stropnik D, Skaza K.",Sajovic M,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,Long-term Comparison of Semitendino,2018,10.1177/0363546518768768,Am J Sports Med,,,
,Bressy G (2016),PubMed,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Bressy G,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,Lack of stability at more than 12 m,2016,10.1016/j.otsr.2016.08.011,Orthop Traumatol Surg Res,,,
,Biswal UK (2016),PubMed,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Biswal UK,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,Correlation of tunnel widening and ,2016,10.1007/s00590-016-1809-4,Eur J Orthop Surg Traumatol,,,
,Bj̦rnsson H (2016),PubMed,"Bj̦rnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostg̴rd-Christensen L, Karlsson J, Kartus J.",Bj̦rnsson H,A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,A Randomized Controlled Trial With ,2016,10.1177/0363546516646378,Am J Sports Med,,,
