id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,deduplication,title_abstract_screening,full-text_screening,reason_for_exclusion
,Popovic M (2024),PubMed,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Popovic,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,Reduced Knee Flexion Strength 18 Ye,2024,10.1177/03635465241271524,Am J Sports Med,Popovic2024,,,
,Marmura H (2021),PubMed,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Marmura,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,Validation of a Risk Calculator to ,2021,10.1177/03635465211010798,Am J Sports Med,Marmura2021,,,
,Castoldi M (2020),PubMed,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Castoldi,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,A Randomized Controlled Trial of Bo,2020,10.1177/0363546520914936,Am J Sports Med,Castoldi2020,,,
,Murray MM (2020),PubMed,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Murray,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,Bridge-Enhanced Anterior Cruciate L,2020,10.1177/0363546520913532,Am J Sports Med,Murray2020,,,
,Smith PA (2020),PubMed,"Smith PA, Cook CS, Bley JA.",Smith,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,All-Inside Quadrupled Semitendinosu,2020,10.1016/j.arthro.2020.01.048,Arthroscopy,Smith2020,,,
,Mohtadi NG (2019),PubMed,"Mohtadi NG, Chan DS.",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",A Randomized Clinical Trial Compari,2019,10.2106/JBJS.18.01322,J Bone Joint Surg Am,Mohtadi2019,,,
,Sajovic M (2018),PubMed,"Sajovic M, Stropnik D, Skaza K.",Sajovic,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,Long-term Comparison of Semitendino,2018,10.1177/0363546518768768,Am J Sports Med,Sajovic2018,,,
,Bressy G (2016),PubMed,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Bressy,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,Lack of stability at more than 12 m,2016,10.1016/j.otsr.2016.08.011,Orthop Traumatol Surg Res,Bressy2016,,,
,Biswal UK (2016),PubMed,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Biswal,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,Correlation of tunnel widening and ,2016,10.1007/s00590-016-1809-4,Eur J Orthop Surg Traumatol,Biswal2016,,,
,Bj̦rnsson H (2016),PubMed,"Bj̦rnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostg̴rd-Christensen L, Karlsson J, Kartus J.",Bj̦rnsson,A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,A Randomized Controlled Trial With ,2016,10.1177/0363546516646378,Am J Sports Med,Bj̦rnsson2016,,,
,Akelman MR (2016),PubMed,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Akelman,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,Effect of Matching or Overconstrain,2016,10.1177/0363546516638387,Am J Sports Med,Akelman2016,,,
,Sasaki S (2016),PubMed,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Sasaki,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,Prospective Randomized Study of Obj,2016,10.1177/0363546515624471,Am J Sports Med,Sasaki2016,,,
,Konrads C (2016),PubMed,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",Konrads,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,No significant difference in clinic,2016,10.1007/s00402-015-2386-4,Arch Orthop Trauma Surg,Konrads2016,,,
,Webster KE (2016),PubMed,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Webster,Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,Comparison of Patellar Tendon and H,2016,10.1177/0363546515611886,Am J Sports Med,Webster2016,,,
