doi,first_author,short_title,year,sTITLE+fAUTHOR+YEAR
10.1177/03635465241271524,Popovic ,reducedkneeflexionstrength18yearsaf,2024,reducedkneeflexionstrength18yearsafPopovic 2024
10.3390/medicina59101764,Obradović ,tubularizationofbonetendonbonegraft,2023,tubularizationofbonetendonbonegraftObradović 2023
10.1016/j.knee.2022.03.015,de ,iscontralateralautogenouspatellarte,2022,iscontralateralautogenouspatellartede 2022
10.1016/j.arthro.2021.12.018,Chahal ,anteriorcruciateligamentpatellarten,2022,anteriorcruciateligamentpatellartenChahal 2022
10.1007/s00402-021-04195-2,Komzák ,invivokneerotationalstability2 year,2022,invivokneerotationalstability2 yearKomzák 2022
10.1177/03635465211010798,Marmura ,validationofariskcalculatortoperson,2021,validationofariskcalculatortopersonMarmura 2021
10.1007/s00402-020-03508-1,Barié ,quadricepstendonvspatellartendonaut,2020,quadricepstendonvspatellartendonautBarié 2020
10.1177/0363546520914936,Castoldi ,arandomizedcontrolledtrialofbonepat,2020,arandomizedcontrolledtrialofbonepatCastoldi 2020
10.1177/0363546520913532,Murray ,bridgeenhancedanteriorcruciateligam,2020,bridgeenhancedanteriorcruciateligamMurray 2020
10.1016/j.arthro.2020.01.048,Smith ,allinsidequadrupledsemitendinosusau,2020,allinsidequadrupledsemitendinosusauSmith 2020
10.2106/JBJS.19.00098,Sporsheim ,autologousbptbaclreconstructionresu,2019,autologousbptbaclreconstructionresuSporsheim 2019
10.1177/2309499019867580,Alentorn-Geli ,effectsofautologousadiposederivedre,2019,effectsofautologousadiposederivedreAlentorn-Geli 2019
10.2106/JBJS.18.01322,Mohtadi ,arandomizedclinicaltrialcomparingpa,2019,arandomizedclinicaltrialcomparingpaMohtadi 2019
10.1016/j.arthro.2018.10.149,Bailey ,adductorcanalnerveversusfemoralnerv,2019,adductorcanalnerveversusfemoralnervBailey 2019
10.1177/0363546518769295,Walters ,effectofintraoperativeplateletrichp,2018,effectofintraoperativeplateletrichpWalters 2018
10.1177/0363546518768768,Sajovic ,longtermcomparisonofsemitendinosusa,2018,longtermcomparisonofsemitendinosusaSajovic 2018
10.1016/j.otsr.2016.08.011,Bressy ,lackofstabilityatmorethan12monthsof,2016,lackofstabilityatmorethan12monthsofBressy 2016
10.1007/s00402-016-2548-z,Mei ,doublelayerversussinglelayerbonepat,2016,doublelayerversussinglelayerbonepatMei 2016
10.1007/s00590-016-1809-4,Biswal ,correlationoftunnelwideningandtunne,2016,correlationoftunnelwideningandtunneBiswal 2016
10.1007/s00167-016-4229-4,Iliopoulos ,anatomicsinglebundleanteriorcruciat,2017,anatomicsinglebundleanteriorcruciatIliopoulos 2017
10.1177/0363546516646378,Björnsson ,arandomizedcontrolledtrialwithmean1,2016,arandomizedcontrolledtrialwithmean1Björnsson 2016
10.1177/0363546516638387,Akelman ,effectofmatchingoroverconstrainingk,2016,effectofmatchingoroverconstrainingkAkelman 2016
10.1177/0363546515624471,Sasaki ,prospectiverandomizedstudyofobjecti,2016,prospectiverandomizedstudyofobjectiSasaki 2016
10.1007/s00402-015-2386-4,Konrads ,nosignificantdifferenceinclinicalou,2016,nosignificantdifferenceinclinicalouKonrads 2016
10.1177/0363546515611886,Webster ,comparisonofpatellartendonandhamstr,2016,comparisonofpatellartendonandhamstrWebster 2016
10.1097/JSM.0000000000000209,Mohtadi ,rerupturesreinjuriesandrevisionsata,2016,rerupturesreinjuriesandrevisionsataMohtadi 2016
10.1097/JSM.0000000000000165,Mohtadi ,arandomizedclinicaltrialcomparingpa,2015,arandomizedclinicaltrialcomparingpaMohtadi 2015
