doi,first_author,short_title,year,sTITLE+fAUTHOR+YEAR
10.1177/03635465241271524,Popovic ,reducedkneeflexionstrength18yearsaf,2024,reducedkneeflexionstrength18yearsafPopovic 2024
10.1177/03635465211010798,Marmura ,validationofariskcalculatortoperson,2021,validationofariskcalculatortopersonMarmura 2021
10.1177/0363546520914936,Castoldi ,arandomizedcontrolledtrialofbonepat,2020,arandomizedcontrolledtrialofbonepatCastoldi 2020
10.1177/0363546520913532,Murray ,bridgeenhancedanteriorcruciateligam,2020,bridgeenhancedanteriorcruciateligamMurray 2020
10.1016/j.arthro.2020.01.048,Smith ,allinsidequadrupledsemitendinosusau,2020,allinsidequadrupledsemitendinosusauSmith 2020
10.2106/JBJS.18.01322,Mohtadi ,arandomizedclinicaltrialcomparingpa,2019,arandomizedclinicaltrialcomparingpaMohtadi 2019
10.1177/0363546518768768,Sajovic ,longtermcomparisonofsemitendinosusa,2018,longtermcomparisonofsemitendinosusaSajovic 2018
10.1016/j.otsr.2016.08.011,Bressy ,lackofstabilityatmorethan12monthsof,2016,lackofstabilityatmorethan12monthsofBressy 2016
10.1007/s00590-016-1809-4,Biswal ,correlationoftunnelwideningandtunne,2016,correlationoftunnelwideningandtunneBiswal 2016
10.1177/0363546516646378,Björnsson ,arandomizedcontrolledtrialwithmean1,2016,arandomizedcontrolledtrialwithmean1Björnsson 2016
10.1177/0363546516638387,Akelman ,effectofmatchingoroverconstrainingk,2016,effectofmatchingoroverconstrainingkAkelman 2016
10.1177/0363546515624471,Sasaki ,prospectiverandomizedstudyofobjecti,2016,prospectiverandomizedstudyofobjectiSasaki 2016
10.1007/s00402-015-2386-4,Konrads ,nosignificantdifferenceinclinicalou,2016,nosignificantdifferenceinclinicalouKonrads 2016
10.1177/0363546515611886,Webster ,comparisonofpatellartendonandhamstr,2016,comparisonofpatellartendonandhamstrWebster 2016
10.1097/JSM.0000000000000209,Mohtadi ,rerupturesreinjuriesandrevisionsata,2016,rerupturesreinjuriesandrevisionsataMohtadi 2016
10.1097/JSM.0000000000000165,Mohtadi ,arandomizedclinicaltrialcomparingpa,2015,arandomizedclinicaltrialcomparingpaMohtadi 2015
10.1007/s00264-014-2513-9,Papalia ,anteriorcruciateligamentreconstruct,2015,anteriorcruciateligamentreconstructPapalia 2015
10.1007/s00264-014-2495-7,Kautzner ,acomparisonofaclreconstructionusing,2015,acomparisonofaclreconstructionusingKautzner 2015
10.1007/s00508-014-0550-4,Leitgeb ,primaryanteriorcruciateligamentreco,2014,primaryanteriorcruciateligamentrecoLeitgeb 2014
10.1177/0363546514526139,Barenius ,increasedriskofosteoarthritisaftera,2014,increasedriskofosteoarthritisafteraBarenius 2014
10.1177/0363546513499140,McRae ,ipsilateralversuscontralateralhamst,2013,ipsilateralversuscontralateralhamstMcRae 2013
10.1016/j.knee.2012.02.005,Lui ,arandomizedcontrolledtrialcomparing,2012,arandomizedcontrolledtrialcomparingLui 2012
10.1007/s00167-012-1947-0,Gifstad ,longtermfollowupofpatellartendongra,2013,longtermfollowupofpatellartendongraGifstad 2013
10.1177/0363546511430375,Leys ,clinicalresultsandriskfactorsforrei,2012,clinicalresultsandriskfactorsforreiLeys 2012
10.1177/0363546511411702,Sajovic ,qualityoflifeandclinicaloutcomecomp,2011,qualityoflifeandclinicaloutcomecompSajovic 2011
10.1097/JSM.0b013e31822153cb,Leal-Blanquet ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructLeal-Blanquet 2011
10.1016/j.arthro.2011.01.015,Wipfler ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructWipfler 2011
10.1007/s00167-010-1225-y,Zaffagnini ,singlebundlepatellartendonversusnon,2011,singlebundlepatellartendonversusnonZaffagnini 2011
10.1177/0363546510369549,Barenius ,qualityoflifeandclinicaloutcomeafte,2010,qualityoflifeandclinicaloutcomeafteBarenius 2010
10.1177/0363546509349490,Sekir ,earlyversuslatestartofisokineticham,2010,earlyversuslatestartofisokinetichamSekir 2010
10.1177/0363546509350301,Holm ,nodifferenceinkneefunctionorprevale,2010,nodifferenceinkneefunctionorprevaleHolm 2010
10.1007/s00167-009-0996-5,Drogset ,autologouspatellartendonandquadrupl,2010,autologouspatellartendonandquadruplDrogset 2010
10.1177/0363546509339577,Taylor ,patellartendonversushamstringtendon,2009,patellartendonversushamstringtendonTaylor 2009
10.1007/s00167-009-0846-5,Ahldén ,kneelaxitymeasurementsafteranterior,2009,kneelaxitymeasurementsafteranteriorAhldén 2009
10.1007/s11999-008-0604-x,Tsuda ,comparableresultsbetweenlateralized,2009,comparableresultsbetweenlateralizedTsuda 2009
10.1016/j.rco.2008.01.008,Laboute ,interestofaniterativespecializedreh,2008,interestofaniterativespecializedrehLaboute 2008
10.1007/s00264-007-0341-x,Sajovic ,theeffectofgraftchoiceonfunctionalo,2008,theeffectofgraftchoiceonfunctionaloSajovic 2008
10.1177/0363546506298275,Lidén ,patellartendonorsemitendinosustendo,2007,patellartendonorsemitendinosustendoLidén 2007
10.1177/0363546506296042,Pinczewski ,a10yearcomparisonofanteriorcruciate,2007,a10yearcomparisonofanteriorcruciatePinczewski 2007
10.1177/0363546506296040,Chouliaras ,effectivenessofreconstructionofthea,2007,effectivenessofreconstructionoftheaChouliaras 2007
10.1007/s00167-006-0246-z,Heijne ,earlyversuslatestartofopenkineticch,2007,earlyversuslatestartofopenkineticchHeijne 2007
10.1177/0363546506294361,Maletis ,aprospectiverandomizedstudyofanteri,2007,aprospectiverandomizedstudyofanteriMaletis 2007
10.1016/j.knee.2006.10.004,Ito ,aprospectivestudyof3dayversus2weeki,2007,aprospectivestudyof3dayversus2weekiIto 2007
10.1177/0363546506290726,Sajovic ,aprospectiverandomizedcomparisonofs,2006,aprospectiverandomizedcomparisonofsSajovic 2006
10.1007/s00167-006-0059-0,Harilainen ,randomizedprospectivestudyofaclreco,2006,randomizedprospectivestudyofaclrecoHarilainen 2006
10.1007/s00167-006-0050-9,Gobbi ,factorsaffectingreturntosportsafter,2006,factorsaffectingreturntosportsafterGobbi 2006
10.1007/s00167-005-0708-8,Svensson ,aprospectivecomparisonofbonepatella,2006,aprospectivecomparisonofbonepatellaSvensson 2006
