ID,Source,DOI,Authors,Title,Year,Journal,first_author,short_title,key
1,PubMed/MEDLINE,10.1177/03635465241271524,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,2024,Am J Sports Med,Popovic,reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon,reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendonPopovic2024
2,PubMed/MEDLINE,10.3390/medicina59101764,"Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.",Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,2023,Medicina (Kaunas),Obradović,tubularizationofbonetendonbonegrafts:effectsonmechanicalstrengthandpostoperativekneestabilityinanteriorcruciateligamentreconstruction,
3,PubMed/MEDLINE,10.1016/j.knee.2022.03.015,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,2022,Knee,de,iscontralateralautogenouspatellartendongraftabetterchoicethanipsilateralforanteriorcruciateligamentreconstructioninyoungsportsmen?arandomizedcontrolledtrial,
4,PubMed/MEDLINE,10.1016/j.arthro.2021.12.018,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,2022,Arthroscopy,Chahal,anteriorcruciateligamentpatellartendonautograftfixationat0°versus30°resultsinimprovedactivityscoresandagreaterproportionofpatientsachievingtheminimalclinicalimportantdifferenceforkneeinjuryandosteoarthritisoutcomescorepain:arandomizedcontrolledtrial,
5,PubMed/MEDLINE,10.1007/s00402-021-04195-2,"Komzák M, Hart R, Náhlík D, Vysoký R.",In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,2022,Arch Orthop Trauma Surg,Komzák,invivokneerotationalstability2 yearsaftertheaclreconstructionusingaquadricepstendongraftwithboneblockandbonepatellartendonbonegraft,
6,PubMed/MEDLINE,10.1177/03635465211010798,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,2021,Am J Sports Med,Marmura,validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction,
7,PubMed/MEDLINE,10.1007/s00402-020-03508-1,"Barié A, Sprinckstub T, Huber J, Jaber A.","Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years",2020,Arch Orthop Trauma Surg,Barié,quadricepstendonvspatellartendonautograftforaclreconstructionusingahardwarefreepressfitfixationtechnique:comparablestabilityfunctionandreturntosportlevelbutlessdonorsitemorbidityinathletesafter10 years,
8,PubMed/MEDLINE,10.1177/0363546520914936,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,2020,Am J Sports Med,Castoldi,arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup,
9,PubMed/MEDLINE,10.1177/0363546520913532,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,2020,Am J Sports Med,Murray,bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial,
10,PubMed/MEDLINE,10.1016/j.arthro.2020.01.048,"Smith PA, Cook CS, Bley JA.",All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,2020,Arthroscopy,Smith,allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger,
