Study ID,PMID,Graft Type,Title,,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Link
Woodhams (2025),41583804,QT,Patients Who Underwent Anterior Cruciate Ligament Reconstruction With an All Soft-Tissue Quadriceps Tendon Graft Had a Greater Return-to-Play Rate Than Patients Who Received a Quadriceps Tendon Bone Graft,Woodhams (2025),"Woodhams W, Ford D, Hutson J, Reisner J, Hamilton K, Menge T.",Arthrosc Sports Med Rehabil. 2025 Jul 30;7(5):101223. doi: 10.1016/j.asmr.2025.101223. eCollection 2025 Oct.,Woodhams W,Arthrosc Sports Med Rehabil,2025,1/26/2026,PMC12827214,,10.1016/j.asmr.2025.101223,Woodhams (2025)
Quoc (2025),41503224,HT,Anterior cruciate ligament anatomy of Vietnamese adults and applications in arthroscopic anterior cruciate ligament reconstruction surgery with all-inside single-bundle technique,Quoc (2025),"Quoc LT, Le Khanh T, Mi HT.",J Orthop. 2025 Dec 13;73:241-246. doi: 10.1016/j.jor.2025.12.027. eCollection 2026 Mar.,Quoc LT,J Orthop,2025,1/8/2026,PMC12771325,,10.1016/j.jor.2025.12.027,Quoc (2025)
Han (2026),41476403,HT,Clinical Outcomes of Platelet-Rich Plasma Augmentation in Anterior Cruciate Ligament Reconstruction Using Hamstring Tendon Autografts: A Systematic Review and Meta-analysis of Randomized Controlled Trials,Han (2026),"Han JH, Jung M, Chung K, Moon HS, Jung SH, Kim SH.",Am J Sports Med. 2026 Jan;54(1):190-198. doi: 10.1177/03635465251337766. Epub 2026 Jan 1.,Han JH,Am J Sports Med,2026,1/1/2026,,,10.1177/03635465251337766,Han (2026)
Bouchard (2025),41451632,HT,Ten-year outcomes of combined ACLR and lateral extra-articular tenodesis: A systematic review,Bouchard (2025),"Bouchard MD, Haque O, Cruickshank M, Vivekanantha P, Tapasvi S, Meena A, de Sa D.",Knee Surg Sports Traumatol Arthrosc. 2025 Dec 26. doi: 10.1002/ksa.70231. Online ahead of print.,Bouchard MD,Knee Surg Sports Traumatol Arthrosc,2025,12/26/2025,,,10.1002/ksa.70231,Bouchard (2025)
Bouchard (2025),41451632,BPTB,Ten-year outcomes of combined ACLR and lateral extra-articular tenodesis: A systematic review,Bouchard (2025),"Bouchard MD, Haque O, Cruickshank M, Vivekanantha P, Tapasvi S, Meena A, de Sa D.",Knee Surg Sports Traumatol Arthrosc. 2025 Dec 26. doi: 10.1002/ksa.70231. Online ahead of print.,Bouchard MD,Knee Surg Sports Traumatol Arthrosc,2025,12/26/2025,,,10.1002/ksa.70231,Bouchard (2025)
Bafrouei (2025),41416241,QT,Strengthening exercises improve knee muscle strength and performance but not pain in ACL-reconstructed individuals: A systematic review and meta-analysis of randomised controlled trials,Bafrouei (2025),"Bafrouei MJ, Khorramroo F, Minoonejad H, Mousavi SH.",J Exp Orthop. 2025 Dec 17;12(4):e70576. doi: 10.1002/jeo2.70576. eCollection 2025 Oct.,Bafrouei MJ,J Exp Orthop,2025,12/19/2025,PMC12709656,,10.1002/jeo2.70576,Bafrouei (2025)
Bafrouei (2025),41416241,HT,Strengthening exercises improve knee muscle strength and performance but not pain in ACL-reconstructed individuals: A systematic review and meta-analysis of randomised controlled trials,Bafrouei (2025),"Bafrouei MJ, Khorramroo F, Minoonejad H, Mousavi SH.",J Exp Orthop. 2025 Dec 17;12(4):e70576. doi: 10.1002/jeo2.70576. eCollection 2025 Oct.,Bafrouei MJ,J Exp Orthop,2025,12/19/2025,PMC12709656,,10.1002/jeo2.70576,Bafrouei (2025)
Hasan (2026),41235442,QT,Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence,Hasan (2026),"Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.",Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.,Hasan M,Knee Surg Sports Traumatol Arthrosc,2026,11/14/2025,,,10.1002/ksa.70167,Hasan (2026)
Hasan (2026),41235442,HT,Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence,Hasan (2026),"Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.",Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.,Hasan M,Knee Surg Sports Traumatol Arthrosc,2026,11/14/2025,,,10.1002/ksa.70167,Hasan (2026)
Hasan (2026),41235442,BPTB,Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence,Hasan (2026),"Hasan M, Berkovich Y, Khatib M, Yonai Y, Ben Zvi L, Alhija AA, Shpigelman A, Ginesin E.",Knee Surg Sports Traumatol Arthrosc. 2026 Feb;34(2):543-552. doi: 10.1002/ksa.70167. Epub 2025 Nov 14.,Hasan M,Knee Surg Sports Traumatol Arthrosc,2026,11/14/2025,,,10.1002/ksa.70167,Hasan (2026)
